Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.virbo.autoplot.state	StatePersistence	11	0.0	5.545454545454546	238	4.240266696216419	320785.5524626843	11	0	1	11	25	38.019705335749116	90	276	8	1	86.12498710228792	0.0	0.0	0.0	1	11.0	23	12720.800088649255	0	4	17	0.0	1	0	61	0	0	7	0	31	1903	0	0	FALSE
org.das2.datum	TimeParser$PeriodicFieldHandler	4	0.5833333333333334	4.0	69	1.2077660372668204	82100.13571846033	8	1	1	4	2	140.8244071559297	4	84	0	1	90.82454611430157	0.0	0.0	0.6875	0	0.0	8	3623.2981118004614	0	3	2	0.0	1	0	16	0	0	1	1	2	618	1	0	FALSE
org.virbo.autoplot	AutoplotUI$Runnable_30	1	0.0	1.0	3	0.009	54.0	1	0	1	1	0	139.5601554843268	0	5	0	1	139.5601554843268	0.0	0.0	0.0	0	1.0	1	27.0	1	0	0	0.0	0	0	1	0	0	1	0	0	9	1	0	FALSE
org.das2.dataset	VectorDataSetBuilder	22	0.023809523809523808	1.9090909090909092	158	1.9807551804073191	74480.59970186965	28	1	1	25	18	111.5323311717645	18	183	13	1	111.5323311717645	0.0	0.0	0.1893939393939394	1	154.0	5	5942.265541221957	0	9	6	0.0	1	0	42	0	3	13	0	6	1223	0	0	FALSE
org.das2.fsm	FileStorageModelOld$Comparator	1	0.0	1.0	5	0.0472591500163462	857.1091298419153	1	0	1	1	0	121.82991266403633	0	7	0	1	121.82991266403633	0.0	0.0	0.0	0	1.0	1	141.7774500490386	1	1	0	0.0	1	0	1	0	0	0	0	0	34	1	0	FALSE
org.virbo.autoplot.dom	ChangesSupport$DomLock	4	0.0	1.5	15	0.1236080415331114	2331.371727304593	4	0	1	4	0	131.3309452903098	2	26	0	1	131.3309452903098	0.0	0.5	0.0	1	4.0	2	370.8241245993342	1	0	0	0.0	0	1	6	0	0	4	0	2	92	1	0	FALSE
test	ModeChangesDemo	4	0.0	2.25	52	0.7802781662752332	29896.84344379125	4	0	1	4	5	148.7574562289464	5	60	0	1	98.75759518731829	0.0	0.0	0.0	1	4.0	3	2340.8344988256995	0	1	5	0.0	1	0	9	0	0	3	0	2	442	0	0	FALSE
org.virbo.autoplot	GettingStartedPanel$java.awt.event.ActionListener	1	0.0	1.0	3	0.02096915840279952	176.92727402362095	1	0	1	1	0	135.5014543407221	0	5	0	1	135.5014543407221	0.0	0.0	0.0	0	1.0	1	62.907475208398566	1	0	0	0.0	0	0	1	0	0	1	0	0	17	1	0	FALSE
org.virbo.datasource.jython	JythonDataSource	13	0.018518518518518517	4.615384615384615	233	3.8495295393784024	367905.1356385102	22	1	1	14	16	89.69302476259051	12	306	2	1	89.69302476259051	0.0	0.5	0.1282051282051282	1	61.0	31	11548.588618135207	1	11	15	0.0	1	1	60	0	1	2	1	17	1812	0	3	TRUE
org.tsds.datasource	TsmlNcml	11	0.2	5.181818181818182	223	4.051765543557726	273028.1054647748	14	1	1	12	11	69.60946418495958	55	249	2	1	87.48228445657084	0.0	0.0	0.15151515151515152	1	30.0	16	12155.296630673176	0	10	9	0.0	1	0	57	0	1	1	0	16	1965	0	0	FALSE
com.cottagesystems.jdiskhog	JDiskHogPanel	8	0.07142857142857142	3.375	41	2.0357781465559985	100777.44639946184	12	1	1	8	7	162.35819507481386	13	61	3	1	112.35833403318574	0.0	0.5	0.1875	1	14.0	8	6107.334439667995	1	4	6	0.0	1	1	27	0	0	4	0	9	1045	0	0	FALSE
org.virbo.autoplot.state	DatumSerializeDelegate	3	0.0	2.3333333333333335	21	0.3033457250712335	10602.547155036007	3	0	1	3	4	161.33902668912447	4	30	0	1	111.33916564749634	0.0	0.0	0.0	0	3.0	4	910.0371752137005	0	3	4	0.0	1	0	7	0	0	0	1	2	187	0	0	FALSE
org.das2.util	ClassMap	15	0.14285714285714285	1.8666666666666667	67	0.7094034912468119	32801.592354052045	16	1	1	15	3	172.09791398340735	17	88	3	1	122.09805294177923	0.0	0.0	0.8666666666666667	1	0.0	9	2128.2104737404356	0	12	0	0.0	1	0	28	0	0	3	1	9	463	0	0	FALSE
org.das2.event	DisplayDataMouseModule$ItemListener	1	0.0	3.0	5	0.06267252957521456	1309.8558681219845	1	0	1	1	0	120.12678543271156	0	7	0	1	120.12678543271156	0.0	0.0	0.0	0	0.0	3	188.0175887256437	1	0	0	0.0	0	0	3	0	0	1	0	1	40	1	0	FALSE
org.das2.dasml	DOMBuilder	4	0.16666666666666666	7.25	111	1.899805794798796	187560.67357460322	6	1	1	4	12	100.98278243132908	12	131	6	1	80.36778593551608	0.0	0.0	0.375	1	4.0	22	5699.417384396388	0	3	6	0.0	1	0	29	0	0	1	0	7	848	0	0	FALSE
org.virbo.cdfdatasource	CdfDataSourceFormat	8	0.19047619047619047	9.75	265	5.371078606334003	529232.5337806308	23	1	1	8	10	125.87155064462027	15	331	0	1	75.87168960299216	0.0	0.0	0.23333333333333334	1	24.0	24	16113.23581900201	0	5	10	0.0	1	0	78	0	0	3	1	3	2607	0	0	FALSE
org.virbo.autoplot	AutoplotUI$PropertyChangeListener	1	0.0	1.0	3	0.010566416671474375	63.39850002884625	1	0	1	1	0	139.01139543166855	0	5	0	1	139.01139543166855	0.0	0.0	0.0	0	1.0	1	31.699250014423125	1	0	0	0.0	0	0	1	0	0	1	0	0	10	1	0	FALSE
org.virbo.cefdatasource	CefReaderHeader	3	1.0	14.0	168	2.7755482792937194	407435.3742444705	4	1	1	3	4	35.38086704503399	41	206	3	1	64.7612528312232	0.0	0.0	0.3333333333333333	1	4.0	29	8326.644837881158	0	3	1	0.0	1	0	42	0	0	0	0	53	1277	0	1	TRUE
org.das2.util.filesystem	WebFileSystem$LocalReentrantLock	3	1.0	1.0	9	0.054309304777574036	625.0924499980317	4	1	1	3	0	134.9421184597455	0	16	0	1	134.9421184597455	0.0	0.5	0.3333333333333333	0	4.0	1	162.9279143327221	0	0	0	0.0	0	1	3	0	0	3	0	0	48	1	0	FALSE
org.virbo.autoplot	RecentUrisDialog$MouseAdapter	1	0.0	4.0	12	0.14191016346881072	4150.8722814627135	1	0	1	1	1	101.93339224468332	0	17	0	1	101.93339224468332	0.0	0.0	0.0	0	0.0	4	425.7304904064322	1	0	1	0.0	1	0	4	0	0	1	0	0	83	1	0	FALSE
org.virbo.dsutil	AsciiParser$FieldParser_0	1	0.0	2.0	6	0.09248055885490498	3684.7722668751203	1	0	1	1	0	113.72915585781163	0	10	0	1	113.72915585781163	0.0	0.0	0.0	0	1.0	2	277.44167656471495	0	1	0	0.0	1	0	2	0	0	0	0	1	55	1	0	FALSE
org.das2.components	TearoffTabbedPane$WindowAdapter_5	1	0.0	2.0	9	0.057274226340554936	1030.9360741299888	1	0	1	1	0	111.51681711969822	0	10	0	1	111.51681711969822	0.0	0.0	0.0	0	1.0	2	171.8226790216648	0	0	0	0.0	1	0	2	0	0	1	0	0	37	1	0	FALSE
org.das2.jythoncompletion	DataSetUrlCompletionTask	4	0.6666666666666666	3.0	42	0.6942969872389052	48885.57392991894	5	1	1	4	10	151.2598757624021	4	56	2	1	101.26001472077398	0.0	0.0	0.5	0	4.0	9	2082.8909617167155	0	0	8	0.0	1	0	12	0	0	4	1	2	345	0	0	FALSE
