Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.openscience.cdk	AtomTest	28	0.1111111111111111	1.0714285714285714	144	1.9833882191478152	38599.331260396895	29	1	1	28	9	160.07420429932114	65	172	3	1	120.18879029481087	2.0	0.25	0.8928571428571429	1	0.0	2	5950.164657443445	1	0	6	0.0	1	1	30	2	0	28	0	25	1285	1	0	FALSE
org.openscience.cdk.qsar.descriptors.molecular	PetitjeanShapeIndexDescriptor	9	1.0	2.111111111111111	63	0.8776284449675475	84485.75025416563	10	1	1	9	5	59.91598604310307	80	73	1	1	108.02126780964187	0.0	0.0	0.1111111111111111	1	16.0	11	2632.8853349026426	1	7	4	0.0	1	0	19	0	0	2	1	11	477	1	0	FALSE
org.openscience.cdk.formula	AdductFormulaTest	27	0.7692307692307693	1.1111111111111112	231	2.857615827789706	72686.27164209262	28	1	1	28	9	92.40459120626187	139	286	1	1	110.27741147787313	0.0	0.5	0.25925925925925924	1	118.0	2	8572.847483369118	0	0	8	0.0	1	1	30	0	1	27	0	31	1798	1	0	FALSE
org.openscience.cdk.interfaces	IMonomer	4	0.0	1.0	5	0.02601067495400234	124.802924795174	4	0	0	4	24	109.23494058674618	36	6	24	1	159.2336899660334	0.0	0.5	0.0	0	4.0	1	78.03202486200702	0	2	0	0.0	0	1	4	0	0	2	0	5	30	1	0	FALSE
org.openscience.cdk.modeling.forcefield	BondStretching	15	0.11507936507936507	3.6	245	4.445453694298337	887866.7846420421	33	1	1	15	7	39.73167539073742	151	248	3	1	88.20868628551331	0.0	0.0	0.16296296296296298	1	101.0	21	13336.361082895011	0	3	4	0.0	1	0	54	0	0	12	0	69	2391	1	0	FALSE
org.openscience.cdk.coverage	QmCoverageTest	4	1.0	1.0	11	0.07838168497074775	902.4895845697581	5	1	1	4	3	191.2383659803055	5	16	2	2	141.2385049386774	0.0	0.6666666666666666	0.25	0	6.0	1	235.14505491224327	1	1	1	0.1111111111111111	1	2	4	0	0	3	0	1	67	1	0	FALSE
org.openscience.cdk	AtomContainer$Iterable	1	0.0	1.0	3	0.02208533232125942	235.5467611735082	1	0	1	1	0	134.52275058750357	0	4	0	1	134.52275058750357	0.0	0.0	0.0	0	1.0	1	66.25599696377826	0	1	0	0.0	1	0	1	0	0	0	0	0	20	0	0	FALSE
org.openscience.cdk.graph	BiconnectivityInspectorTest	1	0.0	1.0	30	0.34810828343044903	18035.28336753151	1	0	1	1	2	40.09315808175016	7	33	1	1	82.3843106729349	0.0	0.5	0.0	0	1.0	1	1044.324850291347	0	0	1	0.0	1	1	1	0	0	1	0	1	205	1	0	FALSE
org.openscience.cdk.applications.jchempaint.action	UndoAction	1	1.0	2.0	7	0.07425983228505462	868.6980191747646	2	1	1	1	1	96.03136993575214	14	12	0	2	116.17370691499974	0.0	0.6666666666666666	0.0	0	0.0	2	222.77949685516387	0	0	1	0.0	1	2	2	0	0	1	0	2	54	1	0	FALSE
org.openscience.cdk.isomorphism.matchers.smarts	AromaticAtom	3	1.0	1.0	8	0.060752831354584924	666.8998205103953	4	1	1	3	5	109.06757834069685	18	12	3	7	141.2892414476706	0.0	0.875	0.0	0	3.0	1	182.25849406375477	1	1	2	0.0625	1	7	3	0	0	2	0	4	51	1	0	FALSE
org.openscience.cdk.applications.jchempaint.action	EditAction	1	1.0	28.0	132	2.72558732077105	313733.2662605042	2	1	1	1	14	81.23158099530684	20	158	0	2	47.847661174608035	0.0	0.6666666666666666	0.0	0	0.0	28	8176.76196231315	1	0	14	0.0	1	2	28	0	0	1	0	5	1137	1	0	FALSE
org.openscience.cdk.applications.jchempaint.dialogs	ModifyGeneralSettingsDialog	5	0.25	1.0	37	0.32695106682735003	6012.560440681748	7	1	1	5	2	165.22090188076902	8	46	1	1	115.22104083914093	0.0	0.5	0.3	1	2.0	1	980.85320048205	1	0	1	0.0	1	1	5	0	0	5	0	3	211	1	0	FALSE
org.openscience.cdk.applications.jchempaint	JChemPaintModel	30	0.008620689655172414	1.4666666666666666	121	1.309320131207812	49911.45855662045	42	1	1	31	40	105.21563777617271	159	162	33	1	123.08845804778397	0.0	0.0	0.09166666666666666	1	298.0	9	3927.9603936234357	0	10	7	0.0	1	0	44	0	1	20	1	48	829	1	0	FALSE
org.openscience.cdk.interfaces	IPolymer	6	0.0	1.0	7	0.04620106461831808	239.6596782845948	6	0	1	6	9	116.09773270181672	46	8	7	1	158.38888529300147	0.0	0.5	0.0	0	6.0	1	138.60319385495424	0	2	2	0.0	0	1	6	0	0	4	0	7	49	1	0	FALSE
org.openscience.cdk.qsar.descriptors.molecular	IPMolecularLearningDescriptorTest	8	0.0	1.0	60	0.8975427826790248	19317.097467617117	11	1	1	12	9	92.69449783095544	115	69	2	4	112.83683481020304	0.0	0.8	0.3333333333333333	0	14.0	1	2692.6283480370744	1	1	7	0.0	1	4	8	0	4	7	0	90	519	1	0	FALSE
org.openscience.cdk.applications.jchempaint.dialogs	ValidateFrame$AtomErrorNode	2	0.0	1.0	7	0.03982456250841349	348.98175007623655	3	1	1	2	2	135.5488771506299	0	10	0	1	135.5488771506299	0.0	0.5	1.0	0	2.0	1	119.47368752524048	0	1	2	0.0	0	1	2	0	0	1	0	0	36	0	0	FALSE
