Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
com.mountainminds.eclemma.core.analysis	IJavaModelCoverage$IJavaModelCoverage	15	0.0	1.0	31	0.1742354384065953	1812.962802790332	15	0	1	15	0	143.37325285056667	1	46	0	1	143.37325285056667	0.0	0.0	0.0	0	15.0	1	522.7063152197859	0	15	0	0.0	0	0	15	0	0	0	0	1	160	0	0	FALSE
com.mountainminds.eclemma.internal.core	EclEmmaCorePlugin$IDebugEventSetListener	2	0.0	4.0	23	0.3845370633634758	13700.200618833363	2	0	1	2	4	101.62974535158926	0	37	0	1	101.62974535158926	0.0	0.0	0.0	1	2.0	5	1153.6111900904275	1	0	4	0.0	1	0	8	0	0	2	0	0	212	0	0	FALSE
com.mountainminds.eclemma.internal.core	SessionExporter$AbstractSourceFileLocator	4	0.0	2.0	21	0.2629066384401792	8086.066437056589	6	1	1	4	0	118.73599866272863	0	31	0	1	118.73599866272863	0.0	0.0	0.5	1	8.0	3	788.7199153205376	0	2	0	0.0	1	0	8	0	0	2	1	0	168	1	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	SelectCounterModeAction	2	1.3333333333333333	1.0	14	0.13090313661293002	1914.0800895428465	5	1	1	2	2	166.0017659244503	3	17	1	1	116.00190488282217	0.0	0.5	1.0	0	2.0	1	392.70940983879	1	0	2	0.0	1	1	2	0	0	2	0	1	95	0	0	FALSE
com.mountainminds.eclemma.internal.core	EclEmmaCorePlugin$ILaunchListener	3	0.0	1.3333333333333333	6	0.04115002244998618	327.950910602098	3	0	1	3	0	143.65050816991297	0	10	0	1	143.65050816991297	0.0	0.0	0.0	0	4.0	2	123.45006734995854	0	0	0	0.0	0	0	4	0	0	3	0	0	38	0	0	FALSE
com.mountainminds.eclemma.internal.ui.decorators	CoverageDecorator	4	0.16666666666666666	1.25	19	0.21299197494183228	3834.253993288152	6	1	1	5	5	175.0107789117041	6	29	1	1	125.01091787007599	0.0	0.5	0.375	0	6.0	2	638.9759248254968	0	0	4	0.0	1	1	5	0	1	4	1	4	140	1	0	FALSE
com.mountainminds.eclemma.core	ISessionListener	3	0.0	1.0	4	0.022318151121069895	100.43168004481453	3	0	0	3	8	110.8875585411356	26	5	7	1	158.9928403076744	0.0	0.0	0.0	0	3.0	1	66.95445336320968	0	0	1	0.0	0	0	3	0	0	3	0	4	25	1	0	FALSE
com.mountainminds.eclemma.internal.ui.actions	RemoveAllSessionsAction	2	0.0	1.0	9	0.07642211740529295	780.5410563019225	2	0	1	2	5	178.13529904231257	3	14	1	1	128.13543800068445	0.0	0.5	0.0	0	2.0	1	229.26635221587887	1	0	4	0.0	1	1	2	0	0	2	0	1	60	1	0	FALSE
methodlocator	Samples	6	0.0	1.0	7	0.028167831154672637	89.50349346401791	6	0	1	6	0	201.64280180015317	12	12	0	1	161.75738779564293	0.0	0.0	0.0	0	6.0	1	84.50349346401791	0	0	0	0.0	0	0	6	0	0	6	0	7	36	1	0	FALSE
com.mountainminds.eclemma.internal.ui.wizards	SessionImportPage1$SelectionAdapter_3	1	0.0	1.0	4	0.02059147917027245	146.43609377704337	1	0	1	1	0	131.48789658225687	0	5	0	1	131.48789658225687	0.0	0.0	0.0	0	0.0	1	61.77443751081735	1	0	0	0.0	0	0	1	0	0	1	0	0	19	0	0	FALSE
com.mountainminds.eclemma.internal.ui.wizards	SessionImportPage1$SelectionAdapter_2	1	0.0	1.0	4	0.02059147917027245	146.43609377704337	1	0	1	1	0	131.48789658225687	0	5	0	1	131.48789658225687	0.0	0.0	0.0	0	0.0	1	61.77443751081735	1	0	0	0.0	0	0	1	0	0	1	0	0	19	0	0	FALSE
com.mountainminds.eclemma.internal.ui.wizards	SessionImportPage1$SelectionAdapter_1	1	0.0	1.0	4	0.026779914506364823	192.84935879773616	1	0	1	1	0	130.54630133943382	0	5	0	1	130.54630133943382	0.0	0.0	0.0	0	0.0	1	80.33974351909447	1	0	0	0.0	0	0	1	0	0	1	0	0	23	0	0	FALSE
com.mountainminds.eclemma.internal.ui.wizards	ComboHistory	3	1.0	2.0	16	0.2459005503473963	7225.202130135204	4	1	1	3	2	69.66009482685901	30	24	2	1	118.1371057216349	0.0	0.0	0.3333333333333333	0	4.0	3	737.7016510421889	0	0	0	0.0	1	0	6	0	0	3	0	5	155	1	0	FALSE
org.eclemma.runtime.equinox	ICoverageAnalyzer	5	0.0	1.0	6	0.0379024383637386	220.94354874261535	5	0	1	5	3	109.93815315598093	43	7	3	1	158.04343492251974	0.0	0.0	0.0	0	5.0	1	113.7073150912158	0	1	0	0.0	0	0	5	0	0	4	0	6	41	1	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	CoverageView$ISelectionChangedListener	1	0.0	1.0	4	0.032270184411795404	345.0395746326983	1	0	1	1	0	128.5567171610547	0	5	0	1	128.5567171610547	0.0	0.0	0.0	0	0.0	1	96.81055323538621	0	0	0	0.0	1	0	1	0	0	1	0	0	28	0	0	FALSE
com.mountainminds.eclemma.internal.core	CoverageSession	5	0.1875	1.4	28	0.35859725443755563	9636.02447388468	9	1	1	5	7	168.98129335608758	5	44	4	1	118.98143231445948	0.0	0.5	0.4	0	17.0	3	1075.791763312667	0	3	3	0.0	1	1	7	0	0	2	1	3	220	1	0	FALSE
com.mountainminds.eclemma.internal.ui.actions	ImportSessionAction	2	0.0	1.0	13	0.13828672011994741	1851.052599118898	3	1	1	2	4	168.6135177252703	3	18	1	1	118.6136566836422	0.0	0.5	1.0	0	2.0	1	414.8601603598422	1	0	3	0.0	1	1	2	0	0	2	0	1	97	1	0	FALSE
com.mountainminds.eclemma.core	ICoverageSession	4	0.0	1.0	5	0.03694492409634492	222.0599041036327	4	0	1	4	30	108.78603645173636	43	8	30	1	157.26304734651225	0.0	0.5	0.0	0	4.0	1	110.83477228903476	0	3	0	0.0	0	1	4	0	0	1	0	5	37	1	0	FALSE
com.mountainminds.eclemma.internal.core	DebugOptions$ITracer	9	0.0	1.0	10	0.07060883996184894	342.43476804998295	9	0	1	9	0	116.26395782320925	63	12	0	1	158.555110414394	0.0	0.0	0.0	0	9.0	1	211.82651988554682	0	0	0	0.0	0	0	9	0	0	9	0	9	73	1	0	FALSE
com.mountainminds.eclemma.internal.ui.annotation	CoverageAnnotationModel$IDocumentListener	2	0.0	1.0	4	0.021397564499388073	114.5596447691268	2	0	1	2	0	145.92703207230645	0	6	0	1	145.92703207230645	0.0	0.0	0.0	0	2.0	1	64.19269349816422	1	0	0	0.0	0	0	2	0	0	2	0	0	22	0	0	FALSE
com.mountainminds.eclemma.internal.ui.dialogs	MergeSessionsDialog$SelectionAdapter_0	1	0.0	1.0	3	0.013233083338141043	75.39850002884626	1	0	1	1	0	138.41854807953266	0	4	0	1	138.41854807953266	0.0	0.0	0.0	0	1.0	1	39.69925001442313	1	0	0	0.0	0	0	1	0	0	1	0	0	14	0	0	FALSE
com.mountainminds.eclemma.internal.ui.actions	CoverageContextualLaunchAction	1	0.0	1.0	3	0.01573634167291669	110.2676750447117	1	0	1	1	1	157.73352241723558	3	5	0	1	137.1185259214226	0.0	0.5	0.0	0	1.0	1	47.20902501875006	0	0	1	0.0	0	1	1	0	0	1	0	1	16	1	0	FALSE
com.mountainminds.eclemma.core.launching	ICoverageLauncher	1	0.0	1.0	2	0.01950977500432694	160.07820003461552	1	0	1	1	3	122.26991313018792	14	4	3	1	142.41225010943552	0.0	0.5	0.0	0	1.0	1	58.52932501298082	0	1	0	0.0	0	1	1	0	0	0	0	2	18	1	0	FALSE
com.mountainminds.eclemma.internal.core	SessionImporter	6	0.1	1.5	37	0.481172935363901	14751.322981336585	10	1	1	6	6	115.17917587262738	4	49	1	1	115.17917587262738	0.0	0.0	0.3333333333333333	0	14.0	4	1443.518806091703	0	1	6	0.0	1	0	9	0	0	5	1	2	283	1	0	FALSE
com.mountainminds.eclemma.internal.core.analysis	TypeTraverser$BinaryTypeName$Ctr	1	0.0	1.0	4	0.022797487383876387	205.17738645488748	2	1	1	1	0	130.33437917557066	0	6	0	1	130.33437917557066	0.0	0.0	1.0	0	0.0	1	68.39246215162916	0	0	0	0.0	0	0	1	0	0	1	0	0	21	1	0	FALSE
com.mountainminds.eclemma.internal.core.analysis	ITypeVisitor	3	0.0	1.0	4	0.031195991679647476	168.91128757139447	3	0	1	3	3	114.92364354797006	23	5	3	1	157.2147961391548	0.0	0.0	0.0	0	3.0	1	93.58797503894243	0	0	0	0.0	0	0	3	0	0	3	0	4	31	1	0	FALSE
com.mountainminds.eclemma.internal.core.analysis	MethodLocator	7	0.041666666666666664	1.7142857142857142	38	0.49165322287700397	13422.737428780118	11	1	1	9	3	119.18781735661511	34	54	2	1	118.95205696433283	0.0	0.0	0.2857142857142857	1	13.0	3	1474.959668631012	0	5	1	0.0	1	0	12	0	2	2	0	11	329	1	0	FALSE
com.mountainminds.eclemma.core	ICorePreferences$ICorePreferences	8	0.7142857142857143	1.0	18	0.0902775507166777	793.7069814688491	9	1	1	9	0	144.04834266307464	1	26	0	1	144.04834266307464	0.0	0.0	0.375	0	14.0	1	270.8326521500331	0	4	0	0.0	1	0	8	0	1	4	0	1	86	0	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	CoverageViewSorter$SelectionListener	2	0.0	1.5	6	0.05975738649602378	642.905904315155	2	0	1	2	0	133.36607286378333	0	9	0	1	133.36607286378333	0.0	0.0	0.0	0	2.0	2	179.27215948807134	1	0	0	0.0	0	0	3	0	0	2	0	0	45	0	0	FALSE
com.mountainminds.eclemma.internal.ui	WorkbenchAdapterFactory	2	0.0	1.5	9	0.08293435902452433	1429.2542392790028	2	0	1	3	1	175.97321315344277	3	15	0	1	125.97335211181468	0.0	0.0	0.0	0	2.0	2	248.80307707357298	0	2	1	0.0	1	0	3	0	1	0	1	1	62	1	0	FALSE
com.mountainminds.eclemma.internal.ui.actions	RefreshSessionAction	2	0.0	1.0	10	0.0839856022800427	773.1230410061767	2	0	1	2	4	164.43858450485777	4	15	1	1	124.55317050034753	0.0	0.5	0.0	0	2.0	1	251.9568068401281	1	0	3	0.0	1	1	2	0	0	2	0	2	63	1	0	FALSE
com.mountainminds.eclemma.ui.launching	CoverageTab	10	0.5555555555555556	1.3	52	0.5860124968899126	10889.124036139909	11	1	1	10	7	120.95092542446224	4	73	1	1	120.95092542446224	0.0	0.5	0.5	1	10.0	2	1758.037490669738	1	2	6	0.0	1	1	13	0	0	8	0	2	376	1	0	FALSE
com.mountainminds.eclemma.internal.core.analysis	TypeTraverserTest	3	0.375	1.0	19	0.2470400186400371	5049.651786097644	7	1	1	4	3	66.56940622854063	27	37	0	1	116.56815560782786	0.0	0.0	0.5	0	0.0	1	741.1200559201113	1	0	3	0.0	1	0	3	0	1	3	0	10	157	1	0	FALSE
com.mountainminds.eclemma.internal.core	ExecutionDataFiles	3	0.25	1.6666666666666667	16	0.17073251845200435	3312.579101284183	5	1	1	3	5	121.08188070885188	14	22	4	1	120.8461203165696	0.0	0.0	0.6666666666666666	0	0.0	2	512.197555356013	0	1	1	0.0	1	0	5	0	0	2	0	5	118	1	0	FALSE
com.mountainminds.eclemma.internal.core.analysis	JavaElementCoverageAdapterFactory	2	0.0	3.0	17	0.1768416180026617	6264.21557705621	2	0	1	2	2	109.76696835726511	8	25	0	1	109.53120796498283	0.0	0.0	0.0	0	2.0	5	530.5248540079851	0	2	2	0.0	1	0	6	0	0	0	1	3	114	1	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	LinkWithSelectionAction	2	1.0	1.0	14	0.12415246068601642	1312.73335165763	4	1	1	2	5	157.17708859255487	4	18	1	1	117.29167458804463	0.0	0.5	1.0	0	2.0	1	372.45738205804923	1	0	4	0.0	1	1	2	0	0	2	0	1	89	0	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	SelectEntryModeAction	2	1.3333333333333333	3.5	32	0.3461741877780828	9342.045990804672	5	1	1	2	4	136.78530504988532	4	40	1	1	96.89989104537507	0.0	0.5	1.0	0	2.0	6	1038.5225633342484	1	0	4	0.0	1	1	7	0	0	2	0	1	199	0	0	FALSE
com.mountainminds.eclemma.internal.ui	ScopeViewer$ICheckStateListener	1	0.0	1.0	3	0.013233083338141043	75.39850002884626	1	0	1	1	0	138.41854807953266	0	4	0	1	138.41854807953266	0.0	0.0	0.0	0	1.0	1	39.69925001442313	1	0	0	0.0	0	0	1	0	0	1	0	0	14	0	0	FALSE
com.mountainminds.eclemma.internal.ui.wizards	SessionImportWizard$IRunnableWithProgress	1	0.0	2.0	5	0.04444530491724451	826.6834458862678	1	0	1	1	0	121.79409924780904	0	9	0	1	121.79409924780904	0.0	0.0	0.0	0	1.0	2	133.33591475173353	0	0	0	0.0	1	0	2	0	0	1	0	0	33	0	0	FALSE
com.mountainminds.eclemma.internal.core	SessionExporter	8	0.09523809523809523	2.0	67	0.9471413165385338	29696.751954000923	11	1	1	8	7	109.04344133288959	4	103	1	1	109.04344133288959	0.0	0.0	0.4166666666666667	1	16.0	4	2841.4239496156015	0	2	6	0.0	1	0	16	0	0	6	1	2	541	1	0	FALSE
com.mountainminds.eclemma.internal.core.analysis	SignatureResolver	9	0.25	3.0	75	1.0230812396522042	39944.13680857752	12	1	1	9	4	148.22457711142374	22	109	4	1	108.3391631069135	0.0	0.0	0.1111111111111111	1	30.0	5	3069.2437189566126	0	2	0	0.0	1	0	27	0	0	7	0	7	612	1	0	FALSE
com.mountainminds.eclemma.ui.launching	CoverageTab$SelectionAdapter_0	1	0.0	1.0	5	0.026779914506364823	192.84935879773616	1	0	1	1	0	126.93137580814363	0	6	0	1	126.93137580814363	0.0	0.0	0.0	0	0.0	1	80.33974351909447	1	0	0	0.0	0	0	1	0	0	1	0	0	23	0	0	FALSE
org.eclemma.runtime.equinox.internal	InstrumentationHook	16	0.7333333333333333	1.1875	36	0.3779692546112915	5698.818329654452	17	1	1	16	2	139.63753524953168	6	69	1	1	139.63753524953168	0.0	0.0	0.3125	0	48.0	3	1133.9077638338745	0	5	1	0.0	1	0	19	0	0	11	1	2	277	1	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	CoverageView$ITableLabelProvider	8	0.2857142857142857	2.75	52	0.6596730108069727	19469.84683778737	9	1	1	9	4	115.07447042874381	6	85	0	1	115.07447042874381	0.0	0.0	0.75	1	0.0	5	1979.0190324209182	0	4	4	0.0	1	0	22	0	1	4	0	6	402	0	0	FALSE
com.mountainminds.eclemma.internal.core	SessionManager	16	0.04000000000000001	2.4375	104	1.231309657220284	45896.88554113531	21	1	1	18	9	114.54002456717714	9	141	2	1	114.54002456717714	0.0	0.0	0.2375	1	78.0	6	3693.928971660852	0	4	7	0.0	1	0	39	0	2	12	1	7	739	1	0	FALSE
com.mountainminds.eclemma.internal.ui	UIPreferences	2	0.7777777777777777	1.0	25	0.44172255954648926	12415.185806138128	11	1	1	3	4	68.65418175278134	12	45	3	1	100.87584485975509	0.0	0.5	0.5	1	2.0	1	1325.1676786394678	0	1	2	0.0	1	1	2	0	1	1	0	10	264	1	0	FALSE
com.mountainminds.eclemma.internal.core.launching	CoverageLaunch	3	0.25	1.0	11	0.1009694992632942	1520.1088845087197	5	1	1	3	3	181.9028386117456	3	16	1	1	131.90297757011749	0.0	0.5	0.6666666666666666	0	5.0	1	302.9084977898826	0	2	2	0.0	0	1	3	0	0	1	1	1	75	1	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	CoverageView$IOpenListener	1	0.0	1.0	3	0.02486930497551322	199.3347607308928	1	0	1	1	0	135.09363008226603	0	4	0	1	135.09363008226603	0.0	0.0	0.0	0	0.0	1	74.60791492653966	0	0	0	0.0	1	0	1	0	0	1	0	0	22	0	0	FALSE
signatureresolver	Samples$Generic	0	0.0	0.0	1	0.008	72.0	0	0	1	0	0	171.0	0	2	0	1	171.0	0.0	0.0	0.0	0	0.0	0	24.0	0	0	0	0.0	0	0	0	0	0	0	0	0	8	1	0	FALSE
com.mountainminds.eclemma.internal.ui.actions	CoverageHistoryAction	1	0.0	1.0	3	0.01573634167291669	110.2676750447117	1	0	1	1	1	157.73352241723558	3	5	0	1	137.1185259214226	0.0	0.5	0.0	0	1.0	1	47.20902501875006	0	0	1	0.0	0	1	1	0	0	1	0	1	16	1	0	FALSE
com.mountainminds.eclemma.internal.ui	UIPreferences$ICorePreferences	8	0.0	1.0	17	0.122593629446093	1091.3426650148367	8	0	1	8	0	142.95924479927055	0	27	0	1	142.95924479927055	0.0	0.0	0.0	0	56.0	1	367.780888338279	1	4	0	0.0	1	0	8	0	0	4	0	0	108	0	0	FALSE
com.mountainminds.eclemma.internal.core.analysis	SignatureResolverTestBase	24	0.45652173913043476	1.0416666666666667	60	0.5863297060035831	8791.122996474036	26	1	1	24	3	139.57184844198318	3	110	2	1	139.57184844198318	2.0	0.0	0.0625	1	64.0	2	1758.9891180107493	1	1	1	0.0	1	0	25	2	0	23	0	1	448	1	0	FALSE
com.mountainminds.eclemma.core	ISessionExporter	0	0.0	0.0	2	0.006893233335256416	41.3594000115385	0	0	1	0	4	171.0	6	2	3	1	171.0	0.0	0.0	0.0	0	0.0	0	20.67970000576925	0	0	1	0.0	0	0	0	0	0	0	0	2	8	1	0	FALSE
