Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
com.gargoylesoftware.htmlunit.javascript.host	Event	36	0.019642857142857142	1.0277777777777777	138	1.290740820372616	25108.766220234284	68	1	1	37	16	112.93106833688043	210	178	14	2	130.8038886084917	1.0	0.4	0.050347222222222224	1	920.0	2	3872.222461117848	1	7	2	0.0	1	2	37	2	1	29	0	66	848	1	3	TRUE
com.gargoylesoftware.htmlunit.javascript.host	TableHeader	2	1.0	1.0	4	0.02557332143510029	286.4109179505435	3	1	0	2	1	110.57151368499123	13	7	0	6	142.79317679196498	0.0	0.8571428571428571	0.0	0	2.0	1	76.71996430530086	0	0	1	0.031578947368421054	0	6	2	0	0	2	0	3	24	1	0	FALSE
com.gargoylesoftware.htmlunit.html	HtmlHead	6	0.5	1.0	15	0.13157670340620145	1409.5955344399902	8	1	1	6	4	91.10146502212854	57	21	3	3	141.10021440141577	0.0	0.75	0.08333333333333333	0	10.0	1	394.73011021860435	1	4	2	0.0	0	3	6	0	0	2	0	9	108	1	5	TRUE
com.gargoylesoftware.htmlunit.javascript.host	HTMLFrameElement	10	1.0	1.0	21	0.16619230192810014	1649.8595005260468	11	1	1	10	4	142.5447337759621	49	31	0	5	142.3089733836798	0.0	0.8333333333333334	0.0	1	10.0	1	498.57690578430044	1	5	4	0.0	1	5	10	0	0	5	0	10	145	1	0	FALSE
com.gargoylesoftware.htmlunit.html	HtmlElement$MapEntryWrappingIterator	4	0.0	1.0	10	0.07604851619398281	893.3937944556078	5	1	1	4	1	123.40032819520457	22	15	0	1	141.27314846681583	0.0	0.0	1.0	0	0.0	1	228.14554858194845	0	1	1	0.0	1	0	4	0	0	3	1	5	67	1	0	FALSE
com.gargoylesoftware.htmlunit.javascript.configuration	JavaScriptConfigurationTest$ErrorHandler	3	0.0	1.0	7	0.0492711791760417	599.2168576181255	3	0	1	3	0	141.6552371086807	0	10	0	1	141.6552371086807	0.0	0.0	0.0	0	3.0	1	147.8135375281251	0	0	0	0.0	0	0	3	0	0	3	0	0	43	0	0	FALSE
com.gargoylesoftware.htmlunit.javascript	JavaScriptEngineTest	42	0.0	1.3333333333333333	450	6.986910804113583	186746.8566227186	42	0	1	42	20	87.03168273345524	213	867	0	2	104.9045030050665	0.0	0.6666666666666666	0.0	1	418.0	6	20960.73241234075	1	2	20	0.0	1	2	56	0	0	40	0	71	3856	1	1	TRUE
com.gargoylesoftware.htmlunit.javascript.host	DOMParser	2	1.0	1.0	9	0.09128460625420551	1765.576244582569	3	1	1	2	3	75.34513051917656	19	12	0	2	125.3438798984638	0.0	0.6666666666666666	0.0	0	2.0	1	273.8538187626165	1	1	3	0.0	1	2	2	0	0	1	0	4	66	1	0	FALSE
com.gargoylesoftware.htmlunit.html.xpath	HtmlUnitXPathTest	10	0.0	1.0	79	1.3347998790928222	32315.12209267141	10	0	1	10	7	112.07600322606788	45	137	0	2	111.8402428337856	0.0	0.6666666666666666	0.0	1	10.0	1	4004.3996372784663	1	0	7	0.0	1	2	10	0	0	10	0	10	762	1	0	FALSE
com.gargoylesoftware.htmlunit.html	HtmlFieldSet	2	0.5	1.0	7	0.08080541906583692	891.306387589606	4	1	1	2	3	102.96166472193457	26	10	1	5	132.34205050812378	0.0	0.8333333333333334	0.25	0	2.0	1	242.41625719751076	0	0	2	0.0	0	5	2	0	0	2	0	5	63	1	0	FALSE
