Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.gjt.sp.jedit.syntax	Chunk$FontSubstitution	6	0.42857142857142855	1.6666666666666667	42	0.38336218530300226	8501.731185581188	13	1	1	6	0	114.54233726663415	0	69	0	1	114.54233726663415	0.0	0.0	0.5	1	0.0	3	1150.0865559090068	1	1	0	0.0	1	0	10	0	0	5	0	0	255	1	0	FALSE
org.gjt.sp.jedit.bsh.classpath	BshClassPath$UnqualifiedNameTable	1	0.0	3.0	9	0.13294345155815887	5620.311860161714	1	0	1	1	0	155.62337494330563	1	18	0	1	105.62351390167753	0.0	0.5	0.0	0	1.0	3	398.8303546744766	1	0	0	0.0	1	1	3	0	0	1	0	1	88	1	0	FALSE
org.gjt.sp.jedit.input	TextAreaInputHandler	9	0.5	5.777777777777778	114	1.449808124777073	83948.94073985175	10	1	1	9	10	50.97447712610833	78	228	1	2	99.07975889264713	0.0	0.6666666666666666	0.5555555555555556	1	14.0	21	4349.424374331219	1	1	10	0.0	1	2	52	0	0	8	0	49	790	1	0	FALSE
org.gjt.sp.jedit.bsh	BSHVariableDeclarator	3	1.0	2.0	13	0.19326736999715086	8549.775622596235	4	1	0	3	10	73.07106146937093	26	27	3	1	121.17634323590974	0.0	0.5	0.3333333333333333	0	4.0	4	579.8021099914525	1	2	7	0.047619047619047616	1	1	6	0	0	1	0	5	121	0	0	FALSE
org.gjt.sp.jedit.search	HyperSearchResults$ResultCellRenderer	3	0.25	2.3333333333333335	31	0.4819586549285514	15681.953532638949	5	1	1	3	2	61.931235133665695	21	74	0	2	104.22238772485044	0.0	0.6666666666666666	0.6666666666666666	0	1.0	4	1445.875964785654	1	1	2	0.3333333333333333	1	2	7	0	0	2	0	21	275	1	0	FALSE
org.gjt.sp.jedit.textarea	TextArea$LineCharacterBreaker$FocusHandler	2	0.0	4.0	12	0.16909991676139127	4822.393044878253	2	0	1	2	0	154.9055188211446	4	34	0	1	115.02010481663436	0.0	0.0	0.0	0	0.0	4	507.2997502841738	1	0	0	0.0	0	0	8	0	0	2	1	4	110	1	0	FALSE
org.gjt.sp.jedit.search	HyperSearchResults$ResultCellRenderer$TreeNodeCallbackAdapter_2	1	0.0	1.0	3	0.020704762504567324	194.1353437914665	1	0	1	1	1	135.184020893912	0	8	0	1	135.184020893912	0.0	0.0	0.0	0	1.0	1	62.11428751370197	0	0	1	0.0	0	0	1	0	0	1	1	0	19	1	0	FALSE
org.gjt.sp.jedit.search	HyperSearchFolderNode	3	0.5	1.3333333333333333	15	0.1355691292740621	2315.029153081811	6	1	1	4	2	122.12284571543654	0	27	2	1	122.12284571543654	0.0	0.0	0.6666666666666666	0	1.0	2	406.70738782218626	0	2	0	0.0	1	0	4	0	1	1	0	0	103	1	0	FALSE
org.gjt.sp.jedit.bsh.org.objectweb.asm	CodeVisitor	17	0.0	1.0	18	0.16565977237526622	627.7063405297209	17	0	0	17	5	114.53009205889188	199	24	4	1	158.6577018697011	0.0	0.0	0.0	0	17.0	1	496.9793171257987	0	0	1	0.0	0	0	17	0	0	17	0	27	162	1	0	FALSE
org.gjt.sp.jedit.bsh	BSHCastExpression	2	0.0	1.5	12	0.1682057949098791	4131.757884731163	2	0	0	2	9	83.55265271613729	13	18	1	1	115.77431582311104	0.0	0.5	0.0	0	2.0	2	504.6173847296373	1	1	8	0.05	1	1	3	0	0	1	0	5	102	0	0	FALSE
org.gjt.sp.jedit.textarea	Selection$Range	9	0.0	2.3333333333333335	48	0.6360540601057203	36132.186511595486	9	0	1	9	2	156.23945682617102	26	101	0	1	116.35404282166076	0.0	0.5	0.0	0	17.0	6	1908.1621803171608	0	0	2	0.0	1	1	21	0	0	9	0	21	413	1	0	FALSE
org.gjt.sp.jedit.pluginmgr	ManagePanel$HeaderMouseHandler$TableFocusHandler	1	0.0	3.0	8	0.10291947508328024	2311.8423852515393	1	0	1	1	0	110.56973001029519	0	17	0	1	110.56973001029519	0.0	0.5	0.0	0	0.0	3	308.75842524984074	0	0	0	0.0	1	1	3	0	0	1	0	0	67	1	0	FALSE
org.gjt.sp.jedit.bsh	ReflectError	2	0.0	1.0	5	0.019901459326494966	128.6039357217514	2	0	0	2	9	145.5315370707382	0	5	9	1	145.5315370707382	0.0	0.5	0.0	0	2.0	1	59.7043779794849	0	0	0	0.0	0	1	2	0	0	2	0	0	22	0	0	FALSE
org.gjt.sp.jedit.pluginmgr	ManagePanel$HelpButton	3	0.5	3.0	27	0.3372901820269238	9756.258609756851	4	1	1	3	4	107.49456325572076	0	50	0	1	107.49456325572076	0.0	0.5	0.6666666666666666	0	0.0	7	1011.8705460807713	1	0	4	0.0	1	1	9	0	0	3	1	0	195	1	0	FALSE
org.gjt.sp.jedit.bsh	BSHIfStatement	3	0.0	3.0	13	0.2708462613582573	10263.289011780078	3	0	0	3	8	120.45836062309729	0	37	3	1	120.45836062309729	0.0	0.5	0.0	1	3.0	4	812.5387840747718	1	1	5	0.047619047619047616	1	1	9	0	0	2	0	0	169	0	0	FALSE
org.gjt.sp.jedit.options	BrowserColorsOptionPane$BrowserColorsModel$ColorRenderer	2	0.0	2.5	14	0.16159044626519298	3531.980507639275	2	0	1	2	1	153.5814060522111	4	34	0	1	113.69599204770083	0.0	0.5	0.0	0	2.0	4	484.77133879557897	1	1	1	0.0	1	1	5	0	0	1	1	4	101	1	0	FALSE
org.gjt.sp.jedit.gui	BufferSwitcher	5	0.1875	2.0	39	0.44460641537141427	10323.974123266547	9	1	1	6	8	153.09811713285967	14	74	4	1	113.2127031283494	0.0	0.5	0.1	1	8.0	3	1333.8192461142428	1	1	5	0.0	1	1	10	0	1	4	0	10	279	1	0	FALSE
org.gjt.sp.jedit.gui	CompletionPopup$Candidates	5	0.0	1.0	6	0.039042254122351704	183.4575623021452	5	0	1	5	0	179.29429102190937	18	9	0	1	158.67929452609638	0.0	0.0	0.0	0	5.0	1	117.12676236705511	0	2	0	0.0	0	0	5	0	0	3	0	5	41	1	0	FALSE
org.gjt.sp.jedit	AbstractOptionPane	17	0.03125	1.4705882352941178	128	1.5639502869433761	46477.65249953511	21	1	1	17	21	62.324587526611054	161	179	20	1	112.32333690589829	20.0	0.045454545454545456	0.22058823529411764	1	84.0	5	4691.850860830128	1	3	1	0.0	1	1	25	20	0	14	1	51	945	1	0	FALSE
org.gjt.sp.jedit.browser	VFSBrowser$KeyAdapter	1	0.0	2.0	4	0.04732659031383608	681.8988547075412	1	0	1	1	1	126.0675133156505	0	9	0	1	126.0675133156505	0.0	0.0	0.0	0	0.0	2	141.97977094150824	0	0	1	0.0	1	0	2	0	0	1	0	0	35	0	0	FALSE
org.gjt.sp.jedit.gui	ActionBar$CompletionPopup	2	0.0	1.0	27	0.30099491207821505	4703.410284372696	3	1	1	2	1	60.60756371530324	14	42	0	1	102.89871630648798	0.0	0.5	1.0	0	0.0	1	902.9847362346452	1	0	1	0.0	1	1	2	0	0	2	0	14	175	1	0	FALSE
org.gjt.sp.jedit	GUIUtilities$UnixWorkaround$ComponentHandler	2	0.0	4.0	17	0.2854581379988434	8860.098259426788	2	0	1	2	2	148.1647257662733	4	37	0	1	108.27931176176307	0.0	0.5	0.0	0	0.0	4	856.3744139965302	0	0	2	0.0	1	1	8	0	0	2	0	4	164	1	0	FALSE
org.gjt.sp.jedit.gui	JCheckBoxList$LabelRenderer	2	1.0	1.5	10	0.14765414018979697	2777.6542551465645	4	1	1	2	0	120.08599396498445	0	22	0	1	120.08599396498445	0.0	0.5	1.0	0	0.0	2	442.96242056939093	1	1	0	0.0	1	1	3	0	0	1	0	0	96	1	0	FALSE
org.gjt.sp.jedit.options	SuppressWarnings$SuppressWarnings$Entry	2	1.0	2.0	12	0.10816714203187038	1990.5396233552979	5	1	1	2	0	118.20576531870893	0	20	0	1	118.20576531870893	0.0	0.0	0.8333333333333334	0	0.0	3	324.5014260956111	0	0	0	0.0	1	0	4	0	0	2	0	0	81	1	0	FALSE
org.gjt.sp.jedit.options	TextAreaOptionPane$ActionListener	1	0.0	1.0	4	0.03439462435048003	329.2795768381336	1	0	1	1	0	128.71660883689734	0	6	0	1	128.71660883689734	0.0	0.0	0.0	0	0.0	1	103.18387305144009	0	0	0	0.0	0	0	1	0	0	1	0	0	29	0	0	FALSE
