Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.jikesrvm.classloader	VM_TypeReferenceVector	8	0.14285714285714285	1.75	38	0.29863702364454436	9971.050107032243	11	1	0	8	2	144.65055743739367	24	45	1	1	124.03556094158066	0.0	0.0	0.4583333333333333	1	0.0	4	895.911070933633	0	2	1	0.0	0	0	14	0	0	6	0	20	214	1	0	FALSE
test.org.jikesrvm.basic.core.threads	TestInterruptedSleep$Thread	1	0.0	3.0	7	0.05694941013935083	888.8750868664364	1	0	0	1	0	116.00192279042986	0	11	0	1	116.00192279042986	0.0	0.0	0.0	0	0.0	3	170.84823041805248	0	0	0	0.0	1	0	3	0	0	1	0	0	40	0	0	FALSE
org.jikesrvm.opt.ir	OPT_StackLocationOperand	8	0.09523809523809523	1.875	39	0.36696024537298355	8957.054017106115	11	1	1	8	6	106.51364858475924	43	50	5	1	124.3864688563705	0.0	0.5	0.4166666666666667	1	28.0	7	1100.8807361189506	0	2	2	0.016129032258064516	1	1	15	0	0	6	0	9	256	1	0	FALSE
org.jikesrvm.opt	OPT_DepGraphEdge$OPT_VCGEdge.EdgeDesc	1	0.0	1.0	3	0.014169925001442313	98.51955000865388	1	0	1	1	0	137.50380880398257	0	2	0	1	137.50380880398257	0.0	0.0	0.0	0	1.0	1	42.50977500432694	1	1	0	0.0	0	0	1	0	0	0	0	0	15	0	0	FALSE
org.jikesrvm.opt.ir.ia32	OPT_MachineSpecificIRIA$EM64T	2	1.0	1.0	9	0.16986078040401348	3619.9661578915748	3	1	1	3	3	172.88822349904524	2	23	0	2	122.88836245741714	0.0	0.6666666666666666	0.0	1	2.0	1	509.58234121204043	0	0	3	0.0	1	2	2	0	1	2	0	2	108	1	0	FALSE
test.org.jikesrvm.basic.stats	JikesImageSizes	2	0.0	2.0	19	0.2981308555889483	10095.938507458053	2	0	1	2	0	145.96949670823892	5	24	0	1	106.08408270372867	0.0	0.0	0.0	1	2.0	2	894.392566766845	0	0	0	0.0	1	0	4	0	0	2	0	1	175	1	0	FALSE
JHawkDefaultPackage	testSwitchHIR	1	0.0	17.0	35	0.3341112035720781	28023.7051134278	1	0	0	1	0	57.58582869124196	14	33	0	1	77.72816567048956	0.0	0.0	0.0	0	1.0	17	1002.3336107162341	0	0	0	0.0	1	0	17	0	0	1	0	5	188	0	0	FALSE
org.jikesrvm.opt.ir	OPT_GenerationContext	24	0.05565217391304348	3.125	340	4.932829611511241	248395.1721406781	49	1	1	24	42	52.240641083931344	274	417	10	1	96.36825089474056	0.0	0.0	0.09333333333333334	1	210.0	12	14798.488834533722	0	4	33	0.0	1	0	75	0	0	20	1	123	2511	1	0	FALSE
org.jikesrvm.opt	OPT_AnnotatedLSTNode$BBEnum	6	0.1	1.0	19	0.13585248738348513	1931.9234534949744	8	1	1	6	2	133.68941053435861	29	26	0	1	133.45365014207633	0.0	0.0	0.5833333333333334	0	0.0	1	407.55746215045536	0	3	2	0.0	1	0	6	0	0	3	1	8	111	1	0	FALSE
org.jikesrvm.opt	OPT_ValueGraph	34	0.22727272727272727	3.2941176470588234	286	4.12332442647306	122377.94471158565	36	1	1	34	24	59.035405326397665	311	398	1	1	109.0341547056849	0.0	0.0	0.27941176470588236	1	174.0	25	12369.97327941918	0	3	23	0.0	1	0	112	0	0	31	0	80	2487	1	0	FALSE
org.jikesrvm.memorymanagers.mminterface	VM_GCMapIteratorGroup	4	0.7333333333333334	2.5	39	0.4114932146026722	8795.499091777205	9	1	1	4	2	79.49453163015875	52	49	0	1	108.87491741634797	0.0	0.0	0.75	0	0.0	3	1234.4796438080166	0	0	2	0.0	1	0	10	0	0	4	1	9	260	1	0	FALSE
org.mmtk.utility.options	CycleFilterThreshold	1	0.0	1.0	3	0.01573634167291669	94.41805003750012	1	0	0	1	2	87.65048720517859	9	7	1	2	137.64923658446583	0.0	0.6666666666666666	0.0	0	1.0	1	47.20902501875006	0	0	1	0.0	0	2	1	0	0	1	0	2	16	1	0	FALSE
org.jikesrvm.mm.mmtk	Options	6	0.0	8.333333333333334	189	2.7417396366892737	247639.29707799637	6	0	1	6	12	36.24293993211104	44	224	1	1	78.53409252329578	0.0	0.5	0.0	1	6.0	18	8225.21891006782	0	1	11	0.0	1	1	50	0	0	5	0	12	1380	1	0	FALSE
JHawkDefaultPackage	virtual	4	0.08333333333333333	1.0	21	0.1978054876175519	4110.550952424803	8	1	0	4	1	161.09475830045454	11	21	1	1	121.2093442959443	0.0	0.0	0.3125	1	6.0	1	593.4164628526557	0	0	0	0.0	1	0	4	0	0	4	0	2	143	1	0	FALSE
org.jikesrvm.opt.ppc	OPT_Assembler$BranchSrcElement	1	0.0	1.0	6	0.03321928094887363	336.3452196073455	3	1	1	1	1	122.07546439289388	0	8	0	1	122.07546439289388	0.0	0.0	1.0	0	0.0	1	99.65784284662088	0	0	1	0.0	0	0	1	0	0	1	0	0	30	1	0	FALSE
JHawkDefaultPackage	TestRuntimeExec	3	0.21428571428571427	3.3333333333333335	55	0.6286363020926131	24202.32128810139	10	1	1	5	2	93.3699011030056	14	67	1	1	93.13414071072332	0.0	0.5	0.2857142857142857	0	4.0	5	1885.9089062778394	0	0	1	0.0	1	1	10	0	2	3	0	10	350	0	0	FALSE
org.jikesrvm.opt	OPT_LSTGraph	14	0.02564102564102564	3.7857142857142856	175	2.199617275329391	131300.52283136614	17	1	1	14	23	51.05308799540291	115	203	11	1	99.15836976194171	1.0	0.3333333333333333	0.35714285714285715	1	22.0	12	6598.851825988174	1	2	12	0.021739130434782608	1	1	53	1	0	12	0	36	1217	1	0	FALSE
org.mmtk.plan.refcount.generational	Uninterruptible	9	0.0	2.0	35	0.3882810356944368	7520.971987058031	9	0	1	9	1	112.15970359023834	52	54	0	1	130.0325238618496	0.0	0.5	0.0	1	9.0	5	1164.8431070833103	1	3	1	0.0	1	1	18	0	0	6	0	9	278	1	0	FALSE
java.lang	Thread	52	0.012066365007541479	1.5769230769230769	204	2.0396838224025537	60850.9927756781	65	1	1	53	26	178.93548883728414	82	302	22	1	128.93562779565602	7.0	0.0	0.0650887573964497	1	826.0	8	6119.051467207661	0	7	4	0.0	1	0	82	7	1	45	1	42	1379	1	1	TRUE
org.jikesrvm.opt	OPT_ResourceMap	11	0.025	2.8181818181818183	99	1.0244929765373487	45918.91264694214	15	1	1	11	3	106.89078028625558	48	93	1	1	106.65501989397329	0.0	0.0	0.22727272727272727	1	33.0	7	3073.478929612046	0	3	2	0.0	1	0	31	0	0	8	0	19	633	1	0	FALSE
org.jikesrvm.opt.ir	OPT_InlineSequence	13	0.08333333333333333	1.7692307692307692	60	0.5964853648682434	17784.034159463557	18	1	1	13	17	105.84179975589353	66	77	14	1	123.7146200275048	0.0	0.0	0.27692307692307694	0	44.0	6	1789.4560946047304	0	5	4	0.0	1	0	23	0	0	8	0	16	430	1	0	FALSE
org.mmtk.plan.semispace.gctrace	Uninterruptible	7	0.0	3.0	38	0.44775855939083686	11746.789150468305	7	0	1	7	0	118.80795571205063	117	58	0	1	119.27947125488166	0.0	0.5	0.0	0	7.0	4	1343.2756781725107	1	3	0	0.0	1	1	21	0	0	4	0	14	311	1	0	FALSE
test.org.jikesrvm.basic.core.bytecode	TestInstanceOf$Magic	0	0.0	0.0	1	0.005169925001442312	31.019550008653873	0	0	1	0	0	171.0	0	1	0	1	171.0	0.0	0.5	0.0	0	0.0	0	15.509775004326936	0	0	0	0.0	0	1	0	0	0	0	0	0	6	1	0	FALSE
org.jikesrvm.opt.ir	OPT_CallSiteTree	2	0.0	4.5	27	0.2820122572643046	15223.668471831961	2	0	1	2	5	88.17888661008604	30	37	2	1	98.53577128373638	0.0	0.5	0.0	1	2.0	5	846.0367717929139	1	0	3	0.0	1	1	9	0	0	2	0	3	182	1	0	FALSE
org.jikesrvm.opt	OPT_FieldDatabase	3	1.0	2.3333333333333335	18	0.16454901598155727	3612.5877484312778	4	1	1	3	4	117.75437820171052	14	24	1	1	117.51861780942824	0.0	0.5	0.3333333333333333	0	4.0	3	493.64704794467184	1	1	3	0.0	1	1	7	0	0	2	0	7	120	1	0	FALSE
org.jikesrvm.opt.ir	OPT_MachineSpecificIR	14	0.0	1.6428571428571428	32	0.3284110174553937	3931.0529958340503	14	0	1	14	6	140.3762251429488	9	42	1	1	140.3762251429488	6.0	0.0	0.0	0	14.0	2	985.2330523661811	0	0	5	0.0	1	0	23	6	0	14	0	4	256	1	0	FALSE
