Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.jitterbit.tools.db.sqlserver.browser.ui.dialogs	ConversionResultsDisplayer$LogTableModel	3	0.2	1.6666666666666667	22	0.34234037841600556	12423.031207119659	8	1	1	4	4	110.87462846493304	0	35	0	1	110.87462846493304	0.0	0.5	0.06666666666666667	0	4.0	3	1027.0211352480167	1	2	4	0.027777777777777776	1	1	5	0	1	1	0	0	212	1	0	FALSE
org.jitterbit.ui.widget.text.undo	UndoableEditTimer	6	0.16	2.1666666666666665	39	0.30575521854125026	6847.005432676618	11	1	1	7	14	69.24251139404164	62	54	13	1	117.71952228881753	0.0	0.0	0.3333333333333333	0	2.0	4	917.2656556237508	0	1	1	0.0	1	0	13	0	1	5	1	12	212	1	0	FALSE
org.jitterbit.integration.server.implementation.webservice.interchange.deploy	CFileDependencies	0	0.0	0.0	3	0.016906266674359	158.49625007211563	2	1	0	0	1	171.0	7	4	1	1	171.0	0.0	0.0	0.0	0	0.0	0	50.718800023077	0	0	0	0.0	0	0	0	0	0	0	0	1	16	1	0	FALSE
org.jitterbit.util.exception	ExceptionPersistor$PersistableException	4	0.3333333333333333	1.0	10	0.06401426122373023	659.7838060242259	5	1	1	4	3	142.30980261558628	0	15	0	1	142.30980261558628	0.0	0.0	0.75	0	4.0	1	192.0427836711907	0	2	3	0.0	1	0	4	0	0	2	1	0	57	1	0	FALSE
org.jitterbit.integration.ui.interchange.component.trashcan	TrashCanViewUi	17	0.008928571428571428	1.2941176470588236	90	0.9788993092945646	20471.52588952868	24	1	1	17	27	160.4931862169999	40	116	2	1	120.60777221248966	0.0	0.0	0.13445378151260504	1	103.0	3	2936.697927883694	0	6	25	0.0	1	0	22	0	0	11	1	8	648	0	0	FALSE
org.jitterbit.integration.ui.admin.component.user	PackageResources$Upload	0	0.0	0.0	4	0.05003910001730774	720.5630402492314	3	1	1	0	0	171.0	0	5	0	1	171.0	0.0	0.0	0.0	0	0.0	0	150.11730005192322	0	0	0	0.0	0	0	0	0	0	0	0	0	36	1	0	FALSE
org.jitterbit.integration.client.ui.interchange.entity.document.page.table	SegmentTableModel	26	0.1	2.0384615384615383	168	1.942270012801923	62635.890141071824	32	1	1	28	14	155.06357531201496	73	230	3	2	115.1781613075047	0.0	0.6666666666666666	0.07051282051282051	1	162.0	6	5826.810038405769	1	10	12	0.21875	1	2	53	0	2	16	0	31	1236	1	0	FALSE
org.jitterbit.integration.ui.component.permission	UsersPanel$Runnable	1	0.0	1.0	3	0.014847069681253662	103.35302260940247	1	0	1	1	0	137.34000610399403	0	4	0	1	137.34000610399403	0.0	0.0	0.0	0	0.0	1	44.541209043760986	0	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
org.jitterbit.ui.input	LabelIconFieldDecorator	7	0.09523809523809523	1.7142857142857142	36	0.3377489537564173	9332.182248551759	14	1	1	7	15	70.1964133185719	69	50	12	1	120.19516269785913	0.0	0.0	0.22448979591836735	0	16.0	6	1013.2468612692519	0	0	3	0.0	1	0	12	0	0	7	1	16	231	1	0	FALSE
org.jitterbit.integration.ui.component.permission	UsersPanel$BorderLayout	1	0.0	1.0	3	0.018457637380991765	172.75142677642174	1	0	1	1	0	135.58314119498135	0	5	0	1	135.58314119498135	0.0	0.0	0.0	0	1.0	1	55.372912142975295	1	1	0	0.0	0	0	1	0	0	0	0	0	18	0	0	FALSE
