Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.openscience.jmol.app	Measure$MeasureTableModel	9	0.1875	1.2222222222222223	35	0.5124403450383492	14875.661303197543	11	1	1	11	1	127.81324734931079	0	61	0	1	127.81324734931079	0.0	0.5	0.3333333333333333	1	30.0	3	1537.3210351150478	1	3	1	0.0	1	1	11	0	2	6	0	0	349	0	0	FALSE
org.openscience.jmol	ColorManager	27	0.012237762237762238	1.5555555555555556	117	1.558470123737023	48939.67422848929	49	1	1	30	4	122.78183651151335	4	183	1	1	122.78183651151335	0.0	0.0	0.05723905723905724	1	512.0	5	4675.410371211069	0	9	4	0.0	1	0	42	0	3	18	0	4	958	1	14	TRUE
org.openscience.jmol.app	DisplayPanel$PerspectiveAction	2	0.0	1.0	7	0.05468056104511967	544.0945673639607	2	0	1	2	0	134.0300433857473	0	10	0	1	134.0300433857473	0.0	0.5	0.0	0	2.0	1	164.041683135359	1	0	0	0.0	1	1	2	0	0	2	0	0	45	0	0	FALSE
org.openscience.jmol.app	PreferencesDialog$ItemListener_3	1	0.0	1.0	6	0.06448868006611251	863.9846221611131	1	0	1	1	0	118.8489786003496	0	7	0	1	118.8489786003496	0.0	0.0	0.0	0	0.0	1	193.46604019833754	0	0	0	0.0	1	0	1	0	0	1	0	0	45	0	0	FALSE
org.openscience.jmol.app	Vibrate$FrameComboItemListener	1	0.0	3.0	13	0.20568660843576644	5103.196013307699	1	0	1	1	2	120.61146784088315	3	17	0	1	99.99647134507015	0.0	0.0	0.0	0	0.0	3	617.0598253072993	1	0	2	0.0	1	0	3	0	0	1	1	1	114	0	0	FALSE
org.openscience.jmol.app	JmolResourceHandler	5	0.0	3.8	52	0.6046929788142894	20828.66970581958	8	1	1	5	33	144.77198992904474	10	79	33	1	104.88657592453448	0.0	0.0	0.3333333333333333	1	10.0	5	1814.078936442868	1	4	0	0.0	1	0	19	0	0	1	0	2	367	0	0	FALSE
org.openscience.jmol.app	PreferencesDialog$ItemListener_0	1	0.0	1.0	6	0.06448868006611251	863.9846221611131	1	0	1	1	0	118.8489786003496	0	7	0	1	118.8489786003496	0.0	0.0	0.0	0	0.0	1	193.46604019833754	0	0	0	0.0	1	0	1	0	0	1	0	0	45	0	0	FALSE
org.openscience.jmol.app	PreferencesDialog$ItemListener_1	1	0.0	1.0	6	0.06448868006611251	863.9846221611131	1	0	1	1	0	118.8489786003496	0	7	0	1	118.8489786003496	0.0	0.0	0.0	0	0.0	1	193.46604019833754	0	0	0	0.0	1	0	1	0	0	1	0	0	45	0	0	FALSE
org.openscience.jmol.app	EnterListener	1	0.0	1.0	2	0.0054548426588667594	22.169348213818687	1	0	1	1	4	149.17342534177521	0	3	2	1	149.17342534177521	0.0	0.0	0.0	0	1.0	1	16.36452797660028	0	0	2	0.0	0	0	1	0	0	1	0	0	8	0	0	FALSE
org.openscience.jmol.app	PreferencesDialog$ItemListener_2	1	0.0	1.0	6	0.05976679316279056	697.2015179534867	1	0	1	1	0	119.58250183977344	0	7	0	1	119.58250183977344	0.0	0.0	0.0	0	0.0	1	179.30037948837168	0	0	0	0.0	1	0	1	0	0	1	0	0	43	0	0	FALSE
