Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
jmri	NoFeedbackTurnoutOperator	2	0.25	2.5	19	0.18759589772612922	3405.894106292062	6	1	0	4	3	130.36401615739447	7	25	1	2	109.74901966158147	0.0	0.6666666666666666	0.375	0	0.0	4	562.7876931783877	1	0	2	0.0	1	2	5	0	2	2	0	1	126	1	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_6	1	1.0	1.0	5	0.03438304132343355	272.906162867141	3	1	1	1	0	125.74388802321732	0	4	0	1	125.74388802321732	0.0	0.0	0.5	0	0.0	1	103.14912397030065	1	0	0	0.0	0	0	1	0	0	1	0	0	29	0	0	FALSE
jmri.jmrit.display	LayoutCoordinateEdit$java.awt.event.ActionListener	1	0.0	1.0	3	0.030969158402799523	236.92727402362095	1	0	1	1	0	134.50276486540355	0	4	0	1	134.50276486540355	0.0	0.0	0.0	0	1.0	1	92.90747520839857	1	0	0	0.0	0	0	1	0	0	1	0	0	27	0	0	FALSE
jmri.jmrix.powerline.cm11	SpecificReply	4	1.0	4.0	46	0.6382947788331123	46339.03331055088	5	1	1	6	7	120.44778150401693	13	48	3	3	99.83278500820393	0.0	0.75	0.0	0	4.0	13	1914.8843364993368	1	1	4	0.08571428571428572	1	3	16	0	2	3	0	7	344	1	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_8	1	0.0	1.0	3	0.02871260397072346	207.34452978042594	1	0	1	1	0	134.95889515126527	0	4	0	1	134.95889515126527	0.0	0.0	0.0	0	0.0	1	86.13781191217038	1	0	0	0.0	0	0	1	0	0	1	0	0	24	0	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_7	1	0.0	1.0	3	0.02871260397072346	207.34452978042594	1	0	1	1	0	134.95889515126527	0	4	0	1	134.95889515126527	0.0	0.0	0.0	0	0.0	1	86.13781191217038	1	0	0	0.0	0	0	1	0	0	1	0	0	24	0	0	FALSE
jmri.jmrit.symbolicprog	CombinedLocoSelListPane$ActionListener	1	0.0	2.0	4	0.04158596668012825	391.4631751312504	1	0	1	1	0	127.96557873919417	0	5	0	1	127.96557873919417	0.0	0.0	0.0	0	0.0	2	124.75790004038474	1	0	0	0.0	0	0	2	0	0	1	0	0	32	0	0	FALSE
jmri.jmrit.symbolicprog	CombinedLocoSelPane$IdentifyDecoder	3	1.0	1.3333333333333333	8	0.06632473556536579	714.2273984685604	4	1	1	3	1	140.98859404816662	2	11	0	1	140.98859404816662	0.0	0.0	0.3333333333333333	0	6.0	2	198.97420669609738	0	0	1	0.0	1	0	4	0	0	3	0	2	56	0	0	FALSE
jmri.progdebugger	DebugProgrammerManagerTest	8	1.0	1.0	34	0.48927880151400927	9511.858058128926	9	1	1	10	8	144.94051067397788	24	61	2	2	124.3255141781649	0.0	0.6666666666666666	0.0	0	8.0	1	1467.8364045420278	0	1	6	0.0	1	2	8	0	2	7	0	9	333	1	0	FALSE
JHawkDefaultPackage	XtrkCadReader$XtrkCadAnchor	8	0.2285714285714286	3.0	70	0.8634504092631446	27451.873558496074	18	1	1	8	0	76.99734439644303	51	83	0	1	109.21900750341678	0.0	0.0	0.3	1	0.0	6	2590.351227789434	0	3	0	0.0	1	0	24	0	0	5	0	51	533	1	0	FALSE
