Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
test.serialization	NonSerializableTask	2	1.0	1.5	6	0.04809526424246471	569.9268544802521	3	1	1	2	1	115.90532958186188	11	10	1	1	133.77814985347314	0.0	0.5	0.5	0	2.0	2	144.28579272739412	1	0	0	0.0	1	1	3	0	0	2	0	2	40	0	0	FALSE
sample.datasize	DataSizeRunner	5	0.25	3.6	88	1.470186881053376	72651.56212906641	9	1	1	6	8	42.03132613863369	48	99	0	1	92.03007551792092	0.0	0.0	0.45	1	0.0	6	4410.560643160128	0	0	8	0.0	1	0	18	0	1	5	0	10	722	0	0	FALSE
org.jppf.client.monitoring.jobs	JobMonitoringListener	7	0.0	1.0	8	0.45092509159045396	8412.84546732101	7	0	1	7	3	146.9824716684602	28	9	2	1	146.7467112761779	0.0	0.5	0.0	0	7.0	1	1352.7752747713619	0	0	1	0.0	0	1	7	0	0	7	0	56	333	0	0	FALSE
org.jppf.utils	RegexUtils	1	6.0	1.0	8	0.08334265777123077	1262.4778621207438	7	1	1	2	1	162.88792894304473	25	10	1	1	112.89140286372333	0.0	0.0	0.0	0	1.0	1	250.0279733136923	0	0	0	0.0	1	0	1	0	1	1	0	2	60	0	0	FALSE
org.jppf.ui.monitoring.diagnostics	GCAction	3	2.0	1.3333333333333333	16	0.18503752901308326	5991.131942926519	5	1	1	5	5	119.10667145428448	12	19	1	3	118.8709110620022	0.0	0.75	0.0	0	4.0	2	555.1125870392498	1	0	4	0.0	1	3	4	0	2	3	0	2	123	0	1	TRUE
org.jppf.example.datadependency	AbstractTradeUpdater	6	0.05333333333333333	2.0	55	0.7900345376667779	21441.666648318725	21	1	1	16	20	69.70287331346306	74	57	3	1	107.26538297150306	2.0	0.0	0.1111111111111111	1	14.0	5	2370.1036130003336	0	1	17	0.0	1	0	12	2	10	5	1	10	430	0	1	TRUE
org.jppf.utils	FileReplacer$ReplacerFilter	2	0.0	3.5	19	0.18668534251502353	5920.378461575002	3	1	1	2	1	59.67545561474622	17	22	0	1	107.78073738128502	0.0	0.0	1.0	0	0.0	5	560.0560275450706	0	1	1	0.0	1	0	7	0	0	1	1	3	119	1	1	TRUE
org.jppf.node.event	LifeCycleEventHandler	11	0.11666666666666665	2.5454545454545454	77	0.8436540334428285	23165.027851319443	17	1	1	17	14	80.86813860618494	72	95	5	1	113.08980171315869	0.0	0.0	0.2727272727272727	1	0.0	4	2530.9621003284856	0	0	9	0.0	1	0	28	0	6	11	0	12	520	0	2	TRUE
com.sun.jmx.remote.opt.internal	ArrayNotificationBufferAux$BroadcasterQuery	1	0.0	1.0	4	0.04909309922922992	764.4682276004063	1	0	1	1	1	146.451030656076	3	7	0	1	125.83603416026301	0.0	0.5	0.0	0	1.0	1	147.27929768768976	0	1	1	0.0	1	1	1	0	0	0	1	1	36	1	0	FALSE
org.jppf.server.protocol	SendResultsStrategy	2	0.0	1.0	3	0.32066666666666666	15681.000000000002	2	0	1	2	5	91.85565113229599	20	4	4	1	140.33266202707188	0.0	0.0	0.0	0	2.0	1	962.0	0	2	2	0.0	0	0	2	0	0	0	0	10	194	0	0	FALSE
org.jppf.client.monitoring.topology	TopologyManager$StatusListener	1	0.0	6.0	17	0.22855327996822394	9626.397727679212	1	0	1	1	6	93.55645540525953	4	19	0	1	93.32069501297724	0.0	0.0	0.0	0	0.0	6	685.6598399046718	1	0	6	0.0	1	0	6	0	0	1	1	2	126	1	0	FALSE
org.jppf.node.event	JobClassPathHandler	1	0.0	17.0	39	0.7783492115225153	53660.858183324635	3	1	1	3	6	36.19085082596118	12	45	0	1	73.75336048400118	0.0	0.5	1.0	0	0.0	17	2335.047634567546	0	0	6	0.0	1	1	17	0	2	1	0	1	368	0	1	TRUE
org.jppf.process.event	ProcessWrapperEventListener	2	0.0	1.0	3	0.043296241674839774	443.31687508756903	2	0	1	2	4	152.76386970645112	8	5	3	1	152.52810931416883	0.0	0.5	0.0	0	2.0	1	129.88872502451932	0	0	1	0.0	0	1	2	0	0	2	0	6	38	0	0	FALSE
org.jppf.ui.monitoring.data	ClientHandler$DefaultListCellRenderer	1	0.0	3.0	9	0.1951658557806811	8752.179153199164	1	0	1	1	1	104.10874267982699	0	13	0	1	104.10874267982699	0.0	0.0	0.0	0	0.0	3	585.4975673420433	1	1	1	0.0	1	0	3	0	0	0	0	0	106	1	0	FALSE
org.jppf.server.job	JobManager	6	0.0	1.0	7	0.47615541688301355	8109.334477373494	6	0	1	6	3	114.1235171781463	37	8	1	1	146.34518028512005	0.0	0.0	0.0	0	6.0	1	1428.4662506490406	0	3	2	0.0	0	0	6	0	0	3	0	98	302	0	0	FALSE
org.jppf.node.policy	AtMost	3	0.3333333333333333	2.0	24	0.30427472817015544	10667.506904469941	6	1	1	3	3	59.191772616130976	29	43	1	1	109.19052199541821	0.0	0.5	0.5555555555555556	0	0.0	3	912.8241845104664	1	2	2	0.0	1	1	6	0	0	1	0	4	191	0	0	FALSE
org.jppf.example.fractals	GeneratedImage	3	0.25	1.0	10	0.050622837725188295	664.8375795873783	5	1	1	3	4	92.44014608759757	23	14	4	1	134.7312986787823	0.0	0.0	0.3333333333333333	0	5.0	1	151.86851317556489	0	2	0	0.0	0	0	3	0	0	1	0	4	46	0	0	FALSE
org.jppf.caching	JPPFSynchronizedSoftCache	5	0.0	1.0	17	0.16570419193465583	3074.1356905590296	6	1	1	6	3	181.24135522517247	9	33	1	1	131.24149418354435	0.0	0.0	1.0	0	0.0	1	497.1125758039675	0	3	2	0.0	1	0	5	0	1	2	1	1	128	0	0	FALSE
org.jppf.example.fractals	WindowClosingListener	1	0.0	1.0	5	0.0394820384498444	394.56140372336625	1	0	1	1	2	74.48436669967396	9	10	0	1	124.48311607896119	0.0	0.5	0.0	0	1.0	1	118.44611534953322	0	0	2	0.0	1	1	1	0	0	1	0	2	30	0	0	FALSE
sample.test	ExecutionReport	0	0.0	0.0	5	0.03045883937646083	255.85425076227096	4	1	1	0	1	171.0	15	7	1	1	171.0	0.0	0.0	0.0	0	0.0	0	91.37651812938249	0	0	0	0.0	0	0	0	0	0	0	1	1	24	0	0	FALSE
org.jppf.utils	JPPFBuffer	11	0.03333333333333333	1.0	28	0.2183338234560724	3311.425000343544	14	1	1	11	13	122.3794393344524	59	52	11	1	140.25225960606366	0.0	0.0	0.36363636363636365	0	2.0	1	655.0014703682173	0	5	2	0.0	1	0	11	0	0	6	0	12	180	0	0	FALSE
