Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
net.sourceforge.jtds.jdbc	PreparedStatementTest	22	0.0	2.4545454545454546	587	8.462573505978272	441729.0932200575	22	0	1	22	2	41.837816065264846	163	679	1	2	84.12896865644959	0.0	0.6666666666666666	0.0	0	0.0	6	25387.720517934817	1	0	1	0.0	1	2	54	0	0	22	0	102	4400	1	0	FALSE
net.sourceforge.jtds.jdbc	SecureSocket	8	0.009523809523809523	1.0	36	0.4074255696846343	5816.37990001206	23	1	1	8	3	88.44516975220034	101	44	3	1	126.00767941024034	0.0	0.5	0.058333333333333334	0	26.0	1	1222.2767090539028	0	3	0	0.0	1	1	8	0	0	5	0	28	259	0	0	FALSE
net.sourceforge.jtds.jdbc	Tds8Test	12	0.0	1.6666666666666667	220	3.13840733932358	120331.1424321918	12	0	1	12	2	113.164695490615	37	259	1	2	92.549698994802	0.0	0.6666666666666666	0.0	0	0.0	7	9415.22201797074	1	1	1	0.0	1	2	20	0	0	11	0	20	1651	1	0	FALSE
net.sourceforge.jtds.test	SAfeTest$Runnable	1	0.0	2.0	5	0.030587269428422426	347.0472331410691	1	0	1	1	0	145.3775222216314	3	8	0	1	124.76252572581839	0.0	0.0	0.0	0	1.0	2	91.76180828526728	0	0	0	0.0	1	0	2	0	0	1	0	3	26	0	0	FALSE
net.sourceforge.jtds.jdbc	Driver	9	0.0	1.3333333333333333	32	0.33785177731281285	7313.554234128934	9	0	1	9	4	130.2214245986811	2	50	2	1	130.2214245986811	0.0	0.0	0.0	0	9.0	3	1013.5553319384386	0	4	2	0.0	1	0	12	0	0	5	1	2	239	1	0	FALSE
net.sourceforge.jtds.test	ClientSideCursorTest	6	0.0	3.5	138	1.9214238310486187	97973.03575207059	6	0	1	6	2	68.86768462787319	33	160	1	3	86.74050489948445	0.0	0.75	0.0	0	0.0	7	5764.271493145856	1	0	1	0.0	1	3	21	0	0	6	0	10	961	1	0	FALSE
net.sourceforge.jtds.jdbc	SQLParser$CachedSQLQuery	1	0.0	3.0	28	0.27935558366475977	13771.104972867899	6	1	1	1	1	84.17188491838117	0	30	0	1	84.17188491838117	0.0	0.0	1.0	0	0.0	3	838.0667509942793	0	0	1	0.0	1	0	3	0	0	1	0	0	169	1	0	FALSE
net.sourceforge.jtds.test	CallableStatementTest	42	0.0	1.2142857142857142	449	5.60820997570459	166263.97724626886	42	0	1	42	2	105.55910055901755	193	591	1	2	105.32334016673526	0.0	0.6666666666666666	0.0	0	0.0	2	16824.62992711377	1	0	1	0.0	1	2	51	0	0	42	0	66	3279	1	0	FALSE
net.sourceforge.jtds.jdbc	TdsSocket	17	0.07291666666666666	2.176470588235294	100	1.4230928119658415	88323.4919629287	23	1	1	17	12	73.19710683091235	134	154	9	1	115.48825942209709	3.0	0.0	0.09803921568627451	1	32.0	9	4269.278435897524	0	4	7	0.0	1	0	37	3	0	13	0	39	796	1	0	FALSE
net.sourceforge.jtds.util	MD5Digest	15	0.09006211180124224	1.2666666666666666	158	4.295485842350597	434644.97678740334	38	1	0	15	3	119.1208661343033	47	216	2	1	98.5058696384903	0.0	0.5	0.12753623188405797	1	50.0	2	12886.457527051789	1	1	1	0.16666666666666666	1	1	19	0	0	14	0	34	2055	1	0	FALSE
