Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
com.vividsolutions.jump.workbench.imagery.geoimg	GeoRaster$LinkedHashMap	1	0.0	1.0	3	0.02666666666666667	280.0	1	0	1	1	0	133.93150048073778	0	5	0	1	133.93150048073778	0.0	0.0	0.0	0	1.0	1	80.0	1	1	0	0.0	0	0	1	0	0	0	0	0	20	1	0	FALSE
com.vividsolutions.jump.workbench.ui.renderer	SelectionBackgroundRenderer	2	1.0	2.0	20	0.2989164696421216	10885.188992473859	3	1	1	2	8	154.1196805314075	3	22	3	2	104.1198194897794	0.0	0.6666666666666666	0.5	0	2.0	3	896.7494089263647	0	1	5	0.0	1	2	4	0	0	1	0	3	172	0	0	FALSE
com.vividsolutions.jump.tools	OverlayEngine	7	0.2222222222222222	2.142857142857143	58	0.8113269346127155	32209.524487611045	10	1	1	8	13	128.90810423907055	24	80	5	1	108.29310774325756	1.0	0.0	0.14285714285714285	1	17.0	4	2433.9808038381466	0	2	8	0.0	1	0	15	1	1	5	0	4	468	0	0	FALSE
com.vividsolutions.jump.workbench.ui	LayerViewPanel	51	0.007058823529411764	1.8431372549019607	282	3.537845449378152	108843.33347773082	68	1	1	59	145	158.4547118990538	121	366	125	1	118.56929789454352	1.0	0.3333333333333333	0.05190311418685121	1	1391.0	8	10613.536348134456	1	25	29	0.0	1	1	94	1	8	26	1	97	2154	0	0	FALSE
com.vividsolutions.jump.workbench.ui.zoom	ZoomToCoordinatePlugIn	5	0.75	3.6	65	0.8450360518924723	41541.61461546236	6	1	1	6	12	98.2876609828142	1	83	0	1	98.2876609828142	0.0	0.5	0.4	1	7.0	7	2535.108155677417	1	5	12	0.0	1	1	18	0	1	0	0	1	478	0	0	FALSE
org.openjump.core.ui.plugin.tools.geometrychange	ExtractCommonBoundaryBetweenPolysPlugIn	5	0.375	1.6	46	0.7122155725032481	16935.001103980474	13	1	1	5	17	128.11512378865564	19	68	0	1	107.50012729284263	0.0	0.5	0.425	1	0.0	2	2136.646717509744	0	2	17	0.0	1	1	8	0	0	3	1	19	412	0	0	FALSE
org.openjump.core.ui.plugin.layer	LayerPropertiesPlugIn$PropertyPanel	3	0.0	1.0	4	0.06293643580213802	545.8604799353744	3	0	1	3	0	203.20303220038932	3	5	0	1	153.20317115876122	0.0	0.0	0.0	0	3.0	1	188.80930740641406	0	2	0	0.0	0	0	3	0	0	1	0	3	56	1	0	FALSE
org.openjump.core.ui.plot	Plot2DCanvasOJ	33	1.0	1.0303030303030303	77	1.40294523644733	26497.19416421044	34	1	1	33	6	136.89020944347706	23	113	1	1	136.89020944347706	0.0	0.5	0.0	1	33.0	2	4208.83570934199	1	26	5	0.0	1	1	34	0	0	7	0	3	980	0	0	FALSE
org.openjump.util	SLDImporter$StrokeFillStyle	0	0.0	0.0	1	0.005169925001442312	15.509775004326936	0	0	1	0	1	171.0	1	2	0	3	171.0	0.0	0.75	0.0	0	0.0	0	15.509775004326936	0	0	1	0.0	0	3	0	0	0	0	0	1	6	1	0	FALSE
de.soldin.awt	VerticalFlowLayout	25	0.015151515151515152	2.2	233	3.0493109643458176	338241.6335859707	36	1	1	25	1	58.562778089803366	288	286	1	1	102.69038790061258	0.0	0.0	0.10545454545454545	1	209.0	16	9147.932893037452	1	12	0	0.0	1	0	55	0	0	13	1	63	1660	0	0	FALSE
com.vividsolutions.jump.workbench.imagery.geoimg	GeoImage	10	0.08888888888888889	2.8	137	2.406247046952812	312283.0404559102	20	1	1	10	9	75.94433358076944	58	190	1	1	93.8171538523807	0.0	0.0	0.18	1	6.0	16	7218.741140858436	0	4	8	0.0	1	0	28	0	0	6	1	58	1120	0	0	FALSE
com.vividsolutions.jump.workbench.imagery.imageio	JP2GDALJasperImageReaderSpi	4	0.2631578947368421	1.25	29	0.40017376539786037	7821.628593484721	23	1	1	4	2	81.28529977068507	24	52	2	1	113.50696287765882	0.0	0.5	0.25	0	8.0	2	1200.521296193581	1	3	1	0.0	1	1	5	0	0	1	0	11	231	0	0	FALSE
com.vividsolutions.jump.workbench.ui.plugin.clipboard	AbstractTransferable	4	0.6666666666666666	1.5	15	0.11257712355165991	2126.180846446657	5	1	1	4	5	131.64602810517442	0	19	5	1	131.64602810517442	2.0	0.0	0.5	0	4.0	3	337.73137065497974	0	3	0	0.0	1	0	6	2	0	1	1	0	86	0	0	FALSE
com.vividsolutions.jump.workbench.ui.warp	WarpingPanel$java.awt.event.ActionListener	1	0.0	1.0	3	0.011623058338621813	83.68602003807705	1	0	1	1	0	138.06189489250244	0	5	0	1	138.06189489250244	0.0	0.0	0.0	0	1.0	1	34.86917501586544	1	0	0	0.0	0	0	1	0	0	1	0	0	11	1	0	FALSE
com.vividsolutions.jump.workbench.ui	LayerableNamePanel	1	0.0	1.0	2	0.018701905445278066	200.42286534333678	1	0	1	1	4	141.64354691755096	0	3	2	1	141.64354691755096	0.0	0.5	0.0	0	1.0	1	56.105716335834195	0	1	2	0.0	0	1	1	0	0	0	0	0	17	0	0	FALSE
com.vividsolutions.jump.workbench.ui	LayerViewFrame	7	0.018518518518518517	1.1428571428571428	29	0.2571511589601312	3776.437289890023	16	1	1	10	7	126.99737759666002	3	39	1	1	126.99737759666002	0.0	0.5	0.09523809523809523	1	8.0	2	771.4534768803935	1	5	6	0.0	1	1	8	0	3	2	0	1	184	0	0	FALSE
com.vividsolutions.jump.plugin.edit	TriPointTransRotScaleBuilder	2	0.0	1.5	20	0.3597851596779472	20384.659563286674	2	0	1	2	6	72.65996242147801	26	30	1	1	102.04034820766724	0.0	0.5	0.0	0	2.0	2	1079.3554790338417	0	0	5	0.0	1	1	3	0	0	2	0	5	205	0	0	FALSE
de.latlon.deejump.wfs.ui	WFSPanel	36	0.03251231527093596	2.3055555555555554	340	6.3659316912787025	330093.8797519672	65	1	1	38	25	124.62507639891874	125	423	11	1	104.01007990310573	0.0	0.5	0.06609195402298851	1	834.0	10	19097.795073836107	1	20	20	0.0	1	1	83	0	2	16	0	67	3193	0	0	FALSE
com.vividsolutions.jump.workbench.ui	OneLayerAttributeTab$LayerListener	3	0.0	1.6666666666666667	8	0.08630628001591482	1541.3615835510416	3	0	1	3	4	138.30653844989718	2	15	0	1	138.30653844989718	0.0	0.0	0.0	0	3.0	3	258.9188400477445	1	0	4	0.0	1	0	5	0	0	3	0	2	64	1	0	FALSE
com.vividsolutions.jump.workbench.ui.cursortool	SplitLineStringTool	6	0.8	2.3333333333333335	51	0.7008166888183832	21591.73286529963	7	1	1	6	10	109.11416092485135	5	72	2	4	109.11416092485135	0.0	0.8	0.3333333333333333	1	10.0	4	2102.4500664551497	1	4	8	0.03636363636363636	1	4	14	0	0	2	0	5	410	0	0	FALSE
de.latlon.deejump.wfs.ui	WFSPanelButtons$ActionListener	1	0.0	1.0	4	0.04162136177394811	535.1317942364757	1	0	1	1	1	127.0558366814927	0	9	0	1	127.0558366814927	0.0	0.0	0.0	0	0.0	1	124.86408532184433	0	0	1	0.0	1	0	1	0	0	1	0	0	28	1	0	FALSE
org.openjump.core.ui.plugin.mousemenu	PasteItemsAtPlugIn$CoordinateFilter	1	0.0	1.0	4	0.028370037839081708	437.70915523154633	1	0	1	1	0	177.7429754520296	1	6	0	1	127.74311441040152	0.0	0.0	0.0	0	1.0	1	85.11011351724513	0	0	0	0.0	0	0	1	0	0	1	0	1	23	1	0	FALSE
com.vividsolutions.jump.workbench.ui.plugin	CopySelectedLayersToWarpingVectorsPlugIn$UndoableCommand	2	0.0	1.5	6	0.06758879285979938	1020.9873357627023	2	0	1	2	1	131.7842303892203	0	12	0	1	131.7842303892203	0.0	0.0	0.0	0	2.0	2	202.76637857939815	0	0	1	0.0	1	0	3	0	0	2	0	0	50	1	0	FALSE
org.openjump.core.ui.plugin.edittoolbox	DrawConstrainedLineStringPlugIn$ComponentAdapter	1	0.0	1.0	4	0.09597302792201096	1964.6243362858713	1	0	1	1	1	122.60797870616904	0	7	0	1	122.60797870616904	0.0	0.0	0.0	0	1.0	1	287.9190837660329	0	0	1	0.0	1	0	1	0	0	1	0	0	62	1	0	FALSE
com.vividsolutions.jump.workbench.ui	SelectionManagerProxy	1	0.0	1.0	2	0.008666666666666666	61.0	1	0	0	1	26	145.71182705945617	0	3	25	1	145.71182705945617	0.0	0.0	0.0	0	1.0	1	26.0	0	1	1	0.0	0	0	1	0	0	0	0	0	10	0	0	FALSE
