Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.omegat.gui.editor.autocompleter	AutoCompleterTableView$MouseAdapter	1	0.0	3.0	8	0.10631596290485124	2392.109165359153	1	0	1	1	0	110.45300302750684	0	13	0	1	110.45300302750684	0.0	0.0	0.0	0	0.0	3	318.9478887145537	0	0	0	0.0	1	0	3	0	0	1	0	0	65	1	0	FALSE
org.omegat.filters3.xml.xhtml	XHTMLDialect	9	0.078125	3.6666666666666665	98	1.6428714107737927	80330.12232448558	17	1	1	10	6	59.99750403481232	66	129	1	1	102.28865662599706	0.0	0.5	0.19444444444444445	1	41.0	11	4928.614232321378	1	7	5	0.0	1	1	33	0	1	2	0	23	837	0	0	FALSE
org.omegat.gui.editor	DocumentFilter3	4	0.0	4.5	42	0.6901002198711959	37168.99967917105	4	0	1	4	6	122.71885910306781	13	62	1	1	102.10386260725481	0.0	0.5	0.0	1	4.0	10	2070.3006596135874	1	1	5	0.0	1	1	18	0	0	3	0	7	384	0	0	FALSE
org.omegat.core.data	ExternalTMX	4	0.0	2.5	18	0.9308823840981331	77940.68694058774	6	1	1	4	18	154.43595959849728	10	26	12	1	114.55054559398701	0.0	0.0	0.5	0	2.0	6	2792.6471522943993	0	3	6	0.0	1	0	10	0	0	1	0	4	457	0	0	FALSE
org.omegat.gui.dialogs	TagProcessingOptionsDialog	8	0.24060150375939848	1.25	227	4.726384646065758	360028.85798139084	27	1	1	8	8	100.93837750520336	26	242	1	1	80.32338100939036	0.0	0.5	0.2631578947368421	1	30.0	2	14179.153938197274	1	2	7	0.0	1	1	10	0	0	6	0	30	2209	0	0	FALSE
org.omegat.util	StaticUtilsTest	7	0.0	1.2857142857142858	39	0.5496588653430293	23439.825049377392	7	0	1	7	4	167.11148136420456	9	57	0	1	117.11162032257644	0.0	0.5	0.0	0	7.0	3	1648.9765960290881	1	1	4	0.0	1	1	9	0	0	6	0	3	337	0	0	FALSE
org.omegat.gui.matches	IMatcher	5	0.0	1.0	6	0.23430267990606382	2379.0808490438644	5	0	1	5	4	170.53058848620378	19	7	3	1	149.91559199039077	0.0	0.0	0.0	0	5.0	1	702.9080397181915	0	2	1	0.0	0	0	5	0	0	3	0	22	167	0	0	FALSE
org.omegat.tokenizer	ITokenizer	8	4.0	1.0	13	1.341522649732671	36870.91211762223	12	1	1	8	24	109.92811742010076	54	14	23	1	142.1497805270745	0.0	0.0	0.0	0	8.0	1	4024.5679491980136	0	7	1	0.0	0	0	8	0	0	1	0	99	758	0	0	FALSE
org.omegat.filters3.xml.xliff	EditXLIFFOptionsDialog$java.awt.event.WindowAdapter	1	0.0	1.0	3	0.02096915840279952	176.92727402362095	1	0	1	1	0	135.5014543407221	0	5	0	1	135.5014543407221	0.0	0.0	0.0	0	1.0	1	62.907475208398566	1	0	0	0.0	0	0	1	0	0	1	0	0	17	1	0	FALSE
org.omegat.gui.dialogs	CreateGlossaryEntry$java.awt.event.WindowAdapter	1	0.0	1.0	3	0.02096915840279952	176.92727402362095	1	0	1	1	0	135.5014543407221	0	5	0	1	135.5014543407221	0.0	0.0	0.0	0	1.0	1	62.907475208398566	1	0	0	0.0	0	0	1	0	0	1	0	0	17	1	0	FALSE
org.omegat.util	FileUtil$FileFilter	1	0.0	1.0	3	0.05239110599913755	914.4629410758555	1	0	1	1	1	129.8837685774589	0	6	0	1	129.8837685774589	0.0	0.0	0.0	0	1.0	1	157.17331799741265	0	1	1	0.0	1	0	1	0	0	0	0	0	37	1	0	FALSE
org.omegat.core.team	IRemoteRepository$BadRepositoryException	1	0.0	1.0	3	0.012666666666666666	83.0	1	0	1	1	0	138.09004604491224	0	5	0	1	138.09004604491224	0.0	0.5	0.0	0	1.0	1	38.0	0	0	0	0.0	0	1	1	0	0	1	0	0	14	1	0	FALSE
org.omegat.filters2.master	PluginUtils$Comparator	1	0.0	1.0	3	0.04169925001442312	938.2331253245203	1	0	1	1	0	129.79600621572646	0	6	0	1	129.79600621572646	0.0	0.0	0.0	0	1.0	1	125.09775004326937	0	1	0	0.0	1	0	1	0	0	0	0	0	30	1	0	FALSE
org.omegat.util	TMXReader$Tag	3	0.625	1.3333333333333333	15	0.14376338669043284	2234.1807440845896	7	1	1	3	0	122.48017916364853	13	21	0	1	122.24441877136624	0.0	0.0	0.6666666666666666	1	1.0	2	431.2901600712985	0	2	0	0.0	0	0	4	0	0	1	0	4	107	1	0	FALSE
org.omegat.filters3.xml	ProcessingInstruction	2	0.0	1.5	9	0.07837410426764689	1492.3882212115298	4	1	0	2	2	107.95270277599562	11	14	1	2	125.82552304760688	0.0	0.6666666666666666	0.5	0	2.0	2	235.12231280294068	0	1	1	0.10526315789473684	1	2	3	0	0	1	0	3	62	0	0	FALSE
org.omegat.core.machinetranslators	Google2Translate	3	0.0	4.333333333333333	56	1.065257656536248	92799.00280609893	6	1	1	4	5	109.09235670734083	9	74	0	1	88.47736021152782	0.0	0.5	0.3333333333333333	0	4.0	11	3195.7729696087436	1	3	5	0.0	1	1	13	0	1	0	0	3	491	0	0	FALSE
org.omegat.util.gui	Styles	3	1.0	3.0	32	0.3817066103654188	11412.158923114344	4	1	1	4	21	73.02990512472458	18	44	18	1	105.25156823169833	0.0	0.0	0.0	1	3.0	5	1145.1198310962563	0	2	3	0.0	1	0	9	0	1	1	0	3	244	0	0	FALSE
org.omegat.gui.dialogs	NewTeamProject$DocumentListener_0	3	0.0	1.0	7	0.04151317942364757	311.34884567735673	3	0	1	3	0	143.89434391165602	0	14	0	1	143.89434391165602	0.0	0.0	0.0	0	3.0	1	124.53953827094271	1	0	0	0.0	0	0	3	0	0	3	0	0	36	1	0	FALSE
org.omegat.gui.dialogs	ProjectPropertiesDialog$java.awt.event.ActionListener	1	0.0	1.0	3	0.01726871868465843	129.51539013493823	1	0	1	1	0	136.56828589205497	0	6	0	1	136.56828589205497	0.0	0.0	0.0	0	1.0	1	51.80615605397529	1	0	0	0.0	0	0	1	0	0	1	0	0	14	1	0	FALSE
org.omegat.gui.editor	EditorPopups$GoToSegmentPopup$ActionListener	1	0.0	1.0	4	0.02865053103446247	236.36688103431538	1	0	1	1	0	129.8504140391489	0	6	0	1	129.8504140391489	0.0	0.0	0.0	0	0.0	1	85.95159310338741	0	0	0	0.0	1	0	1	0	0	1	0	0	22	1	0	FALSE
org.omegat.tokenizer	DefaultTokenizer	14	0.46153846153846156	2.357142857142857	96	1.038221624062345	58414.491708790105	16	1	1	16	15	95.39344689049014	78	118	9	1	113.2662671621014	0.0	0.0	0.07142857142857142	1	38.0	8	3114.664872187035	0	12	6	0.0	1	0	33	0	2	2	1	33	629	0	0	FALSE
org.omegat.gui.glossary	TransTipsMarker$TransTips.Search	1	0.0	1.0	5	0.05880630542874117	887.6076725650621	1	0	1	1	3	121.71033378221497	0	7	0	1	121.71033378221497	0.0	0.0	0.0	0	0.0	1	176.41891628622352	0	0	3	0.0	1	0	1	0	0	1	0	0	39	1	0	FALSE
org.omegat.filters3	OutOfTurnTag	4	0.6666666666666666	1.0	19	0.19010792016439088	4216.487887025799	5	1	1	4	7	76.26023547272008	43	24	1	1	124.73724636749597	1.0	0.3333333333333333	0.5	1	4.0	1	570.3237604931726	1	3	6	0.1	1	1	4	1	0	1	0	5	134	0	0	FALSE
org.omegat.core.statistics	MatchStatCounts	9	0.125	2.0	63	0.7729646078057332	35148.543529057235	11	1	0	9	3	131.6480387491436	31	67	1	1	111.03304225333062	0.0	0.0	0.6111111111111112	1	0.0	6	2318.8938234171997	0	3	2	0.0	1	0	18	0	0	6	0	8	489	0	0	FALSE
org.omegat.filters2.html2	EditOptionsDialog$java.awt.event.ActionListener_0	1	0.0	1.0	3	0.02096915840279952	176.92727402362095	1	0	1	1	0	135.5014543407221	0	5	0	1	135.5014543407221	0.0	0.0	0.0	0	1.0	1	62.907475208398566	1	0	0	0.0	0	0	1	0	0	1	0	0	17	1	0	FALSE
org.omegat.util	StaticUtils$Comparator	1	0.0	1.0	3	0.026045937304056792	491.1519605907852	1	0	1	1	0	132.00958370750763	0	6	0	1	132.00958370750763	0.0	0.0	0.0	0	1.0	1	78.13781191217038	0	1	0	0.0	0	0	1	0	0	0	0	0	20	1	0	FALSE
org.omegat.gui.filelist	ProjectFilesListController$DocumentListener	3	0.0	1.0	7	0.04151317942364757	311.34884567735673	3	0	1	3	0	143.89434391165602	0	14	0	1	143.89434391165602	0.0	0.0	0.0	0	3.0	1	124.53953827094271	1	0	0	0.0	0	0	3	0	0	3	0	0	36	1	0	FALSE
org.omegat.util.gui	TableColumnSizer	16	0.14666666666666667	3.3125	158	2.2332432253125116	114547.84480405512	26	1	1	19	4	86.90020554509015	81	182	4	1	104.7730258167014	0.0	0.0	0.2375	1	16.0	9	6699.729675937535	0	3	0	0.0	1	0	53	0	3	13	0	16	1249	0	0	FALSE
org.omegat.gui.editor	EditorPopups$SpellCheckerPopup$ActionListener	1	0.0	2.0	7	0.06815338753100972	946.9733846413983	1	0	1	1	1	155.76405895976382	2	11	0	1	115.87864495525358	0.0	0.0	0.0	0	1.0	2	204.46016259302917	0	0	1	0.0	1	0	2	0	0	1	0	2	43	1	0	FALSE
