Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
ru.runa.wf.web.ftl.method	DisplayVariableTag	1	1.0	2.0	12	0.16739364181931868	5074.257084369032	2	1	1	1	3	101.40586933380328	0	17	0	1	101.40586933380328	0.0	0.5	0.0	0	0.0	2	502.18092545795605	1	1	3	0.0	1	1	2	0	0	0	0	0	98	0	0	FALSE
ru.runa.gpd.ui.wizard	FieldValidatorsWizardPage$DefaultValidatorInfoControl$LoggingSelectionAdapter	1	0.0	2.0	5	0.06540499707334703	1222.5703299094866	1	0	1	1	0	120.45589120452658	0	10	0	1	120.45589120452658	0.0	0.0	0.0	0	1.0	2	196.21499122004107	0	0	0	0.0	1	0	2	0	0	1	0	0	44	1	0	FALSE
ru.runa.af.web.tag	BotTaskListTag	8	0.42857142857142855	1.625	67	1.1922264123887292	60806.222885367846	10	1	1	8	21	106.64024014790837	7	87	0	4	106.64024014790837	0.0	0.8	0.125	0	16.0	4	3576.6792371661877	1	6	21	0.32653061224489793	1	4	13	0	0	2	0	2	609	0	0	FALSE
ru.runa.wfe.job	Job	18	0.050420168067226885	1.0	44	0.49992077460824097	6424.640791586389	25	1	1	18	9	139.66988276598912	0	80	5	1	139.66988276598912	1.0	0.0	0.09523809523809523	1	142.0	1	1499.762323824723	0	8	4	0.0	1	0	18	1	0	10	0	0	372	0	0	FALSE
ru.runa.gpd.extension	HandlerRegistry	9	0.0625	2.3333333333333335	67	0.9009921834386871	40366.21003073282	15	1	1	15	39	110.52422584807243	0	84	32	1	110.52422584807243	0.0	0.5	0.1111111111111111	1	47.0	9	2702.9765503160615	1	7	9	0.041666666666666664	1	1	21	0	6	2	0	0	511	0	0	FALSE
ru.runa.gpd.editor	VariableTypeEditorPage$MoveToTypeAttributeSelectionListener	3	1.0	6.666666666666667	78	1.3423751107774085	68481.65720811406	4	1	1	5	13	83.46037397517901	0	99	0	2	83.46037397517901	0.0	0.6666666666666666	0.3333333333333333	1	4.0	11	4027.1253323322253	1	0	13	0.0	1	2	20	0	2	3	0	0	652	1	0	FALSE
ru.runa.gpd.editor	SwimlaneEditorPage$SearchSwimlaneUsageSelectionListener	1	0.0	1.0	6	0.0852523435838354	1457.3786298963116	1	0	1	1	3	117.06086692300619	0	9	0	2	117.06086692300619	0.0	0.6666666666666666	0.0	0	0.0	1	255.75703075150622	1	0	3	0.0	1	2	1	0	0	1	0	0	55	1	0	FALSE
ru.runa.gpd.editor	StructuredSelectionProvider	5	1.0	1.2	11	0.07962265697553282	942.6295396510338	6	1	1	5	2	141.8108965119149	0	22	2	1	141.8108965119149	0.0	0.0	0.2	0	8.0	2	238.86797092659847	0	1	0	0.0	1	0	6	0	0	4	1	0	70	0	0	FALSE
ru.runa.gpd.ui.wizard	NewBotWizardPage$SelectionAdapter	1	0.0	1.0	3	0.01383772647454919	103.78294855911892	1	0	1	1	0	137.32580916030375	0	6	0	1	137.32580916030375	0.0	0.0	0.0	0	1.0	1	41.51317942364757	1	0	0	0.0	0	0	1	0	0	1	0	0	12	1	0	FALSE
ru.runa.gpd.quick.formeditor.util	PresentationVariableUtils	1	0.0	2.0	8	0.07744051539630452	1975.184681619259	1	0	1	1	1	111.20123640861505	0	12	1	1	111.20123640861505	0.0	0.0	0.0	0	1.0	2	232.32154618891354	0	1	0	0.0	1	0	2	0	0	0	0	0	51	0	0	FALSE
ru.runa.gpd.util	PhraseDecliner_ru	2	0.0	3.5	28	0.4516659325988797	23976.487963981388	2	0	1	2	2	95.83958408846235	0	36	0	1	95.83958408846235	0.0	0.5	0.0	1	2.0	5	1354.9977977966391	1	2	2	0.0	1	1	7	0	0	0	0	0	258	0	0	FALSE
ru.runa.gpd.ui.wizard	ImportBotElementWizardPage	18	0.011764705882352941	2.0555555555555554	167	2.8349565076201895	167445.7143924159	28	1	1	19	17	103.98713010644575	3	182	4	2	103.98713010644575	1.5	0.3333333333333333	0.08888888888888889	1	102.0	12	8504.869522860568	1	10	13	0.0	1	2	37	3	1	8	0	4	1432	0	0	FALSE
ru.runa.notifier.tray	SystemTrayAlert$ExtendedThread$Runnable	1	0.0	2.0	4	0.02865053103446247	343.80637241354964	1	0	1	1	0	128.40953859053045	0	8	0	1	128.40953859053045	0.0	0.0	0.0	0	0.0	2	85.95159310338741	1	0	0	0.0	0	0	2	0	0	1	0	0	22	1	0	FALSE
ru.runa.gpd.editor.gef.part.tree	OutlineRootTreeEditPart	3	0.5	1.0	11	0.08907285290759673	1079.7595948346566	4	1	1	4	3	133.07276650378304	0	18	2	1	133.07276650378304	0.0	0.5	0.6666666666666666	0	1.0	1	267.2185587227902	1	1	1	0.0	1	1	3	0	1	2	0	0	71	0	0	FALSE
ru.runa.gpd.settings	ArtifactPreferencePage$EditSelectionListener	1	0.0	1.0	3	0.016504393141215858	111.78294855911892	1	0	1	1	0	137.0718490350643	0	6	0	1	137.0718490350643	0.0	0.5	0.0	0	1.0	1	49.51317942364757	1	0	0	0.0	0	1	1	0	0	1	0	0	16	1	0	FALSE
ru.runa.wfe.commons.ftl	FtlTagVariableSubmissionPostProcessor	1	1.0	1.0	3	0.03380024709313668	443.3328393582018	2	1	0	1	5	82.36115434564371	9	4	5	1	132.35990372493094	0.0	0.0	0.0	0	1.0	1	101.40074127941003	0	1	0	0.0	0	0	1	0	0	0	0	1	27	0	0	FALSE
ru.runa.wf.web.form	SwimlaneForm	2	0.3333333333333333	1.0	8	0.0464322139210794	424.69504317997973	5	1	1	2	0	130.21690463597227	0	11	0	1	130.21690463597227	0.0	0.5	0.16666666666666666	0	2.0	1	139.2966417632382	0	1	0	0.0	0	1	2	0	0	1	0	0	39	0	0	FALSE
ru.runa.gpd.ui.wizard	ExportProjectWizardPage$ISelectionChangedListener	1	0.0	1.0	3	0.01383772647454919	103.78294855911892	1	0	1	1	0	137.32580916030375	0	6	0	1	137.32580916030375	0.0	0.0	0.0	0	1.0	1	41.51317942364757	1	0	0	0.0	0	0	1	0	0	1	0	0	12	1	0	FALSE
ru.runa.wfe.office.doc	DocxUtils$SafeIndefiniteLoop_0	2	0.0	1.0	5	0.03897618107677612	421.1096604119384	2	0	1	2	0	141.4748840292002	0	10	0	1	141.4748840292002	0.0	0.0	0.0	0	2.0	1	116.92854323032836	0	1	0	0.0	1	0	2	0	0	1	0	0	31	1	0	FALSE
ru.runa.wfe.office.doc	AbstractIteratorOperation	11	0.06666666666666667	1.9090909090909092	51	0.6316737433730109	20667.399510125506	14	1	1	11	8	122.61191903954503	0	74	3	1	122.61191903954503	2.0	0.25	0.3939393939393939	1	4.0	6	1895.0212301190325	1	8	5	0.2	1	1	21	2	0	3	0	0	414	0	0	FALSE
ru.runa.wfe.office.storage.handler	StorageBindingsParser	2	0.0	2.5	27	0.39929005763562175	15528.695665073294	2	0	1	2	7	98.60311525640526	0	33	1	1	98.60311525640526	0.0	0.5	0.0	0	2.0	4	1197.8701729068653	0	1	6	0.2	1	1	5	0	0	1	0	0	206	0	0	FALSE
ru.runa.common	WebResources	24	0.0024154589371980675	1.0833333333333333	74	0.7318377516869456	11684.412259111208	42	1	1	25	51	132.0212577620041	20	102	48	1	132.0212577620041	0.0	0.0	0.05324074074074074	0	0.0	3	2195.513255060837	0	24	3	0.0	1	0	26	0	1	0	0	6	506	0	0	FALSE
ru.runa.wfe.execution.logic	BotSwimlaneInitializer	5	0.16666666666666666	1.0	15	0.1595320475761611	2082.265111011245	8	1	1	5	6	132.57381499470046	0	25	2	1	132.57381499470046	0.0	0.5	0.4666666666666667	1	0.0	1	478.5961427284833	0	4	4	0.0	1	1	5	0	0	1	0	0	118	0	0	FALSE
ru.runa.gpd.ui.action	SaveAll	3	0.0	2.3333333333333335	19	0.13722859031289164	3966.026206250226	3	0	1	3	2	117.19939400245272	0	23	0	1	117.19939400245272	0.0	0.5	0.0	1	4.0	5	411.6857709386749	0	1	2	0.0	1	1	7	0	0	2	0	0	97	0	0	FALSE
ru.runa.gpd.lang.action	SwimlaneActionsDelegate$ClearSwimlaneAction	2	0.0	1.0	5	0.028134782060803113	199.01086545602337	2	0	1	2	1	144.03828980402096	0	9	0	1	144.03828980402096	0.0	0.5	0.0	0	2.0	1	84.40434618240934	1	0	1	0.0	1	1	2	0	0	2	0	0	27	1	0	FALSE
