Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
fr.esrf.tangoatk.core	BasicErrorHandler	5	0.25	2.2	29	0.22965356966512604	5466.238284509974	6	1	1	5	9	120.81633510477303	0	43	0	1	120.81633510477303	0.0	0.0	0.8	0	0.0	7	688.9607089953781	0	2	9	0.0	1	0	11	0	0	3	1	0	158	1	0	FALSE
fr.esrf.tango.pogo.parseTreeConstruction	PogoDslParsetreeConstructor$Attribute_NameAssignment_0	4	0.0	1.5	16	0.17622870706757332	2695.418146761749	4	0	1	4	0	126.17426558292831	1	23	0	1	126.17426558292831	0.0	0.5	0.0	0	4.0	3	528.68612120272	0	1	0	0.0	1	1	6	0	0	3	0	1	124	1	0	FALSE
fr.esrf.tangoatk.widget.attribute	IconNumberScalarViewer	12	0.1212121212121212	1.1666666666666667	53	0.7785790904501165	17155.395629899467	15	1	1	12	7	173.65958585891246	15	70	1	1	123.65972481728437	0.0	0.5	0.2222222222222222	1	46.0	2	2335.7372713503496	1	3	6	0.0	1	1	14	0	0	9	1	8	496	1	0	FALSE
fr.esrf.tangoatk.core.t	DeviceFactoryTest	9	0.09375	1.4444444444444444	52	0.5375583330448646	10901.41240608681	13	1	1	9	6	120.56250225042808	0	78	2	2	120.56250225042808	0.0	0.6666666666666666	0.3333333333333333	1	0.0	2	1612.6749991345937	1	1	4	0.15384615384615385	1	2	13	0	0	8	0	0	362	1	0	FALSE
fr.esrf.tango.pogo.parseTreeConstruction	PogoDslParsetreeConstructor$IntArrayType_DevVarLongArrayKeyword_1	3	0.0	1.0	9	0.08652869568722112	1112.88574763581	3	0	1	3	0	132.9694209594343	0	14	0	1	132.9694209594343	0.0	0.5	0.0	0	4.0	1	259.58608706166336	0	0	0	0.0	1	1	3	0	0	3	0	0	68	1	0	FALSE
fr.esrf.Tango	AttributeValueListHolder	5	0.5	1.0	11	0.15000513139190066	1670.7711198282652	6	1	0	5	2	139.89533466389963	4	24	0	1	139.89533466389963	0.0	0.0	0.6	0	2.0	1	450.015394175702	0	1	2	0.0	1	0	5	0	0	4	1	1	113	1	0	FALSE
admin.astor.access	EditDialog$java.awt.event.KeyAdapter	1	0.0	1.0	3	0.030969158402799523	236.92727402362095	1	0	1	1	0	134.50276486540355	0	4	0	1	134.50276486540355	0.0	0.0	0.0	0	1.0	1	92.90747520839857	1	0	0	0.0	0	0	1	0	0	1	0	0	27	0	0	FALSE
fr.soleil.TangoSnapshoting.SnapshotingApi.persistence.spring.dto	ScStr2Val	6	0.0	1.0	17	0.12888091731536888	1622.8891900099075	8	1	1	6	6	180.5037326110649	12	27	4	1	140.61831860655465	0.0	0.5	0.5	0	6.0	1	386.64275194610667	0	2	2	0.0	1	1	6	0	0	4	0	4	104	1	0	FALSE
es.cells.sardana.client.framework.gui.atk.widget	MotorTableViewerEx$MotorCellEditor	2	0.0	1.0	7	0.07267618558688678	1095.7970470895514	2	0	1	2	0	181.635513844451	3	12	0	1	131.6356528028229	0.0	0.5	0.0	0	2.0	1	218.02855676066034	1	1	0	0.0	1	1	2	0	0	1	0	1	54	0	0	FALSE
fr.esrf.tango.pogo.parseTreeConstruction	PogoDslParsetreeConstructor$PropType_Alternatives	4	0.0	1.25	13	0.14600489790529536	2144.5565947878604	4	0	1	4	0	131.6585313393775	0	19	0	1	131.6585313393775	0.0	0.5	0.0	0	4.0	2	438.0146937158861	1	1	0	0.0	1	1	5	0	0	3	0	0	109	1	0	FALSE
fr.esrf.tangoatk.core.command	ArrayScalarCommand	2	0.0	1.0	6	0.034679700005769254	316.87218755408674	2	0	0	2	4	135.87897941541075	0	9	1	1	135.87897941541075	0.0	0.5	0.0	0	2.0	1	104.03910001730776	0	1	3	0.017241379310344827	1	1	2	0	0	1	0	0	32	1	0	FALSE
es.cells.sardana.client.framework.gui.dialog	AddMeasurementGroupDialog$ListSelectionListener	1	0.0	1.0	3	0.013233083338141043	75.39850002884626	1	0	1	1	0	138.41854807953266	0	5	0	1	138.41854807953266	0.0	0.0	0.0	0	1.0	1	39.69925001442313	1	0	0	0.0	0	0	1	0	0	1	0	0	14	0	0	FALSE
org.tango.pogo.pogo_gui	DeviceClass	30	0.009852216748768473	3.033333333333333	239	4.101228377403166	157689.61652727742	37	1	1	31	34	110.15701570182088	144	424	18	1	109.9212553095386	0.0	0.0	0.1523809523809524	1	146.0	8	12303.685132209499	1	10	20	0.0	1	0	91	0	1	20	0	105	2317	1	0	FALSE
fr.esrf.tangoatk.widget.attribute	NumberSpectrumTrendViewer$FileFilter_0	2	0.0	2.0	9	0.07248868006611252	1355.9956629115677	2	0	1	2	0	126.08713471226469	0	15	0	1	126.08713471226469	0.0	0.0	0.0	0	2.0	3	217.46604019833754	1	1	0	0.0	1	0	4	0	0	1	0	0	53	0	0	FALSE
fr.esrf.tango.pogo.parseTreeConstruction	PogoDslParsetreeConstructor$Inheritance_SourcePathAssignment_1	4	0.0	1.5	17	0.18530764258814847	2846.4562657470847	4	0	1	4	0	125.98780220256211	1	24	0	1	125.98780220256211	0.0	0.5	0.0	0	4.0	3	555.9229277644454	0	1	0	0.0	1	1	6	0	0	3	0	1	129	1	0	FALSE
fr.soleil.util.serialized	WebServerClient	13	0.05000000000000001	2.8461538461538463	99	1.4481827815983652	92458.11498777787	18	1	1	13	10	91.02896169429263	76	185	2	1	108.9017819659039	0.0	0.0	0.24615384615384617	1	81.0	16	4344.5483447950955	0	8	8	0.0	1	0	37	0	0	5	0	36	766	1	0	FALSE
fr.esrf.Tango	DevCmdInfo_2Helper	6	1.0	1.1666666666666667	31	0.9402996357895234	46748.14755762377	7	1	0	6	9	114.24581625649125	4	47	7	1	114.24581625649125	0.0	0.0	0.16666666666666666	1	10.0	2	2820.8989073685702	0	4	2	0.0	1	0	7	0	0	2	0	1	559	1	0	FALSE
fr.esrf.tango.pogo.pogoDsl.impl	StringVectorTypeImpl	2	0.0	1.0	5	0.032533777759054826	322.84140774623813	2	0	1	2	4	92.38493833221347	19	11	1	3	142.3836877115007	0.0	0.75	0.0	0	2.0	1	97.60133327716449	0	1	3	0.5	0	3	2	0	0	1	1	3	30	1	0	FALSE
fr.esrf.tango.pogo.pogoDsl.impl	StateImpl	15	0.014285714285714287	2.1333333333333333	82	1.0321360482386197	28706.820585254212	20	1	1	15	4	70.80316414438764	130	152	1	1	118.90844591092645	0.0	0.5	0.21333333333333335	0	73.0	6	3096.408144715859	1	8	3	0.0	1	1	32	0	0	7	1	21	669	1	0	FALSE
fr.esrf.tangoatk.core	IDevStateScalarListener	1	0.0	1.0	2	0.011720419819576722	60.49677669025871	1	0	1	1	40	145.74015758159373	0	4	39	1	145.74015758159373	0.0	0.5	0.0	0	1.0	1	35.161259458730164	0	0	1	0.0	0	1	1	0	0	1	0	0	13	1	0	FALSE
fr.soleil.TangoSnapshoting.SnapshotingTools.Tools	SnapAttribute	17	0.0078125	1.0	42	0.29033746901784047	3707.1324035466005	25	1	0	17	8	141.35499770628806	3	78	8	1	141.35499770628806	9.0	0.0	0.11764705882352941	0	137.0	1	871.0124070535214	0	3	0	0.0	0	0	17	9	0	14	0	3	238	1	0	FALSE
fr.esrf.TangoApi	DeviceAttributeDAOWebImpl	112	0.0	1.4464285714285714	420	5.500884231866538	96729.05286962284	114	1	1	113	11	79.99563701503291	1068	544	1	1	129.99438639432014	0.0	0.0	0.5	0	0.0	2	16502.652695599612	0	12	10	0.0	1	0	162	0	1	100	1	343	3704	1	0	FALSE
fr.esrf.tangoatk.core.t	CommandFactoryTest	7	0.041666666666666664	1.2857142857142858	36	0.3580309647531679	8080.5495110040365	11	1	1	7	5	120.75384036950541	0	49	2	2	120.75384036950541	0.0	0.6666666666666666	0.21428571428571427	1	3.0	2	1074.0928942595037	1	1	3	0.18181818181818182	1	2	9	0	0	6	0	0	250	1	0	FALSE
fr.esrf.tango.pogo.parseTreeConstruction	PogoDslParsetreeConstructor$Preferences_MakefileHomeAssignment_1	4	0.0	1.5	17	0.18530764258814847	2846.4562657470847	4	0	1	4	0	125.98780220256211	1	24	0	1	125.98780220256211	0.0	0.5	0.0	0	4.0	3	555.9229277644454	0	1	0	0.0	1	1	6	0	0	3	0	1	129	1	0	FALSE
fr.esrf.TangoDs	DeviceClass	17	0.0	1.7058823529411764	114	1.5638940223901427	53118.83764559521	24	1	1	18	24	103.97278138410562	263	190	11	1	114.32966605775596	3.0	0.0	0.14285714285714285	1	130.0	5	4691.682067170428	0	7	14	0.0	1	0	29	3	1	10	1	132	868	1	0	FALSE
pogo.gene	JavaServerClass	8	0.8571428571428571	3.625	125	2.2155403545264196	114887.93333221923	9	1	1	8	9	64.71582799925235	111	202	1	1	94.09621378544156	0.0	0.5	0.25	1	0.0	6	6646.621063579259	1	6	8	0.0	1	1	29	0	0	2	1	75	1180	1	0	FALSE
pogo.make_util	TagModule	15	0.016483516483516484	4.733333333333333	253	4.068791446957198	218614.40698853336	28	1	1	15	2	93.17466848103719	74	385	1	1	92.9389080887549	0.0	0.0	0.09230769230769231	1	55.0	14	12206.374340871596	0	7	1	0.0	1	0	71	0	0	8	0	64	2181	1	0	FALSE
es.cells.sardana.client.framework.gui.dialog	RemoveMotorGroupElementDialog$MotorGroupElementListCellRenderer	1	0.0	2.0	9	0.14303459170657062	3769.273012590018	1	0	1	1	3	107.08307799531774	0	17	0	1	107.08307799531774	0.0	0.5	0.0	0	1.0	2	429.1037751197119	1	1	3	0.0	1	1	2	0	0	0	0	0	86	1	0	FALSE
es.cells.sardana.client.framework.gui.dialog	AddMotorDialogWizard	8	0.03571428571428571	1.375	42	0.3336817212815214	6662.557290207851	16	1	1	12	5	121.85498689064357	5	66	0	1	121.85498689064357	0.0	0.5	0.09375	1	14.0	4	1001.0451638445643	1	0	5	0.0	1	1	11	0	4	8	0	2	235	1	0	FALSE
fr.soleil.util.tree	ATreeElement	4	0.16666666666666666	1.0	10	0.07197324932592229	943.2044337828529	6	1	1	5	8	123.21477408734867	22	17	7	1	141.08759435895993	3.0	0.0	0.375	0	6.0	1	215.91974797776686	0	2	1	0.0	1	0	4	3	1	2	1	6	61	1	0	FALSE
fr.esrf.tangoatk.core.attribute	ShortSpectrumHelper	22	0.0	1.1363636363636365	73	0.7312477195973588	15607.36195620328	22	0	1	22	7	130.72264127113277	12	94	2	2	130.72264127113277	0.0	0.6666666666666666	0.0	1	42.0	2	2193.7431587920764	1	1	5	0.5538461538461539	1	2	25	0	0	21	0	2	534	1	0	FALSE
fr.soleil.TangoArchiving.ArchivingWatchApi.dto	Domain	9	0.0	1.7777777777777777	52	0.580761781923108	14195.43512170604	12	1	1	9	6	119.8475295441252	39	82	2	1	119.6117691518429	0.0	0.0	0.3333333333333333	1	26.0	4	1742.285345769324	1	3	4	0.0	1	0	16	0	0	6	0	10	366	1	0	FALSE
es.cells.sardana.client.framework.gui.dialog	AddMotorGroupDialog	15	0.09285714285714286	2.2666666666666666	216	2.8120418458840444	100748.22191104268	25	1	1	18	20	97.92089255113791	0	269	4	1	97.92089255113791	0.0	0.5	0.18666666666666668	1	54.0	7	8436.125537652133	1	1	17	0.0	1	1	34	0	3	14	1	0	1522	1	0	FALSE
fr.esrf.tangoatk.core	AtkEventListenerList	6	0.2	2.3333333333333335	39	0.5115545113380309	24500.23216325311	8	1	1	6	7	153.22783195580303	14	49	7	1	113.34241795129279	0.0	0.0	0.6666666666666666	1	0.0	4	1534.6635340140926	0	1	0	0.0	1	0	14	0	0	5	0	11	311	1	0	FALSE
