Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
de.fzj.unicore.uas.client	TestUASClient	2	0.0	1.0	16	0.2258122738404066	4291.934566696611	2	0	1	2	1	111.07704480717723	0	21	0	1	111.07704480717723	0.0	0.0	0.0	0	2.0	1	677.4368215212198	1	0	1	0.0	1	0	2	0	0	2	0	0	140	0	0	FALSE
de.fzj.unicore.uas.security.util	CredentialCache	7	0.25	2.142857142857143	35	0.4549617178374537	10109.954418293431	11	1	1	8	1	159.75547707315235	18	64	0	1	119.87006306864208	0.0	0.0	0.4642857142857143	1	0.0	3	1364.885153512361	1	2	1	0.0	1	0	15	0	1	5	0	3	297	0	0	FALSE
de.fzj.unicore.uas.impl.job	StatusInfoResourceProperty	4	0.3333333333333333	2.5	55	0.6910741064993301	20598.181742370467	9	1	1	4	3	51.902201835338964	33	69	2	1	100.00748360187777	0.0	0.5	0.45	1	0.0	5	2073.22231949799	0	3	2	0.0	1	1	10	0	0	1	0	5	385	0	0	FALSE
de.fzj.unicore.uas.security.util	KeystoreUtil	3	0.0	2.3333333333333335	20	0.2908865665400825	12578.713650878737	3	0	1	3	0	113.25188856926664	0	29	0	1	113.25188856926664	0.0	0.0	0.0	1	3.0	3	872.6596996202475	0	2	0	0.0	1	0	7	0	0	1	0	0	170	0	0	FALSE
edu.virginia.vcgr.genii.client.context	IContextResolver	3	0.0	1.0	4	0.1194245667070514	1568.3101187215052	3	0	1	3	6	149.5937354801072	0	7	5	1	149.5937354801072	0.0	0.5	0.0	0	3.0	1	358.2737001211542	0	2	1	0.0	0	1	3	0	0	1	0	0	88	0	0	FALSE
de.fzj.unicore.uas.fts.uftp	UFTPFileTransferImpl$Callable	1	0.0	2.0	9	0.1329474970072375	4071.517095846648	1	0	1	1	0	106.81928131309276	0	15	0	1	106.81928131309276	0.0	0.0	0.0	0	0.0	2	398.8424910217125	0	1	0	0.0	1	0	2	0	0	0	0	0	76	1	1	TRUE
edu.virginia.vcgr.genii.security	SecurityConstants	0	0.0	0.0	16	0.21608793085292938	3061.2456870831666	15	1	1	1	0	171.0	4	55	0	1	171.0	0.0	0.0	0.0	0	0.0	0	648.2637925587882	0	0	0	0.0	1	0	0	0	1	0	0	0	121	0	0	FALSE
de.pc2.unicore.edgi.xnjs	UtilConfigWrapper	7	0.08333333333333333	3.0	57	0.7773098425180428	35722.25063015234	9	1	1	7	3	107.86170958941759	5	82	3	1	107.86170958941759	0.0	0.0	0.5714285714285714	1	3.0	6	2331.9295275541285	0	6	0	0.0	1	0	21	0	0	1	0	5	463	0	0	FALSE
org.morgan.util.io	StreamUtils	8	0.8571428571428571	3.0	36	0.4525441135055127	14201.05322975146	9	1	1	8	15	122.70217636714676	3	96	14	1	122.70217636714676	0.0	0.0	0.25	1	16.0	5	1357.632340516538	0	2	1	0.0	1	0	24	0	0	6	0	1	299	0	0	FALSE
de.fzj.unicore.uas.client	TestMetadataClient	4	0.0	1.0	51	0.7692585771351789	21653.21376385248	4	0	1	4	1	101.34408964702823	0	60	0	1	101.34408964702823	0.0	0.0	0.0	0	4.0	1	2307.7757314055366	1	0	1	0.0	1	0	4	0	0	4	0	0	437	0	0	FALSE
