Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.xaware.server.engine.instruction	XAIncludeBaseInst	5	0.25	1.2	19	0.23146585461403182	5146.8813042411275	7	1	1	7	7	81.331722724743	42	33	2	1	129.4370044912818	2.0	0.25	0.3	0	10.0	2	694.3975638420955	1	0	5	0.10256410256410256	1	1	6	2	2	5	0	6	158	1	0	FALSE
org.xaware.server.connector.soap	XAPublishDocs	4	0.4888888888888889	7.0	153	2.738680062247156	181724.07147048227	19	1	1	6	8	24.94888525504652	37	195	0	1	74.94763463433375	0.0	0.0	0.43333333333333335	1	0.0	9	8216.040186741468	0	1	8	0.0	1	0	28	0	2	3	0	14	1299	1	0	FALSE
org.xaware.server.engine.channel.sf	SalesForceTemplate	16	0.14444444444444443	4.25	228	3.3495711037792066	212916.1623031466	22	1	1	18	9	63.21627434778887	102	311	2	1	95.43793745476262	0.0	0.0	0.3020833333333333	1	6.0	11	10048.71331133762	0	12	8	0.0	1	0	68	0	2	4	1	34	1748	1	0	FALSE
org.xaware.server.engine.context	BizViewPredictorContext	57	0.0	1.0	97	0.6659497435146736	5906.677253197722	57	0	1	58	18	155.36426727922967	228	155	0	1	155.12850688694738	0.0	0.0	0.0	0	57.0	1	1997.8492305440209	0	32	18	0.0	1	0	57	0	1	25	1	113	592	1	0	FALSE
org.xaware.server.engine.instruction.bizcomps.sf	SalesforceBizCompTestCase	6	0.2	1.8333333333333333	77	0.5405404563013972	9879.257055645203	7	1	1	6	3	73.05343665477773	37	93	1	3	105.27509976175148	0.0	0.75	0.8333333333333334	0	0.0	2	1621.6213689041917	1	1	2	0.04477611940298507	1	3	11	0	0	5	0	9	347	1	1	TRUE
org.xaware.server.engine.instruction	XAAddToInst	6	0.16	3.8333333333333335	77	1.1329917375684158	67383.26093037368	11	1	1	6	4	48.54044174844515	55	114	0	1	98.53919112773238	0.0	0.5	0.3333333333333333	1	0.0	11	3398.9752127052475	1	1	4	0.125	1	1	23	0	0	5	0	16	621	1	0	FALSE
org.xaware.server.engine.channel.file	FileChannelSpecification	8	1.0	1.375	34	0.5667503280331814	16487.08787603159	9	1	1	10	13	90.14947577933444	51	56	0	1	122.37113888630819	0.0	0.5	0.125	1	4.0	4	1700.250984099544	1	6	13	0.0	1	1	11	0	2	2	1	11	355	1	0	FALSE
org.xaware.server.engine.channel.sql	SqlBizDriverTestCase$ParameterizedRowMapper	1	0.0	1.0	6	0.06749606027284413	1378.2108500906395	1	0	1	1	1	117.2518848342205	0	7	0	1	117.2518848342205	0.0	0.0	0.0	0	1.0	1	202.4881808185324	0	1	1	0.0	1	0	1	0	0	0	0	0	48	0	0	FALSE
org.xaware.server.engine.context	FunctoidExecutionHelper	8	0.21428571428571427	8.0	235	4.49142453602037	409439.07606006233	10	1	1	10	10	105.1706930886585	154	337	1	1	78.88812766197256	0.0	0.0	0.6875	1	0.0	17	13474.273608061108	0	7	10	0.0	1	0	64	0	2	1	0	29	2108	1	0	FALSE
org.xaware.server.management.statistics	XAwareJmxException	4	1.0	1.0	10	0.06741160378202492	739.6446474398016	5	1	0	4	1	91.92029207339809	38	16	1	1	141.91904145268532	0.0	0.5	0.0	0	4.0	1	202.23481134607476	0	0	0	0.0	0	1	4	0	0	4	0	6	60	1	0	FALSE
org.xaware.shared.util.logging	SimpleLogFormatter	2	0.875	2.0	30	0.5741548248756398	26998.968461434066	10	1	1	5	5	62.22290866935066	12	40	2	1	94.44457177632441	0.0	0.5	0.5625	0	0.0	3	1722.4644746269196	0	1	3	0.0	1	1	4	0	3	1	0	8	316	1	0	FALSE
org.xaware.server.resources	AbsolutePathResourceLoader	2	0.0	3.0	17	0.20363229899817714	7459.194162421269	2	0	1	2	2	98.57721176371706	30	26	1	1	108.9340964373674	0.0	0.0	0.0	0	2.0	5	610.8968969945314	0	2	1	0.0	1	0	6	0	0	0	1	6	125	1	0	FALSE
org.xaware.server.engine.instruction.bizcomps.copybookconfig	RecordLayoutConfig	17	0.07894736842105263	2.588235294117647	190	2.9133926072089666	177867.41454495257	36	1	1	19	11	50.28253787288409	169	253	1	1	100.28128725217132	0.0	0.5	0.12693498452012383	1	108.0	12	8740.1778216269	1	6	10	0.025	1	1	44	0	2	11	0	53	1519	1	0	FALSE
