Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.openscience.cdk	AtomTest	7	0.0	1.1428571428571428	38	0.5224392394910798	12316.632768222002	7	0	1	7	7	159.22484618426108	20	49	1	6	119.33943217975082	0.0	0.8571428571428571	0.0	0	7.0	2	1567.3177184732394	1	0	6	0.04411764705882353	1	6	8	0	0	7	0	6	344	1	0	FALSE
org.openscience.cdk.formula	AdductFormulaTest	3	0.0	1.0	9	0.09612488444706842	1297.8515448781027	3	0	1	3	4	114.57076260587809	17	15	1	3	132.44358287748935	0.0	0.75	0.0	0	3.0	1	288.37465334120526	1	0	3	0.0	1	3	3	0	0	3	0	3	73	1	0	FALSE
org.openscience.cdk.interfaces	IMonomer	4	0.0	1.0	5	0.02601067495400234	124.802924795174	4	0	0	4	37	109.23494058674618	36	6	37	1	159.2336899660334	0.0	0.5	0.0	0	4.0	1	78.03202486200702	0	2	0	0.0	0	1	4	0	0	2	0	5	30	1	0	FALSE
org.openscience.cdk.modeling.forcefield	BondStretching	15	0.11507936507936507	3.6	245	4.445453694298337	887866.7846420421	33	1	1	15	7	39.73167539073742	151	248	3	1	88.20868628551331	0.0	0.0	0.16296296296296298	1	101.0	21	13336.361082895011	0	3	4	0.0	1	0	54	0	0	12	0	69	2391	1	0	FALSE
org.openscience.cdk.coverage	QmCoverageTest	2	1.0	1.0	6	0.06263988484646868	853.4462503015404	3	1	1	2	3	172.37591191458955	5	9	2	1	132.49049791007928	0.0	0.5	0.5	0	2.0	1	187.91965453940605	1	0	1	0.0	1	1	2	0	0	2	0	1	49	1	0	FALSE
org.openscience.cdk	AtomContainer$Iterable	1	0.0	1.0	3	0.02208533232125942	235.5467611735082	1	0	1	1	0	134.52275058750357	0	4	0	1	134.52275058750357	0.0	0.0	0.0	0	1.0	1	66.25599696377826	0	1	0	0.0	1	0	1	0	0	0	0	0	20	0	0	FALSE
org.openscience.cdk.graph	BiconnectivityInspectorTest	1	0.0	1.0	30	0.34810828343044903	18035.28336753151	1	0	1	1	2	40.09315808175016	7	33	1	1	82.3843106729349	0.0	0.5	0.0	0	1.0	1	1044.324850291347	0	0	1	0.0	1	1	1	0	0	1	0	1	205	1	0	FALSE
org.openscience.cdk.applications.jchempaint.action	UndoAction	1	1.0	2.0	7	0.07425983228505462	868.6980191747646	2	1	1	1	1	96.03136993575214	14	12	0	2	116.17370691499974	0.0	0.6666666666666666	0.0	0	0.0	2	222.77949685516387	0	0	1	0.0	1	2	2	0	0	1	0	2	54	1	0	FALSE
org.openscience.cdk.io	ChemObjectReaderTest	3	0.25	1.0	15	0.18148330144214347	2922.645952442774	5	1	1	3	4	171.3917842423931	5	19	2	2	121.391923200765	13.0	0.06896551724137931	0.6666666666666666	0	1.0	1	544.4499043264304	0	0	2	0.0	1	2	3	26	0	3	0	1	124	1	0	FALSE
org.openscience.cdk.isomorphism.matchers.smarts	AromaticAtom	3	1.0	1.0	8	0.060752831354584924	666.8998205103953	4	1	1	3	4	109.06757834069685	18	12	2	7	141.2892414476706	0.0	0.875	0.0	0	3.0	1	182.25849406375477	1	1	2	0.0625	1	7	3	0	0	2	0	4	51	1	0	FALSE
org.openscience.cdk.applications.jchempaint.action	EditAction	1	1.0	28.0	132	2.72558732077105	313733.2662605042	2	1	1	1	14	81.23158099530684	20	158	0	2	47.847661174608035	0.0	0.6666666666666666	0.0	0	0.0	28	8176.76196231315	1	0	14	0.0	1	2	28	0	0	1	0	5	1137	1	0	FALSE
org.openscience.cdk.applications.jchempaint.dialogs	ModifyGeneralSettingsDialog	5	0.25	1.0	37	0.32695106682735003	6012.560440681748	7	1	1	5	2	165.22090188076902	8	46	1	1	115.22104083914093	0.0	0.5	0.3	1	2.0	1	980.85320048205	1	0	1	0.0	1	1	5	0	0	5	0	3	211	1	0	FALSE
org.openscience.cdk.protein.data	PDBMonomerTest$ITestObjectBuilder	1	0.0	1.0	3	0.013233083338141043	107.09775004326937	1	0	1	1	2	137.21828338879743	0	4	0	1	137.21828338879743	0.0	0.0	0.0	0	1.0	1	39.69925001442313	0	1	2	0.0	1	0	1	0	0	0	0	0	14	0	0	FALSE
