Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.openscience.cdk	AtomTest	28	0.1111111111111111	1.0714285714285714	141	1.9333973204675712	37299.38832646546	29	1	1	28	9	160.19136674037338	64	169	3	1	120.30595273586314	2.0	0.25	0.8928571428571429	1	0.0	2	5800.191961402714	1	0	6	0.0	1	1	30	2	0	28	0	24	1257	1	0	FALSE
org.openscience.cdk.io.formats	MOPAC7Format	12	1.0	1.1666666666666667	28	0.17363212141818699	2064.3915321648974	13	1	1	12	4	142.1304812097005	5	37	1	1	142.1304812097005	0.0	0.0	0.08333333333333333	1	22.0	2	520.8963642545609	0	7	3	0.0	1	0	14	0	0	5	1	1	149	1	0	FALSE
org.openscience.cdk.qsar.descriptors.molecular	PetitjeanShapeIndexDescriptor	8	0.0	2.25	60	0.8621140570009552	86706.66001621952	8	0	1	8	6	59.03804277332192	80	68	1	1	107.5150536680978	0.0	0.0	0.0	1	8.0	11	2586.3421710028656	1	6	5	0.0	1	0	18	0	0	2	1	11	456	1	0	FALSE
org.openscience.cdk.formula	AdductFormulaTest	26	0.76	1.1153846153846154	226	2.7868426303181297	71427.5640984808	27	1	1	27	8	92.33437926640812	139	280	1	1	110.20719953801938	0.0	0.5	0.2692307692307692	1	110.0	2	8360.527890954389	0	0	7	0.0	1	1	29	0	1	26	0	31	1754	1	0	FALSE
org.openscience.cdk.interfaces	IMonomer	4	0.0	1.0	5	0.02601067495400234	124.802924795174	4	0	0	4	24	109.23494058674618	36	6	24	1	159.2336899660334	0.0	0.5	0.0	0	4.0	1	78.03202486200702	0	2	0	0.0	0	1	4	0	0	2	0	5	30	1	0	FALSE
org.openscience.cdk.modeling.forcefield	BondStretching	15	0.11507936507936507	3.6	245	4.43726808205369	887814.4697164884	33	1	1	15	7	39.73187691006416	152	248	3	1	88.20888780484005	0.0	0.0	0.16296296296296298	1	101.0	21	13311.804246161068	0	3	4	0.0	1	0	54	0	0	12	0	70	2388	1	0	FALSE
org.openscience.cdk.graph	PathTools	16	0.4666666666666667	5.3125	326	3.8354023597642057	333399.5118783824	18	1	1	16	24	43.947195399326624	180	310	17	1	88.07480521013584	0.0	0.0	0.0625	1	40.0	12	11506.207079292617	0	4	7	0.0	1	0	85	0	0	12	0	31	2164	1	0	FALSE
org.openscience.cdk.graph	BiconnectivityInspectorTest	1	0.0	1.0	30	0.34810828343044903	18035.28336753151	1	0	1	1	2	40.09315808175016	7	33	1	1	82.3843106729349	0.0	0.5	0.0	0	1.0	1	1044.324850291347	0	0	1	0.0	1	1	1	0	0	1	0	1	205	1	0	FALSE
org.openscience.cdk.applications.jchempaint.action	UndoAction	1	1.0	2.0	7	0.07425983228505462	868.6980191747646	2	1	1	1	1	96.03136993575214	14	12	0	2	116.17370691499974	0.0	0.6666666666666666	0.0	0	0.0	2	222.77949685516387	0	0	1	0.0	1	2	2	0	0	1	0	2	54	1	0	FALSE
org.openscience.cdk.isomorphism.matchers.smarts	AromaticAtom	3	1.0	1.0	8	0.060752831354584924	666.8998205103953	4	1	1	3	5	109.06757834069685	18	12	3	7	141.2892414476706	0.0	0.875	0.0	0	3.0	1	182.25849406375477	1	1	2	0.06140350877192982	1	7	3	0	0	2	0	4	51	1	0	FALSE
org.openscience.cdk.smiles	SmilesGenerator	27	0.015384615384615385	11.222222222222221	879	18.814274645415626	1.0903454158800038E7	37	1	1	29	23	40.77064014643302	362	1311	13	1	70.15102593262223	0.0	0.0	0.08518518518518518	1	200.0	168	56442.82393624688	0	12	10	0.0	1	0	303	0	2	15	0	114	8671	1	0	FALSE
