Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.opendepo.depo.map	TestKnowledgeMapCreator	7	0.1111111111111111	1.1428571428571428	25	0.2841864245435211	4480.426656696109	10	1	1	9	4	131.0732218489775	3	35	1	1	131.0732218489775	0.0	0.5	0.23809523809523808	1	18.0	2	852.5592736305633	1	1	3	0.0	1	1	8	0	2	6	0	3	196	1	0	FALSE
org.opendepo.depo.map	TestMaprefIDAllocator	7	0.047619047619047616	1.4285714285714286	31	0.3939240577875709	7553.024455536362	14	1	1	11	6	124.57542335811493	3	43	0	1	124.57542335811493	0.0	0.5	0.10204081632653061	1	12.0	3	1181.7721733627127	1	1	6	0.0	1	1	10	0	4	6	0	3	256	1	0	FALSE
org.opendepo.services.tasks	TasksFacility$DeltaContext	2	0.0	1.0	5	0.018666666666666668	132.0	2	0	1	2	0	145.44239645719853	0	3	0	1	145.44239645719853	0.0	0.0	0.0	0	2.0	1	56.0	0	2	0	0.0	0	0	2	0	0	0	0	0	20	0	0	FALSE
org.opendepo.depo.map	Xform	7	0.0	1.0	8	0.04168149990512006	226.8697184818467	7	0	1	7	17	179.718643540956	22	9	12	2	159.10364704514302	0.0	0.6666666666666666	0.0	0	7.0	1	125.04449971536017	0	7	5	0.0	0	2	7	0	0	0	0	7	48	1	0	FALSE
com.controltier.commander.types.type	Operation	1	0.0	1.0	6	0.06288690375735953	885.2966426004878	4	1	1	1	1	68.76689131769356	9	12	1	1	118.7656406969808	0.0	0.5	1.0	0	0.0	1	188.66071127207857	0	1	0	0.0	0	1	1	0	0	0	0	4	48	1	0	FALSE
com.networkgps.itnav.colony.wrap	IUploadPatRequest	5	0.0	1.0	6	0.025819370635467038	131.69694286392863	5	0	1	5	3	209.81281708919556	6	7	2	1	159.81295604756744	0.0	0.5	0.0	0	5.0	1	77.45811190640111	0	2	1	0.0	0	1	5	0	0	3	0	1	32	1	0	FALSE
com.networkgps.itnav.colony.wrap	ITaskExecuteOptions	1	0.0	1.0	2	0.0065365468248122695	29.414460711655217	1	0	0	1	2	98.20758275852586	9	3	2	1	148.2063321378131	0.0	0.0	0.0	0	1.0	1	19.60964047443681	0	0	0	0.0	0	0	1	0	0	1	0	2	9	1	0	FALSE
org.opendepo.services.expansion	TestExpansionMgr	8	0.03571428571428571	1.625	58	0.7840861849558426	21648.470130993246	16	1	1	10	10	112.33547883026392	1	83	1	1	112.33547883026392	0.0	0.5	0.09375	1	14.0	4	2352.258554867528	1	2	9	0.0	1	1	13	0	2	6	0	1	472	1	0	FALSE
com.networkgps.tasks	Access$Comparator	1	0.0	4.0	14	0.3114782366807819	16308.828763017626	1	0	1	1	1	94.75626392052064	0	21	0	1	94.75626392052064	0.0	0.0	0.0	0	1.0	4	934.4347100423457	0	0	1	0.0	1	0	4	0	0	1	0	0	191	0	0	FALSE
com.networkgps.itnav.instances	FindByProperty	1	1.0	4.0	20	0.23602184816376093	5848.114856230857	2	1	1	3	2	44.00862729667864	10	25	0	6	92.48563819145453	0.0	0.8571428571428571	0.0	0	1.0	4	708.0655444912828	1	1	2	0.04477611940298507	1	6	4	0	2	0	0	4	134	1	0	FALSE
org.opendepo.depo.webapps.expand	ExpandHttpServlet	3	0.25	1.6666666666666667	27	0.35946575074210135	8503.147027398272	5	1	1	3	1	108.09991066626928	2	38	1	1	108.09991066626928	0.0	0.5	0.3333333333333333	0	3.0	3	1078.397252226304	1	0	0	0.0	1	1	5	0	0	3	0	2	217	1	0	FALSE
org.opendepo.services.expansion	ExpansionTokenCollection	7	0.3333333333333333	1.4285714285714286	31	0.2931470750260767	4627.117964322306	9	1	1	9	7	146.86626728525425	27	46	6	1	126.25127078944126	0.0	0.0	0.21428571428571427	1	13.0	2	879.4412250782301	1	2	1	0.0	1	0	10	0	2	5	0	11	216	1	0	FALSE
org.opendepo.depo.map.query	RegexPropertyValueQuery	7	0.8333333333333334	1.2857142857142858	42	0.630371203187282	15662.662565252098	8	1	1	9	9	155.42222136809642	16	55	2	1	115.53680736358615	0.0	0.5	0.2857142857142857	1	13.0	2	1891.113609561846	1	4	7	0.0625	1	1	9	0	2	3	1	11	380	1	0	FALSE
org.opendepo.services.mbuilder	MbuilderFacility	6	0.0	1.6666666666666667	24	0.25610969165957853	6427.627008233237	6	0	1	6	17	76.45928348377811	51	38	10	1	124.56456525031692	0.0	0.0	0.0	1	6.0	2	768.3290749787355	0	0	7	0.0	1	0	10	0	0	6	0	6	174	1	0	FALSE
JHawkDefaultPackage	fooTest	0	0.0	0.0	1	0.005169925001442312	31.019550008653873	0	0	1	0	0	171.0	0	2	0	1	171.0	0.0	0.5	0.0	0	0.0	0	15.509775004326936	0	0	0	0.0	0	1	0	0	0	0	0	0	6	1	0	FALSE
com.networkgps.tasks	TaskBean	85	0.002819548872180451	1.1647058823529413	230	1.9087247626285762	34986.74846170532	123	1	1	85	18	139.1472968809637	13	337	13	4	139.1472968809637	2.75	0.25	0.023529411764705882	1	3318.0	8	5726.1742878857285	1	32	5	0.03571428571428571	1	4	99	11	0	53	1	6	1419	1	0	FALSE
org.opendepo.depo.map	ReferenceImpl	14	0.11538461538461539	1.0	36	0.29922279903343074	3045.6625998294226	18	1	1	14	5	141.36315148628523	3	58	1	1	141.36315148628523	0.0	0.0	0.14285714285714285	1	62.0	1	897.6683971002922	0	9	4	0.0	1	0	14	0	0	5	1	1	244	1	0	FALSE
org.opendepo.depo.map.query	Queries$interpreterB	2	1.0	3.0	38	0.631900127588948	43375.56866015238	3	1	1	2	1	88.90040250263066	1	42	0	1	88.90040250263066	0.0	0.0	0.5	0	2.0	5	1895.700382766844	0	1	1	0.0	1	0	6	0	0	1	1	1	334	1	0	FALSE
org.opendepo.services.mbuilder	DefaultModuleMapStrategy	64	0.10846560846560846	5.953125	1600	32.030637319667996	3692843.0224758177	70	1	1	65	34	38.65921586728345	458	2019	2	1	80.95036845846819	0.0	0.0	0.059895833333333336	1	826.0	62	96091.91195900399	0	25	33	0.0	1	0	381	0	1	39	1	153	14294	0	0	FALSE
org.opendepo.depo.map.query	Queries$interpreterA	2	0.0	2.5	29	0.5087315788266761	34351.2519095625	3	1	1	2	1	94.68726114945255	0	35	0	1	94.68726114945255	0.0	0.0	1.0	0	2.0	4	1526.1947364800283	0	1	1	0.0	1	0	5	0	0	1	1	0	279	1	0	FALSE
com.controltier.commander.console	TextareaLogHandler	5	0.16666666666666666	2.4	30	0.38917324741062126	10815.303960187777	8	1	1	5	0	115.74476318522898	24	41	0	1	115.50900279294669	0.0	0.5	0.4666666666666667	1	2.0	7	1167.5197422318638	1	1	0	0.0	1	1	12	0	0	4	0	9	244	1	0	FALSE
etrade.em.table	TestProperty	8	0.42857142857142855	1.375	44	0.556773159033531	11483.45981533717	10	1	1	9	4	119.99312406573557	2	55	1	1	119.99312406573557	0.0	0.5	0.125	1	20.0	3	1670.3194771005928	1	0	3	0.0	1	1	11	0	1	8	0	2	353	1	0	FALSE
