Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
edu.rice.cs.drjava.ui	DebugPanel$ThreadTableModel	5	0.75	1.2	17	0.15041380403330526	2320.380383978264	6	1	1	5	1	132.16158110441344	0	20	0	1	132.16158110441344	0.0	0.5	0.4	0	9.0	2	451.2414120999158	0	2	1	0.0	1	1	6	0	0	3	0	0	113	1	0	FALSE
edu.rice.cs.drjava.model.definitions	DefinitionsDocument$WrappedPosition	3	0.5	1.0	8	0.04709117373275826	510.128300508437	4	1	1	3	0	142.2057247603047	0	6	0	1	142.2057247603047	0.0	0.0	0.6666666666666666	1	1.0	1	141.27352119827478	0	0	0	0.0	1	0	3	0	0	3	1	0	44	1	0	FALSE
edu.rice.cs.drjava.model.debug.jpda	JPDADebugger$DebugModelCallback	0	0.0	0.0	1	0.0026666666666666666	12.0	0	0	1	0	0	171.0	0	0	0	1	171.0	0.0	0.0	0.0	0	0.0	0	8.0	0	0	0	0.0	0	0	0	0	0	0	0	0	4	0	0	FALSE
edu.rice.cs.drjava.ui	MainFrame$DoclistFontOptionListener	1	0.0	1.0	4	0.05489705503970746	714.0272370672881	1	0	1	1	3	126.06948115788126	0	6	0	1	126.06948115788126	0.0	0.0	0.0	0	0.0	1	164.6911651191224	0	0	3	0.0	1	0	1	0	0	1	1	0	40	1	0	FALSE
edu.rice.cs.util.swing	ScrollableListSelectionDialog$MouseAdapter	1	0.0	3.0	12	0.1651790774734152	6059.336825212662	1	0	1	1	0	80.56349818483605	14	17	0	1	100.70583516408365	0.0	0.0	0.0	0	0.0	3	495.53723242024563	0	0	0	0.0	1	0	3	0	0	1	0	4	95	0	0	FALSE
edu.rice.cs.drjava.model.repl	InteractionsEventNotifier	10	0.0	2.0	101	0.7813280516512149	23650.074169039035	10	0	1	10	2	127.58529952312881	36	82	1	1	106.97030302731581	0.0	0.5	0.0	0	0.0	2	2343.9841549536445	0	0	1	0.0	1	1	20	0	0	10	1	12	521	1	1	TRUE
edu.rice.cs.plt.lambda	LambdaUtil$PromotedGeneralLambda	6	0.0	1.1666666666666667	14	0.14408259999994452	2199.3468246254633	7	1	1	6	1	139.54334671833692	0	9	0	1	139.54334671833692	0.0	0.0	1.0	0	0.0	2	432.2477999998336	0	0	1	0.0	1	0	7	0	0	6	1	0	116	1	4	TRUE
edu.rice.cs.plt.lambda	LambdaUtil$BindFirstRunnable2	2	1.0	2.5	8	0.11756483404590763	2486.5637632759617	4	1	1	2	2	123.96204082512585	0	8	0	1	123.96204082512585	0.0	0.0	1.0	0	0.0	4	352.6945021377229	0	0	2	0.0	1	0	5	0	0	2	1	0	85	1	0	FALSE
edu.rice.cs.plt.tuple	Pair$GetFirst	2	1.0	2.0	5	0.08538291814780549	2767.7028751326343	3	1	1	3	2	134.87601162974974	0	5	0	1	134.87601162974974	0.0	0.0	0.0	0	2.0	3	256.14875444341646	0	0	2	0.0	1	0	4	0	1	2	1	0	62	1	0	FALSE
edu.rice.cs.plt.lambda	LambdaUtil$BindFirstRunnable3	2	1.0	3.0	8	0.13587407958776698	3081.7458223003637	4	1	1	2	2	123.18619361142615	0	8	0	1	123.18619361142615	0.0	0.0	1.0	0	0.0	5	407.6222387633009	0	0	2	0.0	1	0	6	0	0	2	1	0	96	1	0	FALSE
