Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
com.mountainminds.eclemma.core.analysis	IJavaModelCoverage$IJavaModelCoverage	15	0.0	1.0	31	0.1742354384065953	1812.962802790332	15	0	1	15	0	143.37325285056667	1	46	0	1	143.37325285056667	0.0	0.0	0.0	0	15.0	1	522.7063152197859	0	15	0	0.0	0	0	15	0	0	0	0	1	160	0	0	FALSE
com.mountainminds.eclemma.internal.core	EclEmmaCorePlugin$IDebugEventSetListener	2	0.0	3.5	16	0.2038534293408552	6478.630555305162	2	0	1	2	1	109.38065053884407	0	24	0	1	109.38065053884407	0.0	0.0	0.0	1	2.0	4	611.5602880225656	1	0	1	0.0	1	0	7	0	0	2	0	0	129	0	0	FALSE
com.mountainminds.eclemma.internal.ui.handlers	ResetOnDumpHandler	3	0.0	1.0	10	0.12007916435230853	1701.2452092848625	4	1	1	3	2	181.51782016861085	3	18	0	1	131.51795912698273	0.0	0.5	1.0	0	0.0	1	360.2374930569256	0	1	2	0.0	1	1	3	0	0	2	1	1	87	1	0	FALSE
com.mountainminds.eclemma.internal.core	SessionExporter$AbstractSourceFileLocator	4	0.0	2.0	21	0.2629066384401792	8086.066437056589	6	1	1	4	0	118.73599866272863	0	31	0	1	118.73599866272863	0.0	0.0	0.5	1	8.0	3	788.7199153205376	0	2	0	0.0	1	0	8	0	0	2	1	0	168	1	0	FALSE
com.mountainminds.eclemma.internal.core	EclEmmaCorePlugin$ILaunchListener	3	0.0	1.3333333333333333	6	0.04115002244998618	327.950910602098	3	0	1	3	0	143.65050816991297	0	10	0	1	143.65050816991297	0.0	0.0	0.0	0	4.0	2	123.45006734995854	0	0	0	0.0	0	0	4	0	0	3	0	0	38	0	0	FALSE
com.mountainminds.eclemma.internal.ui.decorators	CoverageDecorator	4	0.16666666666666666	1.25	19	0.21299197494183228	3834.253993288152	6	1	1	5	5	175.0107789117041	6	29	1	1	125.01091787007599	0.0	0.5	0.375	0	6.0	2	638.9759248254968	0	0	4	0.0	1	1	5	0	1	4	1	4	140	1	0	FALSE
com.mountainminds.eclemma.internal.ui.handlers	RemoveActiveSessionHandler	3	0.0	1.0	9	0.07599622911169095	1023.0645725657024	3	0	1	3	3	183.25708802661427	3	14	0	2	133.25722698498618	0.0	0.6666666666666666	0.0	0	1.0	1	227.98868733507283	0	1	3	0.0	1	2	3	0	0	2	0	1	60	1	0	FALSE
com.mountainminds.eclemma.internal.ui.handlers	SelectActiveSessionsItems$SelectionAdapter	1	0.0	1.0	3	0.02297255958430722	217.5971657911106	1	0	1	1	0	134.79383334764003	0	5	0	1	134.79383334764003	0.0	0.0	0.0	0	1.0	1	68.91767875292166	0	0	0	0.0	1	0	1	0	0	1	0	0	20	0	0	FALSE
com.mountainminds.eclemma.internal.ui.coverageview	CopyHandler	7	0.125	1.1428571428571428	44	0.6439794139642494	28462.858808826102	11	1	1	7	2	113.52106190498279	6	56	1	1	113.52106190498279	0.0	0.5	0.35714285714285715	1	20.0	2	1931.9382418927482	1	2	2	0.0	1	1	8	0	0	5	1	3	400	0	4	TRUE
com.mountainminds.eclemma.core	ISessionListener	3	0.0	1.0	4	0.022318151121069895	100.43168004481453	3	0	0	3	9	110.8875585411356	26	5	8	1	158.9928403076744	0.0	0.0	0.0	0	3.0	1	66.95445336320968	0	0	1	0.0	0	0	3	0	0	3	0	4	25	1	0	FALSE
