Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
com.affymetrix.igb.glyph	MinScoreThresholder$WindowAdapter	1	0.0	1.0	5	0.04297594168060902	589.15552860872	1	0	1	1	0	123.11198532034737	0	7	0	1	123.11198532034737	0.0	0.0	0.0	0	1.0	1	128.92782504182705	0	0	0	0.0	1	0	1	0	0	1	0	0	33	0	0	FALSE
com.affymetrix.igb.view	SeqMapView$SeqMapViewComponentListener$Runnable	1	0.0	2.0	10	0.09142456670705142	1676.210625757214	1	0	1	1	2	108.1476226106188	0	9	0	1	108.1476226106188	0.0	0.0	0.0	0	1.0	2	274.27370012115426	1	0	2	0.0	1	0	2	0	0	1	0	0	60	0	0	FALSE
com.affymetrix.genometryImpl.event	SymMapChangeEvent	2	0.0	1.0	8	0.05751079619901229	676.9964572388883	4	1	1	2	3	168.50759085553148	4	11	3	1	128.62217685102124	0.0	0.5	0.5	0	2.0	1	172.53238859703686	0	1	1	0.0	0	1	2	0	0	1	0	1	46	1	0	FALSE
com.affymetrix.genometryImpl	SingletonSymWithIntId	3	0.25	1.3333333333333333	15	0.11975495998241414	2170.436686180616	5	1	1	3	4	122.34341483772096	0	21	1	5	122.34341483772096	0.0	0.8333333333333334	0.6666666666666666	1	5.0	2	359.26487994724243	0	1	3	0.09090909090909091	1	5	4	0	0	2	1	0	90	1	0	FALSE
com.affymetrix.genometryImpl	CompositeGraphSym	2	0.0	5.5	47	0.6489958753341274	94555.69988816282	2	0	1	2	4	126.9431661169115	45	59	1	5	83.00071529850521	0.0	0.8333333333333334	0.0	0	2.0	10	1946.987626002382	1	0	3	0.09090909090909091	1	5	11	0	0	2	0	28	351	1	1	TRUE
com.affymetrix.igb.stylesheet	PropertyMap	12	0.045454545454545456	2.5833333333333335	91	1.0436033211952354	38480.48013015741	18	1	1	13	12	151.53372197773797	27	121	11	1	111.6483079732277	0.0	0.5	0.125	1	52.0	9	3130.809963585706	1	7	2	0.0	1	1	31	0	1	5	1	18	639	1	0	FALSE
com.affymetrix.genometryImpl.util	LoadUtils	0	0.0	0.0	2	0.01	90.0	0	0	0	0	3	171.0	0	2	3	1	171.0	0.0	0.0	0.0	0	0.0	0	30.0	0	0	0	0.0	0	0	0	0	0	0	0	0	10	1	0	FALSE
genoviz.tutorial	NarcissusParser	14	0.05494505494505494	4.0	203	3.004045169902797	166610.08557837442	21	1	1	16	10	63.612269035063576	86	306	2	1	95.83393214203733	0.0	0.0	0.09183673469387756	1	54.0	14	9012.13550970839	1	5	8	0.0	1	0	56	0	2	9	1	19	1594	1	2	TRUE
com.affymetrix.igb.parsers	BookmarksParser	9	0.125	7.333333333333333	193	2.901093263636158	160934.76429579486	13	1	1	9	10	108.34844217198768	33	230	1	1	87.73344567617468	0.0	0.0	0.3611111111111111	1	0.0	19	8703.279790908475	0	2	9	0.0	1	0	66	0	0	7	0	19	1508	1	2	TRUE
com.affymetrix.igb.prefs	PreferencesPanel$AbstractAction_5	1	0.0	1.0	3	0.01443629682961998	80.81296074050147	1	0	1	1	0	138.18137115966897	0	4	0	1	138.18137115966897	0.0	0.0	0.0	0	1.0	1	43.30889048885994	1	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
com.affymetrix.igb.prefs	PreferencesPanel$AbstractAction_2	1	0.0	1.0	3	0.022372078748851068	156.18095014194617	1	0	1	1	2	135.9280086938498	0	4	0	1	135.9280086938498	0.0	0.0	0.0	0	1.0	1	67.1162362465532	0	0	2	0.0	1	0	1	0	0	1	0	0	20	0	0	FALSE
com.affymetrix.igb.prefs	PreferencesPanel$AbstractAction_4	1	0.0	1.0	3	0.017157592537695054	97.14073498895192	1	0	1	1	0	137.55201097672068	0	4	0	1	137.55201097672068	0.0	0.0	0.0	0	1.0	1	51.472777613085164	1	0	0	0.0	0	0	1	0	0	1	0	0	17	0	0	FALSE
com.affymetrix.igb.prefs	PreferencesPanel$AbstractAction_3	1	0.0	2.0	9	0.08064372888778346	1672.8505739444713	1	0	1	1	3	109.86132541340386	0	8	0	1	109.86132541340386	0.0	0.0	0.0	0	1.0	2	241.93118666335036	0	0	3	0.0	1	0	2	0	0	1	0	0	54	0	0	FALSE
com.affymetrix.igb.view	DataLoadPrefsView$ActionListener	1	0.0	2.0	5	0.055441556153998484	729.7384970277127	1	0	1	1	1	122.22069500327194	0	7	0	1	122.22069500327194	0.0	0.0	0.0	0	0.0	2	166.32466846199546	1	0	1	0.0	1	0	2	0	0	1	0	0	39	0	0	FALSE
com.affymetrix.igb.tiers	MultiWindowTierMap	11	0.0625	4.090909090909091	223	3.5863737851192328	221664.2094564005	27	1	1	13	14	45.95826715584471	82	242	3	5	88.24941974702945	0.0	0.8333333333333334	0.11931818181818182	1	60.0	17	10759.121355357698	1	0	12	0.03389830508474576	1	5	45	0	2	11	1	69	1686	1	0	FALSE
