Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.jitterbit.tools.db.sqlserver.browser.ui.dialogs	ConversionResultsDisplayer$LogTableModel	3	0.2	1.6666666666666667	22	0.34234037841600556	12423.031207119659	8	1	1	4	4	150.7600424694433	6	35	0	1	110.87462846493304	0.0	0.5	0.06666666666666667	0	4.0	3	1027.0211352480167	1	2	4	0.030303030303030304	1	1	5	0	1	1	0	2	212	1	0	FALSE
org.jitterbit.ui.widget.text.undo	UndoableEditTimer	6	0.16	2.1666666666666665	39	0.30575521854125026	6847.005432676618	11	1	1	7	10	69.24251139404164	62	54	9	1	117.71952228881753	0.0	0.0	0.3333333333333333	0	2.0	4	917.2656556237508	0	1	1	0.0	1	0	13	0	1	5	1	12	212	1	0	FALSE
org.jitterbit.integration.server.implementation.webservice.interchange.deploy	CFileDependencies	0	0.0	0.0	3	0.016906266674359	158.49625007211563	2	1	0	0	1	171.0	7	4	1	1	171.0	0.0	0.0	0.0	0	0.0	0	50.718800023077	0	0	0	0.0	0	0	0	0	0	0	0	1	16	1	0	FALSE
org.jitterbit.integration.ui.interchange.component.validation	TreeListener	5	0.25	2.2	34	0.3693135143869078	8618.57465214209	7	1	1	5	13	136.92049707425247	16	46	0	1	116.30550057843945	0.0	0.5	0.7	0	0.0	3	1107.9405431607233	0	1	13	0.0	1	1	11	0	0	4	0	5	233	0	0	FALSE
org.jitterbit.integration.data.entity.schedule	ScheduleDailyFrequency	19	0.15873015873015872	3.0526315789473686	151	1.626668492178794	61202.925638519686	33	1	1	19	6	63.48920427036891	163	227	4	1	111.59448603690771	0.0	0.0	0.22180451127819548	1	30.0	10	4880.005476536382	1	5	2	0.0	1	0	58	0	0	14	0	32	1012	1	0	FALSE
org.jitterbit.integration.ui.admin.component.user	PackageResources$Upload	0	0.0	0.0	4	0.05003910001730774	720.5630402492314	3	1	1	0	0	171.0	0	5	0	1	171.0	0.0	0.0	0.0	0	0.0	0	150.11730005192322	0	0	0	0.0	0	0	0	0	0	0	0	0	36	1	0	FALSE
org.jitterbit.integration.ui.interchange.component.trashcan	TrashCanViewUi	17	0.008928571428571428	1.2941176470588236	90	0.9788993092945646	20471.52588952868	24	1	1	17	32	160.4931862169999	40	116	4	1	120.60777221248966	0.0	0.0	0.13445378151260504	1	103.0	3	2936.697927883694	0	6	28	0.0	1	0	22	0	0	11	1	8	648	0	0	FALSE
org.jitterbit.tools.db.sqlserver.browser.ui.actions	GenerateDbFactoryAction	5	0.0	2.0	16	0.19674566233166862	4638.718439437025	5	0	1	5	4	150.29002977072275	15	24	1	2	129.67503327490974	0.0	0.6666666666666666	0.0	1	5.0	4	590.2369869950059	1	0	3	0.0	1	2	10	0	0	5	0	4	134	1	0	FALSE
org.jitterbit.integration.ui.component.permission	UsersPanel$Runnable	1	0.0	1.0	3	0.014847069681253662	103.35302260940247	1	0	1	1	0	137.34000610399403	0	4	0	1	137.34000610399403	0.0	0.0	0.0	0	0.0	1	44.541209043760986	0	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
org.jitterbit.ui.input	LabelIconFieldDecorator	7	0.09523809523809523	1.7142857142857142	36	0.33493848642357604	9252.920909305445	14	1	1	7	9	71.74732306152585	76	52	6	1	120.22433395630173	0.0	0.0	0.22448979591836735	0	13.0	6	1004.8154592707281	0	0	3	0.0	1	0	12	0	0	7	1	14	229	1	0	FALSE
