Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.openscience.jmol	Preferences$ActionListener_17	1	0.0	1.0	8	0.09589758798322852	1060.847864811321	1	0	1	1	1	113.4865098345266	0	10	0	1	113.4865098345266	0.0	0.0	0.0	0	0.0	1	287.69276394968557	0	0	1	0.0	1	0	1	0	0	1	0	0	61	0	0	FALSE
org.openscience.jmol	PovrayDialog$ItemListener_1	1	0.0	3.0	7	0.06173301729679396	1244.3388608740192	1	0	1	1	0	114.85142481607835	0	9	0	1	114.85142481607835	0.0	0.0	0.0	0	0.0	3	185.19905189038187	1	0	0	0.0	1	0	3	0	0	1	0	0	45	0	0	FALSE
org.openscience.jmol	Jmol$WhatsNewAction	2	0.0	1.0	6	0.03740209725435601	404.1850665803223	2	0	1	2	1	135.04663910445106	0	9	0	1	135.04663910445106	0.0	0.5	0.0	0	2.0	1	112.20629176306802	0	0	1	0.0	1	1	2	0	0	2	0	0	33	0	0	FALSE
org.openscience.jmol	PovrayDialog$ItemListener_2	1	0.0	3.0	7	0.06173301729679396	1244.3388608740192	1	0	1	1	0	114.85142481607835	0	9	0	1	114.85142481607835	0.0	0.0	0.0	0	0.0	3	185.19905189038187	1	0	0	0.0	1	0	3	0	0	1	0	0	45	0	0	FALSE
org.openscience.jmol	DaltonReader	9	0.125	4.111111111111111	159	2.127333177927279	170476.01478224792	15	1	1	11	7	48.80163319851626	66	174	1	1	91.092785789701	0.0	0.0	0.2777777777777778	1	22.0	12	6381.999533781836	0	1	6	0.0	1	0	37	0	2	8	1	23	1135	0	1	TRUE
org.openscience.jmol	Measure$ListSelectionListener	1	0.0	2.0	7	0.057411089201906594	942.6551830990788	1	0	1	1	0	165.89413687295382	1	9	0	1	115.8942758313257	0.0	0.0	0.0	0	0.0	2	172.2332676057198	0	0	0	0.0	1	0	2	0	0	1	0	1	42	0	0	FALSE
org.openscience.jmol	CMLSaver	5	0.35000000000000003	4.0	122	1.5906459420372685	144848.00968562078	10	1	1	5	7	104.67458870361052	16	141	2	1	84.05959220779752	0.0	0.5	0.48	0	0.0	12	4771.937826111805	1	0	5	0.1	1	1	20	0	0	5	0	4	796	1	0	FALSE
org.openscience.jmol	LoopedStreams$PipedInputStream	1	0.0	2.0	6	0.04019599167964748	507.38709017134676	1	0	1	1	0	160.39536897468912	2	9	0	1	120.50995497017885	0.0	0.0	0.0	0	0.0	2	120.58797503894243	1	0	0	0.0	1	0	2	0	0	1	0	2	31	0	0	FALSE
org.openscience.jmol	Jmol$ExportAction	2	0.0	4.5	33	0.4869512124509366	17677.925078918088	2	0	1	2	4	144.66070316185974	2	42	0	1	94.66084212023164	0.0	0.5	0.0	0	2.0	8	1460.8536373528098	1	0	4	0.0	1	1	9	0	0	2	0	2	241	0	0	FALSE
org.openscience.jmol	ListeningTableModel	9	0.125	1.0	21	0.1675143238944957	2163.912441497717	10	1	1	9	1	141.25680185385528	37	32	1	1	141.021041461573	1.0	0.3333333333333333	0.8888888888888888	0	0.0	1	502.54297168348705	1	3	0	0.0	1	1	9	1	0	6	1	11	145	1	0	FALSE
