Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_6	1	0.0	1.0	4	0.024360806029173992	182.70604521880495	2	1	1	1	0	180.73094774685353	1	3	0	1	130.73108670522544	0.0	0.0	1.0	0	0.0	1	73.08241808752197	1	0	0	0.0	0	0	1	0	0	1	0	1	22	0	0	FALSE
jmri.jmrit.display	LayoutCoordinateEdit$java.awt.event.ActionListener	1	0.0	1.0	3	0.030969158402799523	236.92727402362095	1	0	1	1	0	134.50276486540355	0	4	0	1	134.50276486540355	0.0	0.0	0.0	0	1.0	1	92.90747520839857	1	0	0	0.0	0	0	1	0	0	1	0	0	27	0	0	FALSE
jmri.jmrix.powerline.cm11	SpecificReply	4	1.0	4.0	46	0.6382947788331123	46339.03331055088	5	1	1	6	7	120.44778150401693	13	49	3	3	99.83278500820393	0.0	0.75	0.0	0	4.0	13	1914.8843364993368	1	1	4	0.08333333333333333	1	3	16	0	2	3	0	7	344	1	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_8	1	0.0	1.0	3	0.02871260397072346	207.34452978042594	1	0	1	1	0	134.95889515126527	0	4	0	1	134.95889515126527	0.0	0.0	0.0	0	0.0	1	86.13781191217038	1	0	0	0.0	0	0	1	0	0	1	0	0	24	0	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_7	1	0.0	1.0	3	0.02871260397072346	207.34452978042594	1	0	1	1	0	134.95889515126527	0	4	0	1	134.95889515126527	0.0	0.0	0.0	0	0.0	1	86.13781191217038	1	0	0	0.0	0	0	1	0	0	1	0	0	24	0	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_0	1	0.0	1.0	3	0.01428972500528848	95.68602003807705	1	0	1	1	0	137.6036139767269	0	4	0	1	137.6036139767269	0.0	0.0	0.0	0	1.0	1	42.86917501586544	1	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
jmri.jmrit.symbolicprog	CombinedLocoSelListPane$ActionListener	1	0.0	2.0	4	0.04158596668012825	391.4631751312504	1	0	1	1	0	127.96557873919417	0	5	0	1	127.96557873919417	0.0	0.0	0.0	0	0.0	2	124.75790004038474	1	0	0	0.0	0	0	2	0	0	1	0	0	32	0	0	FALSE
jmri.jmrit.operations.rollingstock.engines	PrintEngineRosterAction	2	1.1666666666666665	9.0	84	1.4115139140762019	115780.69363186696	8	1	1	6	5	23.962613362478336	20	85	1	1	72.43962425725422	0.0	0.5	0.75	0	0.0	17	4234.5417422286055	0	0	4	0.0	1	1	18	0	4	2	0	6	666	1	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_2	1	0.0	1.0	3	0.015351249268336758	107.1343695125257	1	0	1	1	0	137.2171142029038	0	4	0	1	137.2171142029038	0.0	0.0	0.0	0	0.0	1	46.053747805010275	0	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
jmri.jmrit.symbolicprog	CombinedLocoSelPane$IdentifyDecoder	3	1.0	1.3333333333333333	8	0.06632473556536579	714.2273984685604	4	1	1	3	1	140.98859404816662	2	11	0	1	140.98859404816662	0.0	0.0	0.3333333333333333	0	6.0	2	198.97420669609738	0	0	1	0.0	1	0	4	0	0	3	0	2	56	0	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_1	1	0.0	1.0	3	0.015351249268336758	107.1343695125257	1	0	1	1	0	137.2171142029038	0	4	0	1	137.2171142029038	0.0	0.0	0.0	0	0.0	1	46.053747805010275	0	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_4	1	0.0	1.0	3	0.01428972500528848	95.68602003807705	1	0	1	1	0	137.6036139767269	0	4	0	1	137.6036139767269	0.0	0.0	0.0	0	1.0	1	42.86917501586544	1	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_3	1	0.0	1.0	3	0.013233083338141043	75.39850002884626	1	0	1	1	0	138.41854807953266	0	4	0	1	138.41854807953266	0.0	0.0	0.0	0	1.0	1	39.69925001442313	1	0	0	0.0	0	0	1	0	0	1	0	0	14	0	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_6	1	0.0	1.0	3	0.01428972500528848	95.68602003807705	1	0	1	1	0	137.6036139767269	0	4	0	1	137.6036139767269	0.0	0.0	0.0	0	1.0	1	42.86917501586544	1	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
jmri.progdebugger	DebugProgrammerManagerTest	8	1.0	1.0	34	0.48927880151400927	9511.858058128926	9	1	1	10	8	144.94051067397788	24	61	2	2	124.3255141781649	0.0	0.6666666666666666	0.0	0	8.0	1	1467.8364045420278	0	1	6	0.0	1	2	8	0	2	7	0	9	333	1	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_5	1	0.0	1.0	3	0.01428972500528848	95.68602003807705	1	0	1	1	0	137.6036139767269	0	4	0	1	137.6036139767269	0.0	0.0	0.0	0	1.0	1	42.86917501586544	1	0	0	0.0	0	0	1	0	0	1	0	0	15	0	0	FALSE
JHawkDefaultPackage	XtrkCadReader$XtrkCadAnchor	8	0.2285714285714286	3.0	70	0.8634504092631446	27451.873558496074	18	1	1	8	0	76.99734439644303	51	83	0	1	109.21900750341678	0.0	0.0	0.3	1	0.0	6	2590.351227789434	0	3	0	0.0	1	0	24	0	0	5	0	51	533	1	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_8	1	0.0	6.0	12	0.22670175035099804	9305.955424717185	1	0	1	1	0	99.07904593435944	0	21	0	1	99.07904593435944	0.0	0.0	0.0	0	0.0	6	680.1052510529942	1	0	0	0.0	1	0	6	0	0	1	0	0	125	0	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_7	1	0.0	5.0	12	0.22485022073377217	9385.368687206013	1	0	1	1	0	99.09191881678095	0	20	0	1	99.09191881678095	0.0	0.0	0.0	0	0.0	5	674.5506622013165	1	0	0	0.0	1	0	5	0	0	1	0	0	124	0	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_9	1	0.0	1.0	3	0.02871260397072346	207.34452978042594	1	0	1	1	0	134.95889515126527	0	4	0	1	134.95889515126527	0.0	0.0	0.0	0	0.0	1	86.13781191217038	1	0	0	0.0	0	0	1	0	0	1	0	0	24	0	0	FALSE
jmri.jmrit.beantable	SectionTableAction$ActionListener_9	1	0.0	6.0	12	0.22670175035099804	9305.955424717185	1	0	1	1	0	99.07904593435944	0	21	0	1	99.07904593435944	0.0	0.0	0.0	0	0.0	6	680.1052510529942	1	0	0	0.0	1	0	6	0	0	1	0	0	125	0	0	FALSE
jmri.jmrix.acela	AcelaPortController	3	0.0	1.0	4	0.027690178018913932	202.68227715724458	3	0	1	3	2	156.82720693356413	13	5	1	1	156.59144654128184	1.0	0.3333333333333333	0.0	0	3.0	1	83.07053405674179	0	2	1	0.125	0	1	3	1	0	1	0	6	29	1	0	FALSE
jmri.jmrix.pricom.downloader	LoaderPaneTest	7	0.0	1.0	45	0.7892272148961014	30896.35847414342	7	0	1	7	6	163.27106421325175	8	53	2	2	113.27120317162363	0.0	0.6666666666666666	0.0	0	7.0	1	2367.681644688304	0	1	4	0.0	1	2	7	0	0	6	0	4	463	1	0	FALSE
jmri.jmrix.loconet.locoio	LocoIOTableModel	14	0.23529411764705882	2.142857142857143	124	1.6024236277487225	52678.27297295817	31	1	1	16	1	158.98109428960197	22	160	1	1	108.98123324797388	0.0	0.5	0.2773109243697479	1	94.0	10	4807.270883246168	1	5	0	0.0	1	1	30	0	2	9	0	15	949	1	0	FALSE
jmri.jmrix.loconet.sdfeditor	FourByteMacroEditor	1	0.0	1.0	5	0.032520411192608074	303.91977105627996	1	0	1	1	2	95.99538798830673	13	7	1	2	125.37577377449594	0.0	0.6666666666666666	0.0	0	1.0	1	97.56123357782423	1	0	2	0.0	1	2	1	0	0	1	0	3	27	0	0	FALSE
jmri.jmrix.rps.trackingpanel	RpsTrackingFrameAction	3	0.0	1.0	9	0.05808088275109887	634.4840828814906	3	0	1	3	2	174.77653122873738	7	11	1	1	134.89111722422714	0.0	0.5	0.0	0	3.0	1	174.2426482532966	0	0	1	0.0	1	1	3	0	0	3	0	1	50	1	0	FALSE
jmri.jmrix.loconet	LocoNetThrottledTransmitter$ServiceThread	1	0.0	5.0	14	0.1509093266439013	4045.016690538876	1	0	1	1	0	99.70893686416508	4	21	0	1	99.4731764718828	0.0	0.5	0.0	0	0.0	5	452.7279799317039	0	0	0	0.0	1	1	5	0	0	1	0	4	91	0	0	FALSE
jmri.jmrix.lenz.li101	LI101PortFrameTest	6	1.0	1.0	17	0.18068026472930482	3082.385351456366	7	1	1	8	6	188.42426418115474	11	20	2	2	138.42440313952665	0.0	0.6666666666666666	0.0	0	6.0	1	542.0407941879145	0	1	4	0.2	1	2	6	0	2	5	0	5	141	1	0	FALSE
jmri.jmrix.loconet	AbstractAlmImplementation	14	0.034188034188034185	1.6428571428571428	160	2.407222529216822	176198.99976538122	23	1	0	16	4	55.62643929336375	155	186	1	1	99.75404910417296	1.0	0.0	0.14285714285714285	1	42.0	5	7221.667587650466	0	0	3	0.0	1	0	23	1	2	14	1	42	1288	1	0	FALSE
apps	PerformFilePanel$ActionListener	1	0.0	1.0	3	0.013233083338141043	75.39850002884626	1	0	1	1	0	138.41854807953266	0	4	0	1	138.41854807953266	0.0	0.0	0.0	0	1.0	1	39.69925001442313	1	0	0	0.0	0	0	1	0	0	1	0	0	14	0	0	FALSE
jmri.jmrix.sprog	SprogPowerManager	11	0.12000000000000002	1.5454545454545454	52	0.48710878542950203	9097.916828187243	16	1	1	12	10	175.46653251565488	21	63	4	1	125.46667147402675	0.0	0.0	0.3090909090909091	1	42.0	3	1461.326356288506	0	0	6	0.0	1	0	17	0	1	11	1	13	338	1	0	FALSE
javax.jmdns	ServiceInfo	53	1.0	1.1132075471698113	74	1.2677022944999952	26742.201032564022	54	1	1	53	21	101.21324727165434	547	102	21	1	149.69025816643023	1.0	0.0	0.0	0	53.0	2	3803.1068834999855	1	44	1	0.0	1	0	59	1	0	9	1	61	944	1	0	FALSE
jmri.jmrix.lenz	XNetTurnout	15	0.1984126984126984	5.933333333333334	236	3.3488276744455616	237421.15568094424	24	1	1	17	10	49.52261302060928	172	297	5	2	93.65022283141849	0.5	0.5	0.2962962962962963	1	0.0	19	10046.483023336685	1	0	5	0.1	1	2	89	1	2	15	1	108	1831	1	0	FALSE
apps	PerformFilePanel$Item	4	0.5555555555555555	1.5	32	0.32078380783790417	5887.866472968443	7	1	1	6	1	162.27295828702188	5	35	0	1	112.27309724539376	0.0	0.5	0.75	0	0.0	2	962.3514235137126	1	1	1	0.0	1	1	6	0	2	3	1	5	211	1	0	FALSE
jmri.jmrix.can.adapters.gridconnect	GridConnectReplyTest	11	0.0	1.0	74	1.1885491316672638	21576.396807809182	11	0	1	11	8	166.04476449820993	12	82	2	2	116.04490345658184	0.0	0.6666666666666666	0.0	0	11.0	1	3565.647395001791	0	1	6	0.16	1	2	11	0	0	10	0	7	707	1	0	FALSE
jmri.jmrix.rps	Ash2_1Algorithm$RetVal	1	1.0	1.0	9	0.07369188722000515	1268.434323034086	7	1	1	1	0	110.96721982694307	0	11	0	1	110.96721982694307	0.0	0.0	0.8333333333333334	0	1.0	1	221.07566166001547	0	0	0	0.0	0	0	1	0	0	1	0	0	59	0	0	FALSE
jmri.jmrix.serialsensor	SerialSensorAction	2	1.0	1.5	10	0.12382108873645059	2332.1189860252534	3	1	1	4	2	120.91967120637202	8	14	1	1	120.68391081408973	0.0	0.5	0.5	0	2.0	2	371.4632662093518	0	0	1	0.0	1	1	3	0	2	2	0	2	87	1	0	FALSE
jmri.jmrit.roster	IdentifyLocoTest$jmri.progdebugger.ProgDebugger	1	0.0	1.0	3	0.032819613125486945	370.0287898640329	1	0	1	1	2	132.97803454293015	0	4	0	1	132.97803454293015	0.0	0.0	0.0	0	0.0	1	98.45883937646083	0	0	2	0.0	0	0	1	0	0	1	0	0	27	0	0	FALSE
jmri.jmrit.symbolicprog	ComboCheckBox$java.beans.PropertyChangeListener	1	0.0	1.0	3	0.025411092295759392	198.55892878382835	1	0	1	1	0	135.106967054887	0	4	0	1	135.106967054887	0.0	0.0	0.0	0	1.0	1	76.23327688727818	1	0	0	0.0	0	0	1	0	0	1	0	0	23	0	0	FALSE
