Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_6	1	1.0	1.0	5	0.03438304132343355	272.906162867141	3	1	1	1	0	125.74388802321732	0	4	0	1	125.74388802321732	0.0	0.0	0.5	0	0.0	1	103.14912397030065	1	0	0	0.0	0	0	1	0	0	1	0	0	29	0	0	FALSE
jmri	NoFeedbackTurnoutOperator	2	0.25	2.5	19	0.18759589772612922	3405.894106292062	6	1	0	4	3	130.36401615739447	7	25	1	2	109.74901966158147	0.0	0.6666666666666666	0.375	0	0.0	4	562.7876931783877	1	0	2	0.0	1	2	5	0	2	2	0	1	126	1	0	FALSE
jmri.jmrit.display	LayoutCoordinateEdit$java.awt.event.ActionListener	1	0.0	1.0	3	0.030969158402799523	236.92727402362095	1	0	1	1	0	134.50276486540355	0	4	0	1	134.50276486540355	0.0	0.0	0.0	0	1.0	1	92.90747520839857	1	0	0	0.0	0	0	1	0	0	1	0	0	27	0	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_8	1	0.0	1.0	3	0.02871260397072346	207.34452978042594	1	0	1	1	0	134.95889515126527	0	4	0	1	134.95889515126527	0.0	0.0	0.0	0	0.0	1	86.13781191217038	1	0	0	0.0	0	0	1	0	0	1	0	0	24	0	0	FALSE
jmri.jmrit.nixieclock	NixieClockFrame$java.beans.PropertyChangeListener	1	0.0	1.0	3	0.024216104795519007	170.39136627816214	1	0	1	1	0	135.63018594918034	0	4	0	1	135.63018594918034	0.0	0.0	0.0	0	1.0	1	72.64831438655702	1	0	0	0.0	0	0	1	0	0	1	0	0	22	0	0	FALSE
jmri.jmrit.display	LayoutPositionableLabel$ActionListener_7	1	0.0	1.0	3	0.02871260397072346	207.34452978042594	1	0	1	1	0	134.95889515126527	0	4	0	1	134.95889515126527	0.0	0.0	0.0	0	0.0	1	86.13781191217038	1	0	0	0.0	0	0	1	0	0	1	0	0	24	0	0	FALSE
jmri.jmrit.symbolicprog	CombinedLocoSelListPane$ActionListener	1	0.0	2.0	4	0.04158596668012825	391.4631751312504	1	0	1	1	0	127.96557873919417	0	5	0	1	127.96557873919417	0.0	0.0	0.0	0	0.0	2	124.75790004038474	1	0	0	0.0	0	0	2	0	0	1	0	0	32	0	0	FALSE
jmri.jmrit.powerpanel	PowerPaneTest$jmri.PowerManager	6	0.2	1.0	14	0.09330806592311044	814.3019959503054	8	1	1	6	2	142.97686001507694	0	9	0	1	142.97686001507694	0.0	0.0	0.3333333333333333	1	14.0	1	279.92419776933133	0	0	2	0.0	1	0	6	0	0	6	0	0	82	0	0	FALSE
jmri.jmrit.beantable	TurnoutTableAction$TurnoutOperationEditor$ActionListener_1	1	0.0	3.0	9	0.11532480199900547	2715.795247976131	1	0	1	1	0	158.11074892553918	1	13	0	1	108.11088788391108	0.0	0.0	0.0	0	0.0	3	345.9744059970164	1	0	0	0.0	1	0	3	0	0	1	0	1	71	0	0	FALSE
jmri.jmrit.symbolicprog	CombinedLocoSelPane$IdentifyDecoder	3	1.0	1.3333333333333333	8	0.06632473556536579	714.2273984685604	4	1	1	3	1	140.98859404816662	2	11	0	1	140.98859404816662	0.0	0.0	0.3333333333333333	0	6.0	2	198.97420669609738	0	0	1	0.0	1	0	4	0	0	3	0	2	56	0	0	FALSE
