Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
org.omegat.gui.editor.autocompleter	AutoCompleterTableView$MouseAdapter	1	0.0	3.0	8	0.10631596290485124	2392.109165359153	1	0	1	1	0	110.45300302750684	0	13	0	1	110.45300302750684	0.0	0.0	0.0	0	0.0	3	318.9478887145537	0	0	0	0.0	1	0	3	0	0	1	0	0	65	1	0	FALSE
org.omegat.filters3.xml.xhtml	XHTMLDialect	9	0.078125	3.6666666666666665	98	1.6336147247666737	77291.28080412452	17	1	1	10	7	60.129391275160714	66	129	1	1	102.42054386634545	0.0	0.5	0.19444444444444445	1	41.0	11	4900.844174300021	1	7	6	0.0	1	1	33	0	1	2	0	23	833	0	0	FALSE
org.omegat.gui.search	SearchWindowMenu$ActionListener	1	0.0	2.0	9	0.11064371759864024	2104.7452643195884	1	0	1	1	1	109.0758699387968	0	13	0	1	109.0758699387968	0.0	0.0	0.0	0	0.0	2	331.9311527959207	0	0	1	0.0	1	0	2	0	0	1	0	0	67	1	0	FALSE
org.omegat.gui.editor	DocumentFilter3	4	0.0	4.5	42	0.6901002198711959	37168.99967917105	4	0	1	4	6	122.71885910306781	13	62	1	1	102.10386260725481	0.0	0.5	0.0	1	4.0	10	2070.3006596135874	1	1	5	0.0	1	1	18	0	0	3	0	7	384	0	0	FALSE
org.omegat.core.data	ExternalTMX	4	0.0	2.5	18	0.9395153906939836	77966.84786105876	6	1	1	4	18	154.4348118624502	10	26	12	1	114.54939785793994	0.0	0.0	0.5	0	2.0	6	2818.5461720819508	0	3	6	0.0	1	0	10	0	0	1	0	4	460	0	0	FALSE
org.omegat.gui.dialogs	TagProcessingOptionsDialog	8	0.24060150375939848	1.25	227	4.726384646065758	360028.85798139084	27	1	1	8	9	100.93837750520336	25	239	2	1	80.32338100939036	0.0	0.5	0.2631578947368421	1	30.0	2	14179.153938197274	1	2	7	0.0	1	1	10	0	0	6	0	29	2209	0	0	FALSE
org.omegat.util	StaticUtilsTest	3	0.0	1.0	33	0.4398962056739343	11272.34734843712	3	0	1	3	2	143.88779570297368	8	39	0	1	104.00238169846341	0.0	0.5	0.0	0	3.0	1	1319.6886170218029	1	0	2	0.0	1	1	3	0	0	3	0	3	256	0	1	TRUE
org.omegat.gui.matches	IMatcher	5	0.0	1.0	6	0.23430267990606382	2379.0808490438644	5	0	1	5	4	170.53058848620378	19	7	3	1	149.91559199039077	0.0	0.0	0.0	0	5.0	1	702.9080397181915	0	2	1	0.0	0	0	5	0	0	3	0	22	167	0	0	FALSE
org.omegat.tokenizer	ITokenizer	9	0.0	1.0	10	1.0856356586413927	25966.280648849683	9	0	1	9	27	111.53007000355274	62	11	26	1	143.7517331105265	0.0	0.0	0.0	0	9.0	1	3256.906975924178	0	8	1	0.0	0	0	9	0	0	1	0	85	659	0	0	FALSE
org.omegat.filters3.xml.xliff	EditXLIFFOptionsDialog$java.awt.event.WindowAdapter	1	0.0	1.0	3	0.02096915840279952	176.92727402362095	1	0	1	1	0	135.5014543407221	0	5	0	1	135.5014543407221	0.0	0.0	0.0	0	1.0	1	62.907475208398566	1	0	0	0.0	0	0	1	0	0	1	0	0	17	1	0	FALSE
org.omegat.gui.dialogs	CreateGlossaryEntry$java.awt.event.WindowAdapter	1	0.0	1.0	3	0.02096915840279952	176.92727402362095	1	0	1	1	0	135.5014543407221	0	5	0	1	135.5014543407221	0.0	0.0	0.0	0	1.0	1	62.907475208398566	1	0	0	0.0	0	0	1	0	0	1	0	0	17	1	0	FALSE
org.omegat.util	FileUtil$FileFilter	1	0.0	1.0	3	0.05239110599913755	914.4629410758555	1	0	1	1	1	129.8837685774589	0	6	0	1	129.8837685774589	0.0	0.0	0.0	0	1.0	1	157.17331799741265	0	1	1	0.0	1	0	1	0	0	0	0	0	37	1	0	FALSE
