Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
ru.runa.wfe.graph.history.figure.uml	SubprocessFigure	2	0.0	1.5	14	0.44100402918572473	32817.49269982912	2	0	1	2	3	106.18994994344732	0	20	1	2	106.18994994344732	0.0	0.6666666666666666	0.0	0	0.0	2	1323.0120875571743	1	1	2	0.06666666666666667	1	2	3	0	0	1	0	0	262	0	0	FALSE
ru.runa.wf.web.ftl.method	DisplayVariableTag	1	1.0	2.0	12	0.17307673682861602	5577.443611595718	2	1	1	1	3	101.08250693023749	0	17	0	1	101.08250693023749	0.0	0.5	0.0	0	0.0	2	519.230210485848	1	1	3	0.0	1	1	2	0	0	0	0	0	100	0	0	FALSE
ru.runa.wf.concurrent	CuncurrentJoinTest	4	0.3333333333333333	1.25	34	0.709437989654539	33811.97458977198	9	1	1	5	7	106.57290070115232	18	43	0	1	106.33714030887003	0.0	0.5	0.45	0	0.0	2	2128.313968963617	1	1	7	0.0	1	1	5	0	1	3	0	1	392	0	0	FALSE
ru.runa.wfe.ss	TerminatorSubstitution	0	0.0	0.0	2	0.009509775004326938	57.058650025961626	1	1	1	0	11	171.0	6	3	10	1	171.0	0.0	0.5	0.0	0	0.0	0	28.529325012980813	0	0	1	0.0	0	1	0	0	0	0	0	1	9	0	0	FALSE
ru.runa.wf.logic.bot.updatepermission	Method	0	0.0	0.0	1	0.005169925001442312	15.509775004326936	0	0	0	0	3	171.0	0	3	3	1	171.0	0.0	0.0	0.0	0	0.0	0	15.509775004326936	0	0	0	0.0	0	0	0	0	0	0	0	0	6	0	0	FALSE
ru.runa.af.web.tag	BotTaskListTag	8	0.42857142857142855	1.625	67	1.1922264123887292	60806.222885367846	10	1	1	8	21	106.64024014790837	7	87	0	4	106.64024014790837	0.0	0.8	0.125	0	16.0	4	3576.6792371661877	1	6	21	0.3404255319148936	1	4	13	0	0	2	0	2	609	0	0	FALSE
ru.runa.wfe.job	Job	18	0.050420168067226885	1.0	44	0.4938346082810607	6352.661832225427	25	1	1	18	9	139.70841525634722	0	80	5	1	139.70841525634722	1.0	0.0	0.09523809523809523	1	142.0	1	1481.503824843182	0	8	4	0.0	1	0	18	1	0	10	0	0	369	0	0	FALSE
ru.runa.gpd.ui.wizard	NewFolderWizard	4	0.16666666666666666	1.75	16	0.2673559627845079	6600.537721706752	6	1	1	4	4	123.07586655359142	0	26	1	1	123.07586655359142	0.0	0.5	0.375	0	4.0	4	802.0678883535237	1	1	3	0.0	1	1	7	0	0	3	1	0	166	0	0	FALSE
ru.runa.gpd.extension	HandlerRegistry	9	0.0625	2.3333333333333335	67	0.9009921834386871	40366.21003073282	15	1	1	15	31	110.52422584807243	0	84	24	1	110.52422584807243	0.0	0.5	0.1111111111111111	1	47.0	9	2702.9765503160615	1	7	9	0.041666666666666664	1	1	21	0	6	2	0	0	511	0	0	FALSE
ru.runa.wf.web.tag	ShowTasksHistoryLinkTag	1	1.0	1.0	4	0.03108478622932002	315.9587847258787	2	1	1	1	2	149.47283556833844	3	7	0	4	128.85783907252542	0.0	0.8	0.0	0	1.0	1	93.25435868796006	0	1	2	0.0	1	4	1	0	0	0	0	1	26	0	0	FALSE
ru.runa.gpd.formeditor.ftl	MethodTag$MethodTagComparator	1	0.0	1.0	3	0.03520102585259688	490.54883270159036	1	0	1	1	1	132.01378600143397	0	6	0	1	132.01378600143397	0.0	0.0	0.0	0	0.0	1	105.60307755779064	0	1	1	0.0	0	0	1	0	0	0	1	0	29	1	0	FALSE
ru.runa.common.web	InitializeDBListener	2	1.0	1.0	8	0.10734206271633129	1260.9352477784673	3	1	1	3	2	126.49513197953345	0	13	0	1	126.49513197953345	0.0	0.0	0.5	0	2.0	1	322.02618814899387	0	0	2	0.0	1	0	2	0	1	2	1	0	75	0	0	FALSE
ru.runa.wf.web.tag	ShowTasksHistoryTag	7	1.0	2.2857142857142856	69	0.9815660376347731	47897.59402123816	8	1	1	7	19	105.01311219404967	6	85	0	6	105.01311219404967	0.0	0.8571428571428571	0.0	1	12.0	7	2944.6981129043193	1	6	19	0.42857142857142855	1	6	16	0	0	1	0	1	546	0	0	FALSE
