Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
de.fu_berlin.inf.dpp.ui.wizards	JoinSessionWizard$EnterNamePage$IRunnableWithProgress	1	0.0	1.0	3	0.017657537014094955	143.17011553999754	1	0	1	1	0	136.2254862086215	0	4	0	1	136.2254862086215	0.0	0.0	0.0	0	0.0	1	52.97261104228487	0	0	0	0.0	0	0	1	0	0	1	0	0	17	0	0	FALSE
de.fu_berlin.inf.dpp.activities	FileActivity	7	0.05555555555555555	1.1428571428571428	24	0.20170038371448668	4010.8633853488163	10	1	1	7	6	131.45185603928485	4	35	5	1	131.45185603928485	0.0	0.0	0.38095238095238093	1	20.0	2	605.10115114346	0	4	1	0.0	1	0	8	0	0	3	1	1	156	1	0	FALSE
de.fu_berlin.inf.dpp.ui	ErrorMessageDialog	2	0.0	1.0	5	0.04581668911665284	465.0752357248548	2	0	1	2	4	108.91359469650004	13	8	4	1	141.1352578034738	0.0	0.0	0.0	0	2.0	1	137.45006734995852	0	0	0	0.0	1	0	2	0	0	2	0	3	38	1	0	FALSE
de.fu_berlin.inf.dpp.ui.actions	ConnectDisconnectAction$IPropertyChangeListener	1	0.0	2.0	4	0.03261949456633197	311.5282789966531	1	0	1	1	1	128.74671129681144	0	6	0	1	128.74671129681144	0.0	0.0	0.0	0	1.0	2	97.85848369899593	1	0	1	0.0	1	0	2	0	0	1	0	0	27	0	0	FALSE
de.fu_berlin.inf.dpp.ui	RosterView$IDoubleClickListener	1	0.0	2.0	4	0.02610278488156025	253.0572159246197	1	0	1	1	0	129.45764210166664	0	6	0	1	129.45764210166664	0.0	0.0	0.0	0	0.0	2	78.30835464468075	0	0	0	0.0	0	0	2	0	0	1	0	0	23	0	0	FALSE
de.fu_berlin.inf.dpp.ui.wizards	PropertyConfigurationWizard	3	0.5	1.0	11	0.06897735750980653	785.4305992213697	4	1	1	3	1	134.16122116392216	0	17	0	1	134.16122116392216	0.0	0.5	0.6666666666666666	0	1.0	1	206.9320725294196	1	0	1	0.0	1	1	3	0	0	3	0	0	59	1	0	FALSE
de.fu_berlin.inf.dpp.activities	EditorActivity	5	0.375	1.4	19	0.21062804912883698	6946.972465555162	7	1	1	5	6	148.99083706852366	15	31	5	1	128.37584057271064	0.0	0.0	0.8	0	0.0	2	631.8841473865109	0	3	1	0.0	1	0	7	0	0	2	1	3	150	1	0	FALSE
de.fu_berlin.inf.dpp.net.jingle	JingleFileTransferManager$JingleSessionRequestListener	1	0.0	3.0	11	0.12933333333333333	3887.9999999999995	1	0	1	1	1	124.24788868380101	3	16	0	1	103.632892187988	0.0	0.0	0.0	0	0.0	3	388.0	1	0	1	0.0	1	0	3	0	0	1	0	3	80	0	1	TRUE
de.fu_berlin.inf.dpp.net.internal	SkypeIQ	3	0.0	1.3333333333333333	13	0.1161722775414224	2825.9237977431267	4	1	1	3	2	125.05577865467782	0	19	2	1	125.05577865467782	0.0	0.5	1.0	0	1.0	2	348.5168326242672	0	2	0	0.0	1	1	4	0	0	1	0	0	85	1	0	FALSE
de.fu_berlin.inf.dpp	Saros$Runnable_0	1	0.0	1.0	3	0.011666666666666667	66.0	1	0	1	1	0	138.87386170584625	0	4	0	1	138.87386170584625	0.0	0.0	0.0	0	1.0	1	35.0	1	0	0	0.0	0	0	1	0	0	1	0	0	13	0	0	FALSE
