Package 	 Class 	 numberOfMethods 	 lcom 	 avcc 	 nos 	 hbug 	 heff 	 uwcs 	 inst 	 pack 	 rfc 	 cbo 	 mi 	 ccml 	 nloc 	 fin 	 dit 	 minc 	 sr 	 rr 	 coh 	 lmc 	 lcom2 	 maxcc 	 hvol 	 hier 	 nqu 	 fout 	 six 	 ext 	 nsup 	 tcc 	 nsub 	 mpc 	 nco 	 intr 	 ccom 	 hlth 	 mod 	 NumberOfDefects 	 Defective
de.fzj.unicore.cisprovider.impl	GlueInstanceGenerator	13	0.1111111111111111	5.769230769230769	252	4.078424777819656	162226.26971743867	16	1	1	14	8	140.64011647483593	22	374	2	1	90.64025543320783	0.0	0.0	0.4358974358974359	1	0.0	12	12235.274333458967	0	5	6	0.0	1	0	75	0	1	8	0	17	2086	0	13	TRUE
de.fzj.unicore.bes.ucc	ListActivities	5	0.5	2.2	39	0.5859540885732152	24955.346792060398	7	1	1	5	2	110.1722236984624	0	61	0	2	110.1722236984624	0.0	0.6666666666666666	0.1	1	8.0	7	1757.8622657196456	1	2	2	0.5	1	2	11	0	0	3	0	0	319	0	0	FALSE
de.fzj.unicore.uas.impl.job	StatusInfoResourceProperty	4	0.3333333333333333	2.5	53	0.6474586380742798	19463.37487138024	9	1	1	4	3	52.09600748690793	33	67	2	1	100.20128925344673	0.0	0.5	0.45	1	0.0	5	1942.3759142228394	0	3	2	0.0	1	1	10	0	0	1	0	5	367	0	0	FALSE
de.fzj.unicore.uas.security.util	CredentialCache	7	0.25	2.142857142857143	35	0.4549617178374537	10109.954418293431	11	1	1	8	1	159.75547707315235	18	64	0	1	119.87006306864208	0.0	0.0	0.4642857142857143	1	0.0	3	1364.885153512361	1	2	1	0.0	1	0	15	0	1	5	0	3	297	0	0	FALSE
de.fzj.unicore.uas.security.util	KeystoreUtil	3	0.0	2.3333333333333335	20	0.2908865665400825	12578.713650878737	3	0	1	3	0	113.25188856926664	0	29	0	1	113.25188856926664	0.0	0.0	0.0	1	3.0	3	872.6596996202475	0	2	0	0.0	1	0	7	0	0	1	0	0	170	0	0	FALSE
de.fzj.unicore.uas.fts.udt	UDTSession	30	0.06704980842911877	1.9333333333333333	180	1.8572529724149032	50296.6698809801	48	1	1	31	8	166.4299522020612	59	256	5	1	116.43009116043308	0.0	0.0	0.12037037037037036	1	258.0	5	5571.75891724471	1	13	4	0.0	1	0	58	0	1	17	1	18	1132	0	0	FALSE
de.fzj.unicore.uas.metadata	BaseMetadataManagementImpl	11	0.12000000000000002	1.9090909090909092	95	1.486162893023185	43833.92294537503	16	1	1	12	13	158.81146718916443	15	137	3	2	108.81160614753634	0.5	0.5	0.09090909090909091	1	35.0	4	4458.488679069555	1	10	10	0.08695652173913043	1	2	21	1	1	1	1	3	829	0	0	FALSE
de.fzj.unicore.uas.impl.tss.rp	ApplicationsResourceProperty	6	0.0	1.8333333333333333	48	0.5274840295098632	15901.082495451572	10	1	1	7	7	130.8308824321473	21	56	4	2	110.2158859363343	0.0	0.6666666666666666	0.25	1	10.0	4	1582.4520885295897	1	4	3	0.0	1	2	11	0	1	2	0	5	326	0	0	FALSE
de.fzj.unicore.uas.client	TestMetadataClient	2	0.0	1.0	26	0.37323472119975	9769.122374183533	2	0	1	2	1	100.39890562636137	0	29	0	1	100.39890562636137	0.0	0.5	0.0	0	2.0	1	1119.70416359925	1	0	1	0.0	1	1	2	0	0	2	0	0	214	0	1	TRUE
de.fzj.unicore.uas.testsuite	BPSupportTest	1	0.0	3.0	27	0.45833455513493143	18674.703435101448	3	1	1	1	6	104.3343144970572	3	29	0	1	83.7193180012442	0.0	0.5	1.0	0	0.0	3	1375.0036654047942	1	0	6	0.0	1	1	3	0	0	1	0	1	225	0	0	FALSE
